WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('00129743', '_hypernym', '00130093'), ('00130093', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '01413173')], '00471613')
([('06539178', '_hypernym', '06667792'), ('06667792', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06551784')], '08441203')
([('02247028', '_verb_group', '02728570'), ('02728570', '_synset_domain_topic_of', '01090446'), ('01090446', '¬_synset_domain_topic_of', '02346409')], '01090446')
([('06535980', '¬_has_part', '06534132'), ('06534132', '_has_part', '06729251'), ('06729251', '_synset_domain_topic_of', '08441203')], '08441203')
([('01418959', 'NO_OP', '01418959'), ('01418959', '_derivationally_related_form', '00340662'), ('00340662', '_synset_domain_topic_of', '00488225')], '00488225')
([('06558277', 'NO_OP', '06558277'), ('06558277', '_hypernym', '06556692'), ('06556692', '_synset_domain_topic_of', '08441203')], '08441203')
([('06008382', 'NO_OP', '06008382'), ('06008382', '_hypernym', '06004685'), ('06004685', '_synset_domain_topic_of', '06000644')], '06000644')
([('06023969', 'NO_OP', '06023969'), ('06023969', '¬_hypernym', '06024230'), ('06024230', '_synset_domain_topic_of', '06018465')], '06018465')
([('05881867', 'NO_OP', '05881867'), ('05881867', '¬_has_part', '05990089'), ('05990089', '_synset_domain_topic_of', '06090869')], '06090869')
([('15264363', 'NO_OP', '15264363'), ('15264363', '_hypernym', '15122011'), ('15122011', '_synset_domain_topic_of', '07020895')], '07020895')
([('08098346', '_member_meronym', '09848285'), ('09848285', '_derivationally_related_form', '05977340'), ('05977340', 'NO_OP', '05977340')], '05977340')
([('08108972', '_member_meronym', '08110373'), ('08110373', '_synset_domain_topic_of', '06037666'), ('06037666', '¬_synset_domain_topic_of', '11492388')], '06037666')
([('10498816', '_hypernym', '09830194'), ('09830194', '_synset_domain_topic_of', '00468480'), ('00468480', '¬_hypernym', '00470966')], '00468480')
([('08198398', '¬_hypernym', '08190292'), ('08190292', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '07269552')], '08199025')
([('09401834', '_hypernym', '09272085'), ('09272085', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '11515325')], '06090869')
([('08390374', 'NO_OP', '08390374'), ('08390374', '_hypernym', '08390157'), ('08390157', '_synset_domain_topic_of', '08199025')], '08199025')
([('01016626', '¬_derivationally_related_form', '06562802'), ('06562802', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00765488')], '08441203')
([('01174555', '¬_derivationally_related_form', '02399000'), ('02399000', '_has_part', '02399424'), ('02399424', '¬_has_part', '02399000')], '02399000')
([('00082714', '¬_hypernym', '00083124'), ('00083124', 'NO_OP', '00083124'), ('00083124', '_synset_domain_topic_of', '00612160')], '00612160')
([('08109624', '_hypernym', '07992450'), ('07992450', '¬_hypernym', '08110373'), ('08110373', '_synset_domain_topic_of', '06037666')], '06037666')
([('01016626', '¬_derivationally_related_form', '06562802'), ('06562802', 'NO_OP', '06562802'), ('06562802', '_synset_domain_topic_of', '08441203')], '08441203')
([('00620554', 'NO_OP', '00620554'), ('00620554', '_derivationally_related_form', '10426749'), ('10426749', '_derivationally_related_form', '00903559')], '00903559')
([('00969769', 'NO_OP', '00969769'), ('00969769', '_hypernym', '00969506'), ('00969506', '¬_derivationally_related_form', '06277280')], '06277280')
([('08331525', 'NO_OP', '08331525'), ('08331525', '¬_hypernym', '08331357'), ('08331357', '_synset_domain_topic_of', '08199025')], '08199025')
([('09546453', '_synset_domain_topic_of', '05985602'), ('05985602', '¬_synset_domain_topic_of', '09546280'), ('09546280', '_synset_domain_topic_of', '15259284')], '15259284')
([('02166346', '_also_see', '02244619'), ('02244619', 'NO_OP', '02244619'), ('02244619', '_synset_domain_topic_of', '06066555')], '06066555')
([('09913824', '_derivationally_related_form', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00456357'), ('00456357', '_synset_domain_topic_of', '06084469')], '06084469')
([('08334087', '¬_hypernym', '08334693'), ('08334693', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01015244')], '08441203')
([('01750421', '¬_hypernym', '01750668'), ('01750668', '_synset_domain_topic_of', '00933420'), ('00933420', '¬_hypernym', '00935940')], '00933420')
([('14431637', '_hypernym', '14431471'), ('14431471', 'NO_OP', '14431471'), ('14431471', '_synset_domain_topic_of', '08199025')], '08199025')
([('01174555', 'NO_OP', '01174555'), ('01174555', '¬_derivationally_related_form', '02399000'), ('02399000', '¬_hypernym', '02429456')], '02399000')
([('06027051', '_hypernym', '06026635'), ('06026635', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06032246')], '06018465')
([('06088995', '_hypernym', '06084469'), ('06084469', '¬_synset_domain_topic_of', '11409059'), ('11409059', '¬_hypernym', '11410298')], '06084469')
([('08001685', '_hypernym', '07999699'), ('07999699', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '13904011')], '06000644')
([('03846234', '_hypernym', '03763968'), ('03763968', '¬_hypernym', '03239259'), ('03239259', '_synset_domain_topic_of', '08199025')], '08199025')
([('01960296', '_hypernym', '01957529'), ('01957529', '¬_hypernym', '01958615'), ('01958615', '_derivationally_related_form', '00450335')], '00450335')
([('01174555', '¬_derivationally_related_form', '02399000'), ('02399000', '¬_synset_domain_topic_of', '01174555'), ('01174555', '_derivationally_related_form', '02399000')], '02399000')
([('09943541', '¬_hypernym', '09616722'), ('09616722', 'NO_OP', '09616722'), ('09616722', '_synset_domain_topic_of', '08199025')], '08199025')
([('02284544', 'NO_OP', '02284544'), ('02284544', '_hypernym', '02271137'), ('02271137', '_derivationally_related_form', '01099436')], '01099436')
([('14431637', '_hypernym', '14431471'), ('14431471', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '06642899')], '08199025')
([('08482700', '_hypernym', '08426461'), ('08426461', '¬_hypernym', '08481832'), ('08481832', '_synset_domain_topic_of', '08199025')], '08199025')
([('05881867', '_has_part', '13590327'), ('13590327', 'NO_OP', '13590327'), ('13590327', '_synset_domain_topic_of', '06090869')], '06090869')
([('00973530', '_hypernym', '00973056'), ('00973056', '_synset_domain_topic_of', '06264176'), ('06264176', '¬_synset_domain_topic_of', '00974031')], '06264176')
([('03846234', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08648658')], '08199025')
([('00446885', '¬_derivationally_related_form', '13447361'), ('13447361', '¬_hypernym', '13458268'), ('13458268', '_synset_domain_topic_of', '06084469')], '06084469')
([('06534132', '_has_part', '06727758'), ('06727758', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01126335')], '08441203')
([('05436752', '_derivationally_related_form', '02734192'), ('02734192', '_derivationally_related_form', '06075527'), ('06075527', '¬_synset_domain_topic_of', '05437785')], '06075527')
([('08191701', '_member_meronym', '08191532'), ('08191532', 'NO_OP', '08191532'), ('08191532', '_synset_domain_topic_of', '08199025')], '08199025')
([('10652954', 'NO_OP', '10652954'), ('10652954', '¬_derivationally_related_form', '06018465'), ('06018465', '¬_hypernym', '06031248')], '06018465')
([('06562802', '_hypernym', '06559365'), ('06559365', '¬_hypernym', '06560254'), ('06560254', '_synset_domain_topic_of', '08441203')], '08441203')
([('06105314', '_hypernym', '06104073'), ('06104073', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_hypernym', '06101551')], '06090869')
([('01930874', '¬_derivationally_related_form', '00298497'), ('00298497', '¬_synset_domain_topic_of', '01863158'), ('01863158', '_synset_domain_topic_of', '00298497')], '00298497')
([('08022259', '_has_part', '08040257'), ('08040257', 'NO_OP', '08040257'), ('08040257', '_synset_domain_topic_of', '00759694')], '00759694')
([('06545137', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06552814'), ('06552814', '_synset_domain_topic_of', '08441203')], '08441203')
([('01665638', '¬_derivationally_related_form', '00243918'), ('00243918', '¬_synset_domain_topic_of', '01665836'), ('01665836', '_hypernym', '01664172')], '00243918')
([('06022727', 'NO_OP', '06022727'), ('06022727', '¬_hypernym', '06034611'), ('06034611', '_synset_domain_topic_of', '06018465')], '06018465')
([('10339966', '¬_derivationally_related_form', '07020895'), ('07020895', '¬_hypernym', '07028373'), ('07028373', '¬_hypernym', '06856884')], '07020895')
([('09913824', '_derivationally_related_form', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00475183'), ('00475183', '¬_derivationally_related_form', '13548105')], '06084469')
([('01702514', '¬_derivationally_related_form', '07092592'), ('07092592', '¬_synset_domain_topic_of', '07535532'), ('07535532', '_synset_domain_topic_of', '07092592')], '07092592')
([('08020785', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08040522'), ('08040522', '_synset_domain_topic_of', '00759694')], '00759694')
([('06147873', '_derivationally_related_form', '00135013'), ('00135013', '¬_derivationally_related_form', '07978423'), ('07978423', '¬_synset_domain_topic_of', '09586011')], '07978423')
([('02241621', '¬_hypernym', '02241767'), ('02241767', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_synset_domain_topic_of', '02244426')], '00766234')
([('00895501', '_has_part', '00896348'), ('00896348', '¬_hypernym', '00896688'), ('00896688', '_synset_domain_topic_of', '08199025')], '08199025')
([('03504420', '¬_hypernym', '03464757'), ('03464757', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08405267')], '08199025')
([('10423589', '¬_derivationally_related_form', '06158346'), ('06158346', '_derivationally_related_form', '10423589'), ('10423589', '¬_hypernym', '10065066')], '06158346')
([('09913824', '¬_hypernym', '09854915'), ('09854915', '_hypernym', '09913824'), ('09913824', '_derivationally_related_form', '06084469')], '06084469')
([('01958615', '_derivationally_related_form', '00450335'), ('00450335', '_derivationally_related_form', '01958615'), ('01958615', '_derivationally_related_form', '00299217')], '00299217')
([('09401834', '_hypernym', '09272085'), ('09272085', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '09401834')], '06090869')
([('01361561', '_hypernym', '01360899'), ('01360899', '_synset_domain_topic_of', '00608896'), ('00608896', '¬_has_part', '01104637')], '00608896')
([('10652954', '¬_derivationally_related_form', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06026635'), ('06026635', '¬_hypernym', '06027051')], '06018465')
([('02241621', '¬_hypernym', '02241767'), ('02241767', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_synset_domain_topic_of', '02246166')], '00766234')
([('08594714', '_hypernym', '08594286'), ('08594286', '_hypernym', '08622586'), ('08622586', '_synset_domain_topic_of', '08199025')], '08199025')
([('06028021', '_has_part', '06027264'), ('06027264', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '05729036')], '06018465')
([('00084562', '¬_derivationally_related_form', '00664110'), ('00664110', '_derivationally_related_form', '00084230'), ('00084230', '_derivationally_related_form', '00612160')], '00612160')
([('01941093', '_derivationally_related_form', '00302394'), ('00302394', '¬_hypernym', '00303297'), ('00303297', '_synset_domain_topic_of', '02686568')], '02686568')
([('00483656', '_hypernym', '00482180'), ('00482180', '_synset_domain_topic_of', '05718935'), ('05718935', '¬_derivationally_related_form', '10339966')], '05718935')
([('00130093', 'NO_OP', '00130093'), ('00130093', '¬_hypernym', '00129743'), ('00129743', '_synset_domain_topic_of', '00471613')], '00471613')
([('02789770', 'NO_OP', '02789770'), ('02789770', '¬_has_part', '03120778'), ('03120778', '_synset_domain_topic_of', '08441203')], '08441203')
([('01364357', '¬_derivationally_related_form', '07829412'), ('07829412', '¬_hypernym', '07836456'), ('07836456', '_synset_domain_topic_of', '00243918')], '00243918')
([('01700655', 'NO_OP', '01700655'), ('01700655', '_hypernym', '01698271'), ('01698271', '¬_derivationally_related_form', '00929718')], '00929718')
([('13575226', '_hypernym', '13498404'), ('13498404', '_synset_domain_topic_of', '06043075'), ('06043075', '¬_synset_domain_topic_of', '13479889')], '06043075')
([('06532330', '¬_hypernym', '06533039'), ('06533039', 'NO_OP', '06533039'), ('06533039', '_synset_domain_topic_of', '08441203')], '08441203')
([('03402188', 'NO_OP', '03402188'), ('03402188', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025')], '08199025')
([('06290637', '¬_hypernym', '06300193'), ('06300193', '_synset_domain_topic_of', '06172789'), ('06172789', '¬_synset_domain_topic_of', '06249910')], '06172789')
([('01936753', '¬_derivationally_related_form', '00448466'), ('00448466', '_hypernym', '00523513'), ('00523513', '¬_synset_domain_topic_of', '15233778')], '00523513')
([('08043169', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08044676'), ('08044676', '_synset_domain_topic_of', '00759694')], '00759694')
([('01174251', '_has_part', '01174645'), ('01174645', '_synset_domain_topic_of', '01171644'), ('01171644', '_hypernym', '01170962')], '01171644')
([('08110648', '_hypernym', '07992450'), ('07992450', '¬_hypernym', '08101085'), ('08101085', '_synset_domain_topic_of', '06037666')], '06037666')
([('05862721', 'NO_OP', '05862721'), ('05862721', '_hypernym', '05861855'), ('05861855', '_synset_domain_topic_of', '06000644')], '06000644')
([('14830364', '_has_part', '14964129'), ('14964129', '_synset_domain_topic_of', '06079620'), ('06079620', '_derivationally_related_form', '09854915')], '06079620')
([('08395298', '¬_has_part', '08394922'), ('08394922', '_has_part', '08395682'), ('08395682', '_synset_domain_topic_of', '08199025')], '08199025')
([('10574154', '_hypernym', '10622053'), ('10622053', '¬_hypernym', '10523341'), ('10523341', '_synset_domain_topic_of', '08199025')], '08199025')
([('06816106', '_hypernym', '07037465'), ('07037465', '_derivationally_related_form', '01705494'), ('01705494', '_synset_domain_topic_of', '07020895')], '07020895')
([('08214470', '_hypernym', '08190754'), ('08190754', '¬_hypernym', '08389297'), ('08389297', '_synset_domain_topic_of', '08199025')], '08199025')
([('03764276', 'NO_OP', '03764276'), ('03764276', '¬_hypernym', '03930087'), ('03930087', '_synset_domain_topic_of', '08199025')], '08199025')
([('00326619', '_hypernym', '00325328'), ('00325328', '_synset_domain_topic_of', '00243918'), ('00243918', '¬_synset_domain_topic_of', '00324806')], '00243918')
([('02300549', '¬_derivationally_related_form', '06737394'), ('06737394', '¬_has_part', '00490569'), ('00490569', '_hypernym', '00488225')], '00490569')
([('00241507', '_hypernym', '00137279'), ('00137279', '_synset_domain_topic_of', '00468480'), ('00468480', '¬_synset_domain_topic_of', '00137279')], '00468480')
([('06027264', '_hypernym', '06020737'), ('06020737', 'NO_OP', '06020737'), ('06020737', '_synset_domain_topic_of', '06018465')], '06018465')
([('06533039', '_hypernym', '06532330'), ('06532330', 'NO_OP', '06532330'), ('06532330', '¬_has_part', '08441203')], '08441203')
([('00999270', '_hypernym', '00998399'), ('00998399', '_derivationally_related_form', '00910203'), ('00910203', '_derivationally_related_form', '00998399')], '00910203')
([('08085648', '¬_has_part', '08083599'), ('08083599', '¬_synset_domain_topic_of', '09996920'), ('09996920', '_synset_domain_topic_of', '08083599')], '08083599')
([('07007945', '¬_derivationally_related_form', '01701311'), ('01701311', 'NO_OP', '01701311'), ('01701311', '_derivationally_related_form', '06376154')], '06376154')
([('10282014', '¬_derivationally_related_form', '06235829'), ('06235829', '_hypernym', '06234825'), ('06234825', '¬_synset_domain_topic_of', '00416409')], '06234825')
([('08085648', '¬_has_part', '08083599'), ('08083599', '¬_synset_domain_topic_of', '11071177'), ('11071177', '_instance_hypernym', '10547145')], '08083599')
([('08454818', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05957428'), ('05957428', '_synset_domain_topic_of', '08441203')], '08441203')
([('03464757', '_hypernym', '03504420'), ('03504420', '¬_hypernym', '03076104'), ('03076104', '_synset_domain_topic_of', '08199025')], '08199025')
([('08589351', '¬_has_part', '04567222'), ('04567222', 'NO_OP', '04567222'), ('04567222', '_synset_domain_topic_of', '06118563')], '06118563')
([('08397255', '¬_hypernym', '08397675'), ('08397675', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '02766044')], '08199025')
([('00128867', '_hypernym', '00128638'), ('00128638', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '09930257')], '00471613')
([('06557047', '_hypernym', '06552984'), ('06552984', '¬_hypernym', '06554981'), ('06554981', '_synset_domain_topic_of', '08441203')], '08441203')
([('00645939', '_hypernym', '00645771'), ('00645771', '_synset_domain_topic_of', '00612160'), ('00612160', '¬_synset_domain_topic_of', '01210352')], '00612160')
([('08453464', '¬_hypernym', '06535222'), ('06535222', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_hypernym', '08453722')], '08441203')
([('08191230', '_hypernym', '08198137'), ('08198137', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08214272')], '08199025')
([('05994935', '¬_has_part', '06149484'), ('06149484', '_has_part', '05994935'), ('05994935', '¬_has_part', '06149484')], '06149484')
([('00446885', '¬_derivationally_related_form', '01928608'), ('01928608', 'NO_OP', '01928608'), ('01928608', '_synset_domain_topic_of', '06084469')], '06084469')
([('02789770', '¬_has_part', '03120778'), ('03120778', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06543781')], '08441203')
([('13461951', '_hypernym', '13459322'), ('13459322', '¬_hypernym', '13548931'), ('13548931', '_synset_domain_topic_of', '06055946')], '06055946')
([('02245765', '¬_hypernym', '02261256'), ('02261256', '_synset_domain_topic_of', '01090446'), ('01090446', '_derivationally_related_form', '00483146')], '01090446')
([('00983982', '_hypernym', '00955060'), ('00955060', '¬_hypernym', '00955565'), ('00955565', '_synset_domain_topic_of', '08199025')], '08199025')
([('15269128', '¬_has_part', '15171857'), ('15171857', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '02911485')], '06128570')
([('08389297', '_hypernym', '08190754'), ('08190754', '¬_hypernym', '08390157'), ('08390157', '_synset_domain_topic_of', '08199025')], '08199025')
([('14062725', '¬_hypernym', '14064408'), ('14064408', '_synset_domain_topic_of', '03808564'), ('03808564', 'NO_OP', '03808564')], '03808564')
([('02113430', 'NO_OP', '02113430'), ('02113430', '¬_derivationally_related_form', '00907340'), ('00907340', '_hypernym', '00903559')], '00903559')
([('08426993', '_hypernym', '08426816'), ('08426816', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00896526')], '08199025')
([('03117420', 'NO_OP', '03117420'), ('03117420', '_hypernym', '04071876'), ('04071876', '_synset_domain_topic_of', '06128570')], '06128570')
([('00960734', 'NO_OP', '00960734'), ('00960734', '¬_hypernym', '00960562'), ('00960562', '_synset_domain_topic_of', '06613686')], '06613686')
([('08395682', '¬_has_part', '08394922'), ('08394922', '_has_part', '08395298'), ('08395298', '_synset_domain_topic_of', '08199025')], '08199025')
([('01683758', '¬_hypernym', '01683957'), ('01683957', 'NO_OP', '01683957'), ('01683957', '_synset_domain_topic_of', '00933420')], '00933420')
([('03085333', 'NO_OP', '03085333'), ('03085333', '_has_part', '03827107'), ('03827107', '_synset_domain_topic_of', '06128570')], '06128570')
([('05973198', '_hypernym', '06167328'), ('06167328', '¬_hypernym', '05970012'), ('05970012', '_synset_domain_topic_of', '06158346')], '06158346')
([('08589351', '¬_has_part', '04567222'), ('04567222', '_synset_domain_topic_of', '06118563'), ('06118563', '¬_synset_domain_topic_of', '13711855')], '06118563')
([('05729036', '¬_hypernym', '06026635'), ('06026635', '¬_hypernym', '06027051'), ('06027051', '_synset_domain_topic_of', '06018465')], '06018465')
([('01191975', '¬_hypernym', '01192150'), ('01192150', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06540863')], '08441203')
([('10602695', '¬_member_meronym', '08075647'), ('08075647', '_member_meronym', '10602470'), ('10602470', '_synset_domain_topic_of', '08083599')], '08083599')
([('08195797', 'NO_OP', '08195797'), ('08195797', '¬_hypernym', '08219493'), ('08219493', '_synset_domain_topic_of', '08199025')], '08199025')
([('13790133', '_hypernym', '13783581'), ('13783581', 'NO_OP', '13783581'), ('13783581', '_synset_domain_topic_of', '06000644')], '06000644')
([('00315383', '_derivationally_related_form', '01324799'), ('01324799', '_hypernym', '00015388'), ('00015388', '¬_hypernym', '02384858')], '00015388')
([('13472125', '_hypernym', '13458268'), ('13458268', '¬_derivationally_related_form', '00209174'), ('00209174', '_synset_domain_topic_of', '06084469')], '06084469')
([('10316164', '_hypernym', '10317007'), ('10317007', '¬_hypernym', '09770179'), ('09770179', '_synset_domain_topic_of', '08199025')], '08199025')
([('04932561', '_hypernym', '04932278'), ('04932278', 'NO_OP', '04932278'), ('04932278', '_synset_domain_topic_of', '06128570')], '06128570')
([('08454191', '_hypernym', '08454003'), ('08454003', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00808162')], '08441203')
([('00565809', '_synset_domain_topic_of', '00482298'), ('00482298', '¬_synset_domain_topic_of', '00568813'), ('00568813', '_synset_domain_topic_of', '00480508')], '00480508')
([('02743207', '_hypernym', '03763133'), ('03763133', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00952963')], '08199025')
([('08196024', 'NO_OP', '08196024'), ('08196024', '_member_meronym', '08195797'), ('08195797', '_synset_domain_topic_of', '08199025')], '08199025')
([('06750804', '¬_hypernym', '06753550'), ('06753550', '_synset_domain_topic_of', '06163751'), ('06163751', '¬_synset_domain_topic_of', '13798814')], '06163751')
([('01684663', '¬_derivationally_related_form', '00936620'), ('00936620', '_hypernym', '00933420'), ('00933420', '¬_synset_domain_topic_of', '01697027')], '00933420')
([('10208950', '_hypernym', '10317007'), ('10317007', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03919096')], '08199025')
([('03085333', 'NO_OP', '03085333'), ('03085333', '_has_part', '03827107'), ('03827107', '_synset_domain_topic_of', '06128570')], '06128570')
([('01113473', '_verb_group', '01140654'), ('01140654', 'NO_OP', '01140654'), ('01140654', '_synset_domain_topic_of', '00471613')], '00471613')
([('00266197', '¬_hypernym', '00266391'), ('00266391', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '14917208')], '06084469')
([('15297069', '_hypernym', '15269513'), ('15269513', '¬_hypernym', '15269128'), ('15269128', '_synset_domain_topic_of', '06128570')], '06128570')
([('08211475', 'NO_OP', '08211475'), ('08211475', '_hypernym', '08211290'), ('08211290', '_synset_domain_topic_of', '08199025')], '08199025')
([('04404412', '_has_part', '04405907'), ('04405907', '_synset_domain_topic_of', '06277280'), ('06277280', '_has_part', '06278136')], '06277280')
([('08038995', '¬_member_of_domain_region', '08957381'), ('08957381', '_member_of_domain_region', '08021464'), ('08021464', '_synset_domain_topic_of', '00759694')], '00759694')
([('01958868', '_hypernym', '01958615'), ('01958615', '_derivationally_related_form', '00450335'), ('00450335', '¬_hypernym', '00450700')], '00450335')
([('13981403', '_derivationally_related_form', '01093172'), ('01093172', '¬_derivationally_related_form', '00973077'), ('00973077', '¬_derivationally_related_form', '01093172')], '00973077')
([('00567044', 'NO_OP', '00567044'), ('00567044', '¬_hypernym', '00567685'), ('00567685', '_synset_domain_topic_of', '00482298')], '00482298')
([('08196024', '_member_meronym', '08195797'), ('08195797', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00970645')], '08199025')
([('07339653', '¬_hypernym', '07339941'), ('07339941', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '04062807')], '08199025')
([('10225787', '_hypernym', '10644839'), ('10644839', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08394922')], '08199025')
([('00129743', '_hypernym', '00130093'), ('00130093', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '09901143')], '00471613')
([('01720980', '¬_hypernym', '01721415'), ('01721415', '_synset_domain_topic_of', '07006119'), ('07006119', '¬_synset_domain_topic_of', '01720660')], '07006119')
([('00968155', '¬_hypernym', '00968479'), ('00968479', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03550153')], '08199025')
([('05862721', '_hypernym', '05861855'), ('05861855', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '00568879')], '06000644')
([('00620554', '_derivationally_related_form', '02838592'), ('02838592', '_derivationally_related_form', '00903559'), ('00903559', '¬_synset_domain_topic_of', '00573671')], '00903559')
([('00642644', '¬_derivationally_related_form', '05802730'), ('05802730', '_synset_domain_topic_of', '06000644'), ('06000644', '_derivationally_related_form', '10301261')], '06000644')
([('00638723', '_hypernym', '00637259'), ('00637259', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '13798814')], '06000644')
([('13783816', '¬_hypernym', '13785136'), ('13785136', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '06014043')], '06000644')
([('04932875', '_hypernym', '04932278'), ('04932278', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '00743692')], '06128570')
([('01713348', '_hypernym', '01712704'), ('01712704', '¬_hypernym', '01723224'), ('01723224', '_synset_domain_topic_of', '06157326')], '06157326')
([('09590495', '_synset_domain_topic_of', '07983856'), ('07983856', '_hypernym', '07978423'), ('07978423', '_hypernym', '07951464')], '07978423')
([('01958615', '¬_hypernym', '01960105'), ('01960105', '_synset_domain_topic_of', '00450335'), ('00450335', '_hypernym', '00523513')], '00450335')
([('14621446', '¬_has_part', '14682133'), ('14682133', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00226379')], '06084469')
([('00128867', '_hypernym', '00128638'), ('00128638', '¬_hypernym', '00128976'), ('00128976', '_synset_domain_topic_of', '00471613')], '00471613')
([('01920932', '¬_hypernym', '01926031'), ('01926031', '_synset_domain_topic_of', '00523513'), ('00523513', '¬_synset_domain_topic_of', '01420451')], '00523513')
([('10028765', '¬_derivationally_related_form', '01097500'), ('01097500', '¬_derivationally_related_form', '01157850'), ('01157850', '_synset_domain_topic_of', '08199025')], '08199025')
([('01673891', '¬_hypernym', '01674717'), ('01674717', '_synset_domain_topic_of', '00714944'), ('00714944', '¬_synset_domain_topic_of', '01752025')], '00714944')
([('01259380', '¬_has_part', '00490569'), ('00490569', '_hypernym', '00488225'), ('00488225', '_has_part', '01259211')], '00488225')
([('13446390', '¬_hypernym', '13435152'), ('13435152', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '11409059')], '06084469')
([('06734467', '_hypernym', '06733939'), ('06733939', '_derivationally_related_form', '01015244'), ('01015244', '_synset_domain_topic_of', '08441203')], '08441203')
([('03763968', '¬_hypernym', '03239259'), ('03239259', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '09942275')], '08199025')
([('04932875', '_hypernym', '04932278'), ('04932278', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '01032840')], '06128570')
([('01755389', '_hypernym', '01708676'), ('01708676', '_synset_domain_topic_of', '00428270'), ('00428270', '¬_synset_domain_topic_of', '01708676')], '00428270')
([('08397675', '_hypernym', '08397255'), ('08397255', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08648658')], '08199025')
([('01126856', '_derivationally_related_form', '02466670'), ('02466670', '¬_derivationally_related_form', '06535222'), ('06535222', '_synset_domain_topic_of', '08441203')], '08441203')
([('06464419', '_synset_domain_topic_of', '06969129'), ('06969129', '_synset_domain_topic_of', '06236802'), ('06236802', '¬_synset_domain_topic_of', '06431156')], '06236802')
