WN18RR, _hypernym_WN18_generic_PPO_simple_embedding_100
([('02851099', '¬_derivationally_related_form', '01130169'), ('01130169', '_derivationally_related_form', '04192858'), ('04192858', '_hypernym', '04014297')], '04014297')
([('02536864', '¬_member_meronym', '02535909'), ('02535909', '_member_meronym', '02536165'), ('02536165', '_hypernym', '02534734')], '02534734')
([('01255967', '¬_also_see', '01552519'), ('01552519', '¬_hypernym', '01257173'), ('01257173', '¬_derivationally_related_form', '03041632')], '01552519')
([('13712592', '¬_has_part', '13712428'), ('13712428', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13650447')], '13603305')
([('12519328', '¬_member_meronym', '12501745'), ('12501745', '_member_meronym', '12561696'), ('12561696', '_hypernym', '11585340')], '11585340')
([('08766455', '¬_has_part', '08765890'), ('08765890', '_has_part', '08766846'), ('08766846', '_instance_hypernym', '08524735')], '08524735')
([('08983556', '¬_has_part', '08982587'), ('08982587', '_has_part', '08984010'), ('08984010', '_instance_hypernym', '08524735')], '08524735')
([('01849746', '_verb_group', '02053941'), ('02053941', '_hypernym', '01849221'), ('01849221', 'NO_OP', '01849221')], '01849221')
([('02272552', '¬_member_meronym', '02272428'), ('02272428', '¬_member_meronym', '02271740'), ('02271740', '_member_meronym', '02271897')], '02271897')
([('08454003', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13254237'), ('13254237', '_hypernym', '13252973')], '08441203')
([('01463963', '¬_also_see', '01494310'), ('01494310', '¬_hypernym', '01496978'), ('01496978', '_derivationally_related_form', '04194289')], '01494310')
([('09581129', '_synset_domain_topic_of', '07983856'), ('07983856', '¬_synset_domain_topic_of', '09582343'), ('09582343', '_hypernym', '09578465')], '09578465')
([('15128997', '¬_has_part', '15128711'), ('15128711', '_instance_hypernym', '15243730'), ('15243730', 'NO_OP', '15243730')], '15243730')
([('02498987', '_derivationally_related_form', '13301328'), ('13301328', '_derivationally_related_form', '02498716'), ('02498716', '¬_derivationally_related_form', '06558678')], '02498716')
([('00325785', '_derivationally_related_form', '01922895'), ('01922895', '_hypernym', '01921964'), ('01921964', '_derivationally_related_form', '00325110')], '00325110')
([('12933164', '¬_member_meronym', '12930044'), ('12930044', '¬_hypernym', '12941360'), ('12941360', '_hypernym', '11585340')], '11585340')
([('01579260', '¬_member_meronym', '01578821'), ('01578821', '_member_meronym', '01579028'), ('01579028', '_hypernym', '01578575')], '01578575')
([('12293419', '¬_member_meronym', '12290116'), ('12290116', '_member_meronym', '12298003'), ('12298003', '_hypernym', '11567411')], '11567411')
([('08762104', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08706663'), ('08706663', '_instance_hypernym', '08633957')], '08633957')
([('14698000', '¬_hypernym', '14936226'), ('14936226', '_hypernym', '14696793'), ('14696793', '¬_hypernym', '14698884')], '14696793')
([('12847749', '¬_member_meronym', '12838027'), ('12838027', '_member_meronym', '12868418'), ('12868418', '_hypernym', '11579418')], '11579418')
([('01713310', '¬_member_meronym', '01711662'), ('01711662', '_member_meronym', '01716732'), ('01716732', '_hypernym', '01342529')], '01342529')
([('12635151', '¬_member_meronym', '12633386'), ('12633386', '_member_meronym', '12634986'), ('12634986', '_hypernym', '12634211')], '12634211')
([('07536870', '_derivationally_related_form', '01796582'), ('01796582', '_derivationally_related_form', '07535670'), ('07535670', '¬_hypernym', '07536074')], '07536074')
([('01255935', '_derivationally_related_form', '01730384'), ('01730384', '_synset_domain_topic_of', '00543233'), ('00543233', '_synset_domain_topic_of', '00545501')], '00545501')
([('01244178', '_derivationally_related_form', '00252020'), ('00252020', '_derivationally_related_form', '01393339'), ('01393339', '_derivationally_related_form', '04367480')], '01393339')
([('02758977', '¬_derivationally_related_form', '11508382'), ('11508382', '_hypernym', '11494638'), ('11494638', '_derivationally_related_form', '02756821')], '02756821')
([('05769726', '_derivationally_related_form', '01637633'), ('01637633', 'NO_OP', '01637633'), ('01637633', '¬_derivationally_related_form', '05768806')], '05768806')
([('01378800', '¬_member_meronym', '01354869'), ('01354869', '_member_meronym', '01352059'), ('01352059', '¬_hypernym', '01364587')], '01352059')
([('12004686', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11962500'), ('11962500', '_hypernym', '11579418')], '11579418')
([('08013653', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08013176'), ('08013176', '_instance_hypernym', '08392137')], '08392137')
([('14482620', '¬_derivationally_related_form', '00044353'), ('00044353', 'NO_OP', '00044353'), ('00044353', '¬_derivationally_related_form', '14481929')], '14481929')
([('12140511', '¬_member_meronym', '12140137'), ('12140137', '_member_meronym', '12140358'), ('12140358', 'NO_OP', '12140358')], '12140358')
([('08097391', '¬_member_meronym', '08096624'), ('08096624', '_member_meronym', '08097222'), ('08097222', '_hypernym', '08149781')], '08149781')
([('12445138', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12444666'), ('12444666', '_hypernym', '11561228')], '11561228')
([('13658278', '_has_part', '13658027'), ('13658027', '_has_part', '13657849'), ('13657849', '_hypernym', '13649268')], '13649268')
([('11990804', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '12010021'), ('12010021', '_hypernym', '11579418')], '11579418')
([('00390842', '¬_derivationally_related_form', '10656223'), ('10656223', '_derivationally_related_form', '01568630'), ('01568630', '_hypernym', '00462092')], '00462092')
([('06856568', '_member_meronym', '06865345'), ('06865345', '_hypernym', '06814870'), ('06814870', '_has_part', '06862202')], '06814870')
([('12071965', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12082764'), ('12082764', '_hypernym', '11556857')], '11556857')
([('11649597', '¬_member_meronym', '11607392'), ('11607392', '_member_meronym', '11660979'), ('11660979', '_hypernym', '11553763')], '11553763')
([('15127729', '¬_has_part', '15127307'), ('15127307', '_has_part', '15127507'), ('15127507', '_instance_hypernym', '15247518')], '15247518')
([('00754280', '_derivationally_related_form', '02572119'), ('02572119', '¬_derivationally_related_form', '00780148'), ('00780148', '_derivationally_related_form', '02572119')], '00780148')
([('11898079', '¬_member_meronym', '11867525'), ('11867525', '_member_meronym', '11874707'), ('11874707', '_hypernym', '11575425')], '11575425')
([('12010021', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11964269'), ('11964269', '_hypernym', '11579418')], '11579418')
([('02181402', '_derivationally_related_form', '07389330'), ('07389330', '_derivationally_related_form', '02180898'), ('02180898', '_hypernym', '02176268')], '02180898')
([('00101956', '_derivationally_related_form', '10636874'), ('10636874', '_derivationally_related_form', '00006238'), ('00006238', '¬_also_see', '00005815')], '00006238')
([('13178107', '¬_member_meronym', '13172107'), ('13172107', '_member_meronym', '13175484'), ('13175484', '_hypernym', '13167078')], '13167078')
([('15164957', '_has_part', '15165289'), ('15165289', 'NO_OP', '15165289'), ('15165289', '_hypernym', '15113229')], '15113229')
([('02144442', '¬_member_meronym', '02140970'), ('02140970', '_member_meronym', '02143594'), ('02143594', '_hypernym', '01862557')], '01862557')
([('12076075', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12054902'), ('12054902', '_hypernym', '11556857')], '11556857')
([('11873845', '¬_has_part', '11873396'), ('11873396', '_member_meronym', '11873612'), ('11873612', '¬_member_meronym', '11873396')], '11873612')
([('11814059', '¬_member_meronym', '11804604'), ('11804604', '_member_meronym', '11818515'), ('11818515', '_hypernym', '11573660')], '11573660')
([('02391193', '¬_derivationally_related_form', '07453638'), ('07453638', '_derivationally_related_form', '02386388'), ('02386388', '¬_hypernym', '02386012')], '02386388')
([('12429942', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12438977'), ('12438977', '_hypernym', '11561228')], '11561228')
([('12797025', 'NO_OP', '12797025'), ('12797025', '¬_member_meronym', '12796617'), ('12796617', '_member_meronym', '12796849')], '12796849')
([('00618057', '_derivationally_related_form', '00073828'), ('00073828', '_derivationally_related_form', '00618057'), ('00618057', '¬_also_see', '00617748')], '00617748')
([('11905236', '¬_member_meronym', '11900058'), ('11900058', '_member_meronym', '11907267'), ('11907267', '_hypernym', '11575425')], '11575425')
([('12589286', '¬_member_meronym', '12581381'), ('12581381', '_member_meronym', '12587366'), ('12587366', '_hypernym', '11556857')], '11556857')
([('08040762', '¬_member_of_domain_region', '08888676'), ('08888676', '_member_of_domain_region', '08024408'), ('08024408', '_instance_hypernym', '08392137')], '08392137')
([('09201301', '_has_part', '09293917'), ('09293917', 'NO_OP', '09293917'), ('09293917', '_instance_hypernym', '09403734')], '09403734')
([('09456614', '¬_has_part', '09345932'), ('09345932', '_hypernym', '09225146'), ('09225146', '_synset_domain_topic_of', '09376198')], '09225146')
([('15231964', '_has_part', '15232406'), ('15232406', '_has_part', '15232712'), ('15232712', '_instance_hypernym', '15113229')], '15113229')
([('00114095', '¬_derivationally_related_form', '01871680'), ('01871680', '¬_derivationally_related_form', '00113726'), ('00113726', '¬_derivationally_related_form', '02094569')], '00113726')
([('03058949', '_hypernym', '03058107'), ('03058107', 'NO_OP', '03058107'), ('03058107', '¬_hypernym', '03875218')], '03875218')
([('08454003', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05179180'), ('05179180', 'NO_OP', '05179180')], '08441203')
([('09706396', '¬_member_meronym', '09007723'), ('09007723', '_member_meronym', '09728403'), ('09728403', 'NO_OP', '09728403')], '09728403')
([('12070177', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12086362'), ('12086362', '_hypernym', '11556857')], '11556857')
([('00893167', '¬_derivationally_related_form', '10399299'), ('10399299', '¬_derivationally_related_form', '00903385'), ('00903385', '¬_hypernym', '00903711')], '00903385')
([('09415938', 'NO_OP', '09415938'), ('09415938', '_derivationally_related_form', '09448361'), ('09448361', '_derivationally_related_form', '02070466')], '09448361')
([('08797840', '_has_part', '08798195'), ('08798195', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08846626')], '08524735')
([('02214972', '_member_meronym', '02215334'), ('02215334', '_hypernym', '01759182'), ('01759182', '¬_hypernym', '02281552')], '01759182')
([('11301279', '_instance_hypernym', '10624540'), ('10624540', '¬_instance_hypernym', '11390364'), ('11390364', '_instance_hypernym', '10599806')], '10599806')
([('02273293', '¬_verb_group', '02273922'), ('02273922', '_hypernym', '02205272'), ('02205272', '¬_hypernym', '02273922')], '02205272')
([('13723061', '_has_part', '13722929'), ('13722929', '_hypernym', '13717155'), ('13717155', '¬_hypernym', '13722929')], '13717155')
([('01487008', '¬_derivationally_related_form', '08008017'), ('08008017', '_derivationally_related_form', '01482449'), ('01482449', 'NO_OP', '01482449')], '01482449')
([('08889400', '¬_has_part', '08888676'), ('08888676', '_has_part', '08889657'), ('08889657', '_instance_hypernym', '08633957')], '08633957')
([('01920698', '_derivationally_related_form', '00288970'), ('00288970', '_derivationally_related_form', '01920932'), ('01920932', '_hypernym', '01904930')], '01920932')
([('15232899', 'NO_OP', '15232899'), ('15232899', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229')], '15113229')
([('09066534', '¬_has_part', '09060768'), ('09060768', '_has_part', '09062320'), ('09062320', '_instance_hypernym', '08524735')], '08524735')
([('10252547', '¬_derivationally_related_form', '00830761'), ('00830761', '¬_derivationally_related_form', '10630188'), ('10630188', '¬_hypernym', '09961999')], '10630188')
([('12718807', '¬_member_meronym', '12715569'), ('12715569', '_member_meronym', '12716166'), ('12716166', '_hypernym', '11585340')], '11585340')
([('12438977', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12426100'), ('12426100', '_hypernym', '11561228')], '11561228')
([('12320627', '¬_member_meronym', '12319687'), ('12319687', '_member_meronym', '12320010'), ('12320010', 'NO_OP', '12320010')], '12320010')
([('13630864', '¬_has_part', '13631512'), ('13631512', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13632164')], '13601596')
([('01495192', '¬_member_meronym', '01481599'), ('01481599', '_member_meronym', '01482754'), ('01482754', '_hypernym', '01429349')], '01429349')
([('14145501', '_hypernym', '14145095'), ('14145095', '_hypernym', '14070360'), ('14070360', '¬_hypernym', '14122053')], '14122053')
([('00236289', 'NO_OP', '00236289'), ('00236289', '_derivationally_related_form', '04181228'), ('04181228', '¬_derivationally_related_form', '00233335')], '00233335')
([('02731629', '_has_part', '03868863'), ('03868863', 'NO_OP', '03868863'), ('03868863', '_hypernym', '02895606')], '02895606')
([('15236338', '¬_has_part', '15235126'), ('15235126', '_hypernym', '15154774'), ('15154774', '¬_hypernym', '15156746')], '15154774')
([('12219875', '¬_member_meronym', '12213635'), ('12213635', '_member_meronym', '12215373'), ('12215373', '_hypernym', '11567411')], '11567411')
([('12070177', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12055839'), ('12055839', '_hypernym', '11556857')], '11556857')
([('02215334', '¬_member_meronym', '02214972'), ('02214972', 'NO_OP', '02214972'), ('02214972', '_hypernym', '01759182')], '01759182')
([('15231964', '_has_part', '15232406'), ('15232406', 'NO_OP', '15232406'), ('15232406', '_instance_hypernym', '15113229')], '15113229')
([('12906926', '¬_member_meronym', '12892226'), ('12892226', '_member_meronym', '12905655'), ('12905655', '_hypernym', '11579418')], '11579418')
([('10769459', '_derivationally_related_form', '01158181'), ('01158181', '_derivationally_related_form', '10479561'), ('10479561', '_hypernym', '09612848')], '10479561')
([('01990007', '¬_member_meronym', '01989701'), ('01989701', '_member_meronym', '01989869'), ('01989869', '¬_hypernym', '01990007')], '01989869')
([('13631512', '_has_part', '13630864'), ('13630864', '_hypernym', '13601596'), ('13601596', 'NO_OP', '13601596')], '13601596')
([('02277138', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_synset_domain_topic_of', '02277897'), ('02277897', '_hypernym', '02321757')], '02321757')
([('03928116', '_has_part', '03928814'), ('03928814', '¬_has_part', '02672831'), ('02672831', '_hypernym', '03614532')], '03614532')
([('03209910', '¬_derivationally_related_form', '03706653'), ('03706653', '_derivationally_related_form', '03209910'), ('03209910', '¬_has_part', '03082979')], '03706653')
([('11918131', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '12013323'), ('12013323', '_hypernym', '11579418')], '11579418')
([('11718911', '¬_member_meronym', '11692952'), ('11692952', '_member_meronym', '11697158'), ('11697158', '_hypernym', '11564258')], '11564258')
([('00236289', '¬_derivationally_related_form', '04181228'), ('04181228', '_derivationally_related_form', '00233335'), ('00233335', '¬_hypernym', '00234725')], '00233335')
([('11945930', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11923827'), ('11923827', '_hypernym', '11579418')], '11579418')
([('02693070', 'NO_OP', '02693070'), ('02693070', '_has_part', '04120842'), ('04120842', '¬_has_part', '02687992')], '02687992')
([('02014553', '¬_derivationally_related_form', '07375635'), ('07375635', '¬_derivationally_related_form', '02014165'), ('02014165', '_derivationally_related_form', '07333649')], '02014165')
([('02426634', '¬_member_meronym', '02400139'), ('02400139', '_member_meronym', '02419217'), ('02419217', '_hypernym', '01864707')], '01864707')
([('01063695', 'NO_OP', '01063695'), ('01063695', '¬_verb_group', '00752764'), ('00752764', 'NO_OP', '00752764')], '00752764')
([('12493090', '¬_member_meronym', '12487647'), ('12487647', '_member_meronym', '12497492'), ('12497492', '_hypernym', '11585340')], '11585340')
([('10848122', '_instance_hypernym', '09805475'), ('09805475', '¬_instance_hypernym', '11132245'), ('11132245', '_instance_hypernym', '10566072')], '10566072')
([('03812541', '¬_has_part', '08191987'), ('08191987', '_has_part', '08193448'), ('08193448', '_hypernym', '08337324')], '08337324')
([('10065066', '_derivationally_related_form', '06159473'), ('06159473', '_hypernym', '06158346'), ('06158346', '¬_derivationally_related_form', '10423589')], '10423589')
([('00911752', '_derivationally_related_form', '01661243'), ('01661243', '_synset_domain_topic_of', '00911048'), ('00911048', '¬_hypernym', '00912822')], '00911048')
([('11964269', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11983910'), ('11983910', '_hypernym', '11579418')], '11579418')
([('06837572', '¬_member_meronym', '06498569'), ('06498569', '_member_meronym', '06836929'), ('06836929', '_hypernym', '06828818')], '06828818')
([('00004227', '¬_also_see', '00001740'), ('00001740', '¬_derivationally_related_form', '00831191'), ('00831191', '_derivationally_related_form', '00002325')], '00001740')
([('00472671', '¬_also_see', '00473322'), ('00473322', 'NO_OP', '00473322'), ('00473322', '_hypernym', '00471711')], '00471711')
([('12443547', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12426100'), ('12426100', '_hypernym', '11561228')], '11561228')
([('05567217', 'NO_OP', '05567217'), ('05567217', '_derivationally_related_form', '01209953'), ('01209953', '_derivationally_related_form', '05566504')], '05566504')
([('01041674', '_derivationally_related_form', '00085626'), ('00085626', '¬_derivationally_related_form', '00712833'), ('00712833', 'NO_OP', '00712833')], '00712833')
([('00510189', '_derivationally_related_form', '02491383'), ('02491383', '¬_derivationally_related_form', '00509846'), ('00509846', '¬_hypernym', '00510050')], '00509846')
([('09581129', '_synset_domain_topic_of', '07983856'), ('07983856', '¬_synset_domain_topic_of', '09582343'), ('09582343', '_hypernym', '09578465')], '09578465')
([('12146100', '¬_member_meronym', '12100538'), ('12100538', '_member_meronym', '12114226'), ('12114226', '_hypernym', '11556857')], '11556857')
([('02232606', '_member_meronym', '02235575'), ('02235575', '_hypernym', '01342529'), ('01342529', '¬_hypernym', '01770553')], '01342529')
([('10376523', '¬_hypernym', '10377021'), ('10377021', '_hypernym', '10787470'), ('10787470', '_hypernym', '09605289')], '09605289')
([('01258091', '_derivationally_related_form', '03041632'), ('03041632', '¬_derivationally_related_form', '01257173'), ('01257173', '_hypernym', '01552519')], '01552519')
([('13486671', '¬_has_part', '13489037'), ('13489037', '_hypernym', '13526110'), ('13526110', '¬_hypernym', '13427078')], '13526110')
([('01380902', '¬_member_meronym', '01379636'), ('01379636', '_member_meronym', '01380489'), ('01380489', '_hypernym', '01352574')], '01352574')
([('11974557', '¬_member_meronym', '11973888'), ('11973888', '_member_meronym', '11974126'), ('11974126', '¬_member_meronym', '11973888')], '11974126')
([('00326619', '¬_derivationally_related_form', '00246940'), ('00246940', '¬_derivationally_related_form', '00325328'), ('00325328', '_synset_domain_topic_of', '00243918')], '00325328')
([('12317164', '¬_member_meronym', '12314315'), ('12314315', '_member_meronym', '12316300'), ('12316300', '_hypernym', '11744859')], '11744859')
([('11921622', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11975100'), ('11975100', '_hypernym', '11579418')], '11579418')
([('12219495', '¬_member_meronym', '12213635'), ('12213635', '_member_meronym', '12218621'), ('12218621', '_hypernym', '11567411')], '11567411')
([('08395682', '¬_has_part', '08394922'), ('08394922', '_hypernym', '08337324'), ('08337324', '¬_hypernym', '08194546')], '08337324')
([('10663315', '¬_derivationally_related_form', '02554235'), ('02554235', '_hypernym', '02554066'), ('02554066', '_derivationally_related_form', '10485440')], '10485440')
([('11787391', '¬_member_meronym', '11778534'), ('11778534', '_member_meronym', '11786983'), ('11786983', '_hypernym', '11556857')], '11556857')
([('10717196', '_derivationally_related_form', '01430633'), ('01430633', '_derivationally_related_form', '10299700'), ('10299700', '¬_derivationally_related_form', '01430633')], '10299700')
([('08773336', '¬_member_meronym', '08304135'), ('08304135', '_member_meronym', '09012735'), ('09012735', '_instance_hypernym', '08524735')], '08524735')
([('13636989', '_has_part', '13636648'), ('13636648', '_hypernym', '13632961'), ('13632961', '¬_hypernym', '13636989')], '13632961')
([('03209910', '¬_derivationally_related_form', '03706653'), ('03706653', '_hypernym', '03744840'), ('03744840', 'NO_OP', '03744840')], '03706653')
([('03804744', 'NO_OP', '03804744'), ('03804744', '_has_part', '03042829'), ('03042829', '_hypernym', '03323703')], '03323703')
([('02811936', '_has_part', '03750614'), ('03750614', '_hypernym', '04051825'), ('04051825', '¬_has_part', '03385557')], '04051825')
([('08987262', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09036880'), ('09036880', '_instance_hypernym', '08691669')], '08691669')
([('11843285', '¬_member_meronym', '11841529'), ('11841529', '_member_meronym', '11844203'), ('11844203', '_hypernym', '11573660')], '11573660')
([('13623636', '_has_part', '13623455'), ('13623455', '_hypernym', '13616054'), ('13616054', '¬_hypernym', '13624705')], '13616054')
([('08892971', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09001007'), ('09001007', '_instance_hypernym', '08633957')], '08633957')
([('03857828', '¬_has_part', '02962938'), ('02962938', '_hypernym', '03781787'), ('03781787', '_hypernym', '03278248')], '03278248')
([('08805801', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08770274'), ('08770274', '_instance_hypernym', '08524735')], '08524735')
([('01573775', '¬_member_meronym', '01571578'), ('01571578', '_member_meronym', '01573483'), ('01573483', '_hypernym', '01507175')], '01507175')
([('11944569', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11943824'), ('11943824', '_hypernym', '11579418')], '11579418')
([('02276902', '¬_member_meronym', '02276527'), ('02276527', '_member_meronym', '02277094'), ('02277094', '_hypernym', '02274822')], '02274822')
([('07404114', '¬_has_part', '07402519'), ('07402519', '_has_part', '07404798'), ('07404798', '_hypernym', '07406765')], '07406765')
([('01439657', '¬_member_meronym', '01438720'), ('01438720', '_member_meronym', '01442855'), ('01442855', '_hypernym', '01432517')], '01432517')
([('08041484', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08040762'), ('08040762', '_instance_hypernym', '08392137')], '08392137')
([('08794574', '¬_has_part', '08792548'), ('08792548', '¬_has_part', '08791167'), ('08791167', '_instance_hypernym', '08574314')], '08574314')
([('00265673', 'NO_OP', '00265673'), ('00265673', '_verb_group', '00265386'), ('00265386', '_hypernym', '00205885')], '00205885')
([('10889032', '_instance_hypernym', '10030277'), ('10030277', 'NO_OP', '10030277'), ('10030277', '_hypernym', '10794014')], '10794014')
([('02115335', '¬_member_meronym', '02083038'), ('02083038', 'NO_OP', '02083038'), ('02083038', '_member_meronym', '02083346')], '02083346')
([('10818088', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11078982'), ('11078982', '_instance_hypernym', '10547145')], '10547145')
([('00526259', '¬_has_part', '00529224'), ('00529224', '_hypernym', '00428270'), ('00428270', '¬_hypernym', '00528397')], '00428270')
([('05240211', '_has_part', '05243704'), ('05243704', '_hypernym', '08657249'), ('08657249', '¬_hypernym', '05243879')], '08657249')
([('00670250', 'NO_OP', '00670250'), ('00670250', '_has_part', '00669481'), ('00669481', '_hypernym', '00671351')], '00671351')
([('13730054', '¬_hypernym', '13730189'), ('13730189', '¬_has_part', '13729428'), ('13729428', '_hypernym', '13582013')], '13729428')
([('05544078', '¬_has_part', '05540513'), ('05540513', '_has_part', '05545047'), ('05545047', '_hypernym', '05542893')], '05542893')
([('11923827', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11971094'), ('11971094', '_hypernym', '11579418')], '11579418')
([('02563860', '_derivationally_related_form', '03017922'), ('03017922', '¬_derivationally_related_form', '02563327'), ('02563327', '_hypernym', '02560164')], '02560164')
([('12282737', '¬_member_meronym', '12280886'), ('12280886', '_member_meronym', '12283542'), ('12283542', '_hypernym', '12281241')], '12281241')
([('13622769', '_has_part', '13622209'), ('13622209', '_has_part', '13622035'), ('13622035', '_hypernym', '13615557')], '13615557')
([('02027209', '¬_member_meronym', '02025530'), ('02025530', '_member_meronym', '02029914'), ('02029914', '_hypernym', '01507175')], '01507175')
([('06908159', 'NO_OP', '06908159'), ('06908159', '_derivationally_related_form', '02611442'), ('02611442', '¬_derivationally_related_form', '06906971')], '06906971')
([('02291391', '¬_member_meronym', '02291024'), ('02291024', '_hypernym', '01759182'), ('01759182', '¬_hypernym', '01991233')], '01759182')
([('07648267', '¬_has_part', '07644382'), ('07644382', '_has_part', '07649463'), ('07649463', '_hypernym', '07578363')], '07578363')
([('06432715', '¬_has_part', '06449735'), ('06449735', '_has_part', '06436717'), ('06436717', '_instance_hypernym', '06394865')], '06394865')
([('12636107', '¬_member_meronym', '12619306'), ('12619306', '_member_meronym', '12628872'), ('12628872', '_hypernym', '11585340')], '11585340')
([('02563860', '_derivationally_related_form', '03017922'), ('03017922', '_derivationally_related_form', '02563327'), ('02563327', '_hypernym', '02560164')], '02560164')
([('12606907', '¬_member_meronym', '12605019'), ('12605019', '_member_meronym', '12605315'), ('12605315', '_hypernym', '11555413')], '11555413')
([('13624026', '¬_has_part', '13624190'), ('13624190', '_hypernym', '13616054'), ('13616054', '¬_hypernym', '13624873')], '13616054')
([('08206460', '¬_derivationally_related_form', '10523341'), ('10523341', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10225931')], '08199025')
([('01808785', '¬_member_meronym', '01802309'), ('01802309', '_member_meronym', '01807265'), ('01807265', '_hypernym', '01504437')], '01504437')
([('12026306', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11946584'), ('11946584', '_hypernym', '11579418')], '11579418')
([('02609169', '¬_member_meronym', '02607630'), ('02607630', '_member_meronym', '02609466'), ('02609466', '_hypernym', '01432517')], '01432517')
([('11939380', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11962853'), ('11962853', '_hypernym', '11579418')], '11579418')
([('04983848', '_derivationally_related_form', '01501113'), ('01501113', '_derivationally_related_form', '04983402'), ('04983402', '_derivationally_related_form', '01501113')], '04983402')
([('00864159', '_derivationally_related_form', '07233214'), ('07233214', '_hypernym', '07232988'), ('07232988', '_derivationally_related_form', '00841580')], '00841580')
([('02320374', '¬_derivationally_related_form', '06516955'), ('06516955', '¬_derivationally_related_form', '02265231'), ('02265231', '_derivationally_related_form', '05802185')], '02265231')
([('12959226', '¬_member_meronym', '13169674'), ('13169674', '_member_meronym', '13172107'), ('13172107', '_hypernym', '13166338')], '13166338')
([('13512725', '_has_part', '13504497'), ('13504497', '¬_has_part', '13516597'), ('13516597', '_hypernym', '13444703')], '13444703')
([('08040257', '¬_has_part', '08022259'), ('08022259', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08037118')], '08392137')
([('01957529', '¬_verb_group', '02102398'), ('02102398', 'NO_OP', '02102398'), ('02102398', '_hypernym', '01835496')], '01835496')
([('01872635', '¬_member_meronym', '01872094'), ('01872094', '_member_meronym', '01872244'), ('01872244', '_hypernym', '01864707')], '01864707')
([('02621395', '_derivationally_related_form', '04933544'), ('04933544', '_derivationally_related_form', '02620587'), ('02620587', '¬_hypernym', '02621395')], '02620587')
([('02741681', '¬_has_part', '08394922'), ('08394922', '_hypernym', '08337324'), ('08337324', '¬_hypernym', '08139270')], '08337324')
([('08803883', '¬_has_part', '08801678'), ('08801678', '_has_part', '08805386'), ('08805386', '_instance_hypernym', '08524735')], '08524735')
([('02416751', '¬_verb_group', '02416278'), ('02416278', '¬_verb_group', '02416751'), ('02416751', '¬_derivationally_related_form', '09935793')], '02416278')
([('12392385', '¬_member_meronym', '12391745'), ('12391745', '_member_meronym', '12395717'), ('12395717', '_hypernym', '11567411')], '11567411')
([('00541035', '¬_has_part', '00539951'), ('00539951', '_has_part', '00541178'), ('00541178', '_hypernym', '00539121')], '00539121')
([('02235575', 'NO_OP', '02235575'), ('02235575', '¬_member_meronym', '02232606'), ('02232606', '_hypernym', '01342529')], '01342529')
([('03494706', '_has_part', '03503718'), ('03503718', '_hypernym', '04295081'), ('04295081', '¬_hypernym', '03031756')], '04295081')
([('00615887', '_derivationally_related_form', '00994076'), ('00994076', '¬_derivationally_related_form', '00614489'), ('00614489', '¬_hypernym', '00617059')], '00614489')
([('11792155', '¬_member_meronym', '11778534'), ('11778534', '_member_meronym', '11789280'), ('11789280', '_hypernym', '11556857')], '11556857')
([('06352782', '_hypernym', '06361770'), ('06361770', '_hypernym', '06351613'), ('06351613', '_hypernym', '06351202')], '06351613')
