WN18RR, _verb_group_WN18_generic_PPO_simple_embedding_100
([('01496630', '¬_verb_group', '01496843'), ('01496843', '¬_verb_group', '01496630'), ('01496630', '¬_verb_group', '01496843')], '01496843')
([('02742842', '¬_verb_group', '01535246'), ('01535246', '¬_verb_group', '02742842'), ('02742842', '¬_verb_group', '01535246')], '01535246')
([('02230056', '¬_verb_group', '02229550'), ('02229550', '¬_verb_group', '02230056'), ('02230056', '¬_verb_group', '02229550')], '02229550')
([('00229026', '¬_verb_group', '00475183'), ('00475183', '¬_derivationally_related_form', '13468306'), ('13468306', '¬_derivationally_related_form', '00475183')], '00475183')
([('01679433', '¬_verb_group', '01364184'), ('01364184', '¬_verb_group', '00542809'), ('00542809', '¬_verb_group', '01364184')], '00542809')
([('00245457', '¬_verb_group', '00231557'), ('00231557', '¬_verb_group', '00245457'), ('00245457', '¬_hypernym', '00257650')], '00231557')
([('00583991', '¬_verb_group', '00584220'), ('00584220', '_verb_group', '00583991'), ('00583991', '¬_verb_group', '00584220')], '00584220')
([('00570205', '¬_verb_group', '00570003'), ('00570003', '¬_verb_group', '00570205'), ('00570205', 'NO_OP', '00570205')], '00570003')
([('02753255', '¬_verb_group', '01855155'), ('01855155', '¬_verb_group', '02753255'), ('02753255', 'NO_OP', '02753255')], '01855155')
([('01904930', '¬_verb_group', '01906823'), ('01906823', '_derivationally_related_form', '00283568'), ('00283568', '_has_part', '00285889')], '01906823')
([('01675245', '¬_verb_group', '01416539'), ('01416539', '¬_verb_group', '01675245'), ('01675245', '¬_derivationally_related_form', '03481172')], '01416539')
([('01904930', '¬_verb_group', '01906823'), ('01906823', '¬_verb_group', '01904930'), ('01904930', '¬_verb_group', '01882170')], '01882170')
([('02061495', '¬_verb_group', '02055267'), ('02055267', '¬_verb_group', '02061495'), ('02061495', '_also_see', '02004701')], '02055267')
([('02174830', '¬_verb_group', '01880673'), ('01880673', '¬_derivationally_related_form', '07086518'), ('07086518', '¬_derivationally_related_form', '02174830')], '01880673')
([('01875295', '¬_verb_group', '01876028'), ('01876028', '_derivationally_related_form', '04098513'), ('04098513', '_derivationally_related_form', '01876028')], '01876028')
([('00640828', '¬_verb_group', '00949288'), ('00949288', '¬_verb_group', '00640828'), ('00640828', '¬_verb_group', '00949288')], '00949288')
([('00365188', '¬_verb_group', '00365647'), ('00365647', '¬_verb_group', '00365188'), ('00365188', '¬_verb_group', '00365647')], '00365647')
([('00931852', '_derivationally_related_form', '06290637'), ('06290637', '_derivationally_related_form', '00931852'), ('00931852', '¬_verb_group', '00932324')], '00932324')
([('00518115', '¬_verb_group', '00517847'), ('00517847', 'NO_OP', '00517847'), ('00517847', '_verb_group', '00518115')], '00517847')
([('00874002', '¬_verb_group', '02359061'), ('02359061', '¬_verb_group', '00874002'), ('00874002', 'NO_OP', '00874002')], '02359061')
([('02154508', '¬_verb_group', '01637982'), ('01637982', '¬_verb_group', '00721437'), ('00721437', '_derivationally_related_form', '05808218')], '01637982')
([('02344243', '¬_verb_group', '01153947'), ('01153947', '¬_verb_group', '02344243'), ('02344243', '¬_verb_group', '01153947')], '01153947')
([('01551871', '_derivationally_related_form', '04157320'), ('04157320', '_derivationally_related_form', '01551871'), ('01551871', '¬_verb_group', '01684337')], '01684337')
([('01426153', '¬_verb_group', '01426397'), ('01426397', '_derivationally_related_form', '07488340'), ('07488340', '_derivationally_related_form', '01426397')], '01426397')
([('00575970', '¬_verb_group', '00575720'), ('00575720', '¬_verb_group', '00575970'), ('00575970', '¬_verb_group', '00575720')], '00575720')
([('02428487', '¬_verb_group', '00495998'), ('00495998', '¬_derivationally_related_form', '10785333'), ('10785333', '¬_derivationally_related_form', '01766952')], '00495998')
([('02106006', '_derivationally_related_form', '05721500'), ('05721500', '_derivationally_related_form', '02106006'), ('02106006', '¬_verb_group', '02730471')], '02730471')
([('01698271', '¬_derivationally_related_form', '10794014'), ('10794014', '_derivationally_related_form', '01698271'), ('01698271', '¬_verb_group', '01744611')], '01744611')
([('00435853', '¬_verb_group', '00125078'), ('00125078', '¬_verb_group', '00435688'), ('00435688', '¬_verb_group', '00125078')], '00125078')
([('00620673', '¬_verb_group', '00619610'), ('00619610', 'NO_OP', '00619610'), ('00619610', '_derivationally_related_form', '00072473')], '00619610')
([('02297948', '¬_verb_group', '02297742'), ('02297742', 'NO_OP', '02297742'), ('02297742', '¬_verb_group', '02297948')], '02297742')
([('01562209', '¬_verb_group', '01562061'), ('01562061', '¬_verb_group', '01562209'), ('01562209', 'NO_OP', '01562209')], '01562061')
([('02055267', '¬_verb_group', '02061495'), ('02061495', '¬_verb_group', '02055267'), ('02055267', '¬_verb_group', '02061495')], '02061495')
([('02582042', '¬_verb_group', '02582450'), ('02582450', '¬_verb_group', '02582042'), ('02582042', '¬_verb_group', '02582450')], '02582450')
([('02646757', '¬_verb_group', '02207206'), ('02207206', '_derivationally_related_form', '09885145'), ('09885145', '¬_derivationally_related_form', '02207206')], '02207206')
([('00870213', '¬_verb_group', '00870577'), ('00870577', '_derivationally_related_form', '06672297'), ('06672297', '¬_derivationally_related_form', '00871195')], '00870577')
([('02342132', '¬_verb_group', '02752931'), ('02752931', '_hypernym', '02620587'), ('02620587', '¬_hypernym', '02621244')], '02752931')
([('01069190', '¬_verb_group', '01069391'), ('01069391', '¬_verb_group', '01069190'), ('01069190', '¬_verb_group', '01069391')], '01069391')
([('01984317', '¬_verb_group', '01984119'), ('01984119', '¬_verb_group', '01984317'), ('01984317', '¬_verb_group', '01984119')], '01984119')
([('01153947', '¬_verb_group', '02344243'), ('02344243', '¬_verb_group', '01153947'), ('01153947', '¬_verb_group', '02344243')], '02344243')
([('01853696', '¬_verb_group', '01915365'), ('01915365', '¬_derivationally_related_form', '00201058'), ('00201058', '_derivationally_related_form', '01915365')], '01915365')
([('02728570', '¬_verb_group', '02247028'), ('02247028', '¬_verb_group', '02728570'), ('02728570', '¬_verb_group', '02247028')], '02247028')
([('01377571', '¬_verb_group', '02029492'), ('02029492', '¬_verb_group', '01377571'), ('01377571', '¬_verb_group', '02029492')], '02029492')
([('01855155', '¬_verb_group', '02753255'), ('02753255', 'NO_OP', '02753255'), ('02753255', 'NO_OP', '02753255')], '02753255')
([('01891817', '¬_verb_group', '00009631'), ('00009631', '¬_verb_group', '01891817'), ('01891817', '_derivationally_related_form', '00115500')], '00009631')
([('01168468', '¬_verb_group', '01179865'), ('01179865', '¬_derivationally_related_form', '00838367'), ('00838367', '_derivationally_related_form', '01166351')], '01166351')
([('00683771', '¬_verb_group', '00693780'), ('00693780', '_hypernym', '00690614'), ('00690614', '¬_verb_group', '00623151')], '00693780')
([('00783523', '¬_verb_group', '00975036'), ('00975036', '¬_verb_group', '00783523'), ('00783523', '¬_derivationally_related_form', '06796642')], '00975036')
([('01976841', 'NO_OP', '01976841'), ('01976841', 'NO_OP', '01976841'), ('01976841', '¬_verb_group', '01977701')], '01977701')
([('01368863', '¬_derivationally_related_form', '00944449'), ('00944449', '¬_derivationally_related_form', '02054989'), ('02054989', 'NO_OP', '02054989')], '02054989')
([('01079480', '¬_verb_group', '01072949'), ('01072949', '_verb_group', '01079480'), ('01079480', '¬_verb_group', '01080691')], '01072949')
([('01026728', '¬_verb_group', '02676054'), ('02676054', '¬_derivationally_related_form', '05922949'), ('05922949', '_derivationally_related_form', '02676054')], '02676054')
([('01540693', '¬_verb_group', '01282142'), ('01282142', '¬_verb_group', '01540693'), ('01540693', '_hypernym', '00173338')], '01282142')
([('02687916', '¬_verb_group', '01129201'), ('01129201', 'NO_OP', '01129201'), ('01129201', '_verb_group', '02687916')], '01129201')
([('01082454', '_derivationally_related_form', '09901143'), ('09901143', '_derivationally_related_form', '01439190'), ('01439190', '¬_verb_group', '01082454')], '01439190')
([('02489456', '¬_derivationally_related_form', '07452074'), ('07452074', '¬_derivationally_related_form', '02489456'), ('02489456', '¬_verb_group', '02488834')], '02488834')
([('01629589', '¬_verb_group', '02525447'), ('02525447', '¬_verb_group', '01629589'), ('01629589', '¬_verb_group', '02525447')], '02525447')
([('02018372', 'NO_OP', '02018372'), ('02018372', '¬_verb_group', '01155090'), ('01155090', '_derivationally_related_form', '00340192')], '01155090')
([('01505254', '¬_verb_group', '01506583'), ('01506583', '_derivationally_related_form', '00341695'), ('00341695', 'NO_OP', '00341695')], '01506583')
([('02009433', '¬_verb_group', '02015598'), ('02015598', '¬_derivationally_related_form', '00053097'), ('00053097', '¬_derivationally_related_form', '02030158')], '02015598')
([('00001740', '_derivationally_related_form', '05200169'), ('05200169', '_derivationally_related_form', '00001740'), ('00001740', '¬_verb_group', '00002573')], '00002573')
([('00971015', '¬_verb_group', '01028748'), ('01028748', '_hypernym', '01029852'), ('01029852', '_derivationally_related_form', '07202579')], '01028748')
([('02733122', '¬_verb_group', '02202928'), ('02202928', '_derivationally_related_form', '10229498'), ('10229498', '¬_hypernym', '10345100')], '02202928')
([('02502916', '¬_verb_group', '00796976'), ('00796976', '¬_verb_group', '02237338'), ('02237338', '¬_verb_group', '00796976')], '00796976')
([('00013615', '¬_verb_group', '01719302'), ('01719302', '¬_verb_group', '01722077'), ('01722077', '_hypernym', '01721754')], '01719302')
([('01185981', '¬_verb_group', '01186208'), ('01186208', '¬_derivationally_related_form', '07578093'), ('07578093', '¬_derivationally_related_form', '01186208')], '01186208')
([('00557686', '¬_verb_group', '01535742'), ('01535742', '¬_verb_group', '00557686'), ('00557686', '¬_verb_group', '01535742')], '01535742')
([('01894649', '¬_verb_group', '01708676'), ('01708676', '_derivationally_related_form', '09989502'), ('09989502', '_derivationally_related_form', '01708676')], '01708676')
([('01989562', '¬_verb_group', '01989053'), ('01989053', '¬_derivationally_related_form', '07477945'), ('07477945', 'NO_OP', '07477945')], '01989053')
([('02297948', '¬_verb_group', '02297742'), ('02297742', '¬_verb_group', '02297948'), ('02297948', '¬_verb_group', '02297742')], '02297742')
([('00683771', '¬_verb_group', '00693780'), ('00693780', '¬_verb_group', '00683771'), ('00683771', '¬_verb_group', '00693780')], '00693780')
([('01989562', '¬_verb_group', '01989053'), ('01989053', '¬_verb_group', '00613393'), ('00613393', '¬_verb_group', '01989053')], '01989053')
([('01726879', '_derivationally_related_form', '07086518'), ('07086518', '¬_derivationally_related_form', '02174830'), ('02174830', '_verb_group', '01880673')], '01880673')
([('00691516', '¬_verb_group', '00971015'), ('00971015', '¬_verb_group', '00691516'), ('00691516', '¬_verb_group', '00971015')], '00971015')
([('01416539', '¬_verb_group', '01675245'), ('01675245', '¬_verb_group', '01416539'), ('01416539', '¬_verb_group', '01675245')], '01675245')
([('02002720', '¬_verb_group', '02056466'), ('02056466', '¬_verb_group', '02002720'), ('02002720', '¬_verb_group', '02056466')], '02056466')
([('00458471', '¬_verb_group', '00458754'), ('00458754', '¬_derivationally_related_form', '14738752'), ('14738752', 'NO_OP', '14738752')], '00458754')
([('00888009', 'NO_OP', '00888009'), ('00888009', '¬_verb_group', '00887463'), ('00887463', '¬_verb_group', '00888009')], '00887463')
([('01026728', '¬_verb_group', '02676054'), ('02676054', '¬_verb_group', '01026728'), ('01026728', '¬_verb_group', '02676054')], '02676054')
([('00691516', '¬_verb_group', '00971015'), ('00971015', '¬_verb_group', '01028748'), ('01028748', '¬_verb_group', '00971015')], '00971015')
([('01877204', '¬_verb_group', '01876907'), ('01876907', '¬_derivationally_related_form', '07337390'), ('07337390', '¬_derivationally_related_form', '02662297')], '01876907')
([('02283716', '¬_verb_group', '02202384'), ('02202384', '_derivationally_related_form', '00810598'), ('00810598', '_derivationally_related_form', '02283324')], '02202384')
([('00805376', '¬_verb_group', '01035530'), ('01035530', '_derivationally_related_form', '07175241'), ('07175241', '¬_hypernym', '07176682')], '01035530')
([('00767334', '¬_verb_group', '01808218'), ('01808218', '_hypernym', '01505254'), ('01505254', '¬_verb_group', '01506583')], '01808218')
([('01224744', '¬_verb_group', '00597385'), ('00597385', '¬_derivationally_related_form', '05641959'), ('05641959', '¬_derivationally_related_form', '00597385')], '00597385')
([('01179865', '¬_verb_group', '01168468'), ('01168468', '¬_verb_group', '01179865'), ('01179865', '¬_verb_group', '01168468')], '01168468')
([('00753881', '¬_derivationally_related_form', '00583246'), ('00583246', '¬_derivationally_related_form', '00753881'), ('00753881', '¬_verb_group', '00792471')], '00792471')
([('00920336', '_derivationally_related_form', '00141806'), ('00141806', '¬_derivationally_related_form', '00920336'), ('00920336', '¬_verb_group', '00918872')], '00918872')
([('01179865', '¬_verb_group', '01168468'), ('01168468', '¬_derivationally_related_form', '10042300'), ('10042300', '¬_hypernym', '10132988')], '01168468')
([('00243900', '¬_verb_group', '00201722'), ('00201722', '¬_verb_group', '00243900'), ('00243900', '¬_verb_group', '00201722')], '00201722')
([('00739340', '_derivationally_related_form', '05786372'), ('05786372', '_derivationally_related_form', '00739340'), ('00739340', '¬_verb_group', '00739082')], '00739082')
([('02230056', '¬_verb_group', '02229550'), ('02229550', '_verb_group', '02230056'), ('02230056', '¬_verb_group', '02229550')], '02229550')
([('01842508', '¬_verb_group', '01949966'), ('01949966', '¬_derivationally_related_form', '04045397'), ('04045397', 'NO_OP', '04045397')], '01949966')
([('02582450', '¬_verb_group', '02582042'), ('02582042', '¬_derivationally_related_form', '10672192'), ('10672192', '¬_derivationally_related_form', '00754731')], '02582042')
([('00683771', '¬_verb_group', '00693780'), ('00693780', 'NO_OP', '00693780'), ('00693780', '¬_verb_group', '00683771')], '00693780')
([('01731353', '_derivationally_related_form', '01255935'), ('01255935', '¬_derivationally_related_form', '01730384'), ('01730384', '_derivationally_related_form', '06867675')], '01730384')
([('02421921', '¬_verb_group', '02099829'), ('02099829', '_verb_group', '01926984'), ('01926984', '_derivationally_related_form', '00293916')], '02099829')
([('00654015', '¬_verb_group', '00654258'), ('00654258', 'NO_OP', '00654258'), ('00654258', '¬_verb_group', '00654015')], '00654258')
([('00169458', '¬_verb_group', '00550117'), ('00550117', '¬_verb_group', '00169458'), ('00169458', 'NO_OP', '00169458')], '00550117')
([('02752931', '¬_verb_group', '02342132'), ('02342132', '¬_derivationally_related_form', '02671421'), ('02671421', '¬_hypernym', '03084204')], '02342132')
([('01609287', '¬_verb_group', '01448100'), ('01448100', '¬_derivationally_related_form', '00114431'), ('00114431', '¬_hypernym', '00115500')], '01448100')
([('01654628', '¬_verb_group', '01685601'), ('01685601', '¬_verb_group', '01654628'), ('01654628', '¬_verb_group', '01685601')], '01685601')
([('02684254', '¬_verb_group', '00908621'), ('00908621', '¬_derivationally_related_form', '08401554'), ('08401554', 'NO_OP', '08401554')], '00908621')
([('01866610', 'NO_OP', '01866610'), ('01866610', '¬_verb_group', '01866192'), ('01866192', '¬_verb_group', '01866610')], '01866192')
([('01719921', '¬_verb_group', '01716619'), ('01716619', '¬_verb_group', '01719921'), ('01719921', '¬_verb_group', '02744977')], '01716619')
([('02523521', 'NO_OP', '02523521'), ('02523521', '¬_verb_group', '02522319'), ('02522319', '¬_verb_group', '02523521')], '02522319')
([('01204439', '¬_verb_group', '01576165'), ('01576165', '_verb_group', '01204439'), ('01204439', '¬_verb_group', '01576165')], '01576165')
([('01558440', '¬_verb_group', '01563005'), ('01563005', '_derivationally_related_form', '00397953'), ('00397953', '¬_derivationally_related_form', '01563724')], '01563005')
([('00669970', '¬_verb_group', '01112584'), ('01112584', '¬_verb_group', '00669970'), ('00669970', '_verb_group', '00786458')], '01112584')
([('01365131', '¬_derivationally_related_form', '03635668'), ('03635668', '_derivationally_related_form', '01365131'), ('01365131', '¬_verb_group', '01232387')], '01232387')
([('00339464', '¬_derivationally_related_form', '07435891'), ('07435891', '¬_derivationally_related_form', '00339464'), ('00339464', '¬_verb_group', '00342980')], '00342980')
([('00036362', '¬_verb_group', '00036178'), ('00036178', '¬_verb_group', '00036362'), ('00036362', '¬_verb_group', '00036178')], '00036178')
([('01926984', '¬_verb_group', '02099829'), ('02099829', '¬_verb_group', '02421921'), ('02421921', '_hypernym', '02421374')], '02099829')
([('01985029', '¬_verb_group', '01547001'), ('01547001', '_verb_group', '01985029'), ('01985029', '¬_verb_group', '01547001')], '01547001')
([('01845720', 'NO_OP', '01845720'), ('01845720', '¬_derivationally_related_form', '00295701'), ('00295701', '_derivationally_related_form', '01846916')], '01846916')
([('00276068', '¬_verb_group', '01755504'), ('01755504', '¬_verb_group', '00276068'), ('00276068', 'NO_OP', '00276068')], '01755504')
([('02389346', '¬_verb_group', '02389592'), ('02389592', 'NO_OP', '02389592'), ('02389592', '¬_verb_group', '02389346')], '02389592')
([('01722077', '¬_verb_group', '01719302'), ('01719302', '¬_verb_group', '01719921'), ('01719921', '¬_derivationally_related_form', '07018931')], '01719302')
([('00971015', 'NO_OP', '00971015'), ('00971015', '¬_verb_group', '01028748'), ('01028748', '¬_verb_group', '00971015')], '01028748')
([('02073065', '¬_verb_group', '00153061'), ('00153061', '¬_verb_group', '02073065'), ('02073065', '_hypernym', '02072849')], '00153061')
([('01724459', 'NO_OP', '01724459'), ('01724459', '¬_verb_group', '01725051'), ('01725051', '¬_verb_group', '01726172')], '01725051')
([('02339171', '¬_verb_group', '02316868'), ('02316868', '¬_verb_group', '02339171'), ('02339171', '¬_verb_group', '02316868')], '02316868')
([('00975036', '¬_verb_group', '00783523'), ('00783523', '¬_verb_group', '00975036'), ('00975036', '¬_verb_group', '00783523')], '00783523')
([('00435688', '_hypernym', '00356258'), ('00356258', '¬_hypernym', '00435688'), ('00435688', '¬_verb_group', '00125078')], '00125078')
([('01496630', 'NO_OP', '01496630'), ('01496630', '¬_verb_group', '01496843'), ('01496843', '¬_verb_group', '01496630')], '01496843')
([('02483267', 'NO_OP', '02483267'), ('02483267', 'NO_OP', '02483267'), ('02483267', '¬_verb_group', '02484208')], '02484208')
([('02609203', '¬_verb_group', '00348746'), ('00348746', '¬_verb_group', '02609203'), ('02609203', '¬_verb_group', '02608347')], '00348746')
([('00315020', '¬_verb_group', '00315330'), ('00315330', '¬_verb_group', '00315020'), ('00315020', '¬_verb_group', '00315330')], '00315330')
([('02212825', '¬_verb_group', '02213074'), ('02213074', '¬_derivationally_related_form', '10003283'), ('10003283', '¬_derivationally_related_form', '02213074')], '02213074')
([('01675245', '¬_verb_group', '01416539'), ('01416539', '_verb_group', '01675245'), ('01675245', '¬_derivationally_related_form', '03481172')], '01416539')
([('01079480', '¬_verb_group', '01072949'), ('01072949', '¬_derivationally_related_form', '10439851'), ('10439851', '_derivationally_related_form', '01072949')], '01072949')
([('01850315', '¬_verb_group', '01835496'), ('01835496', '¬_verb_group', '01850315'), ('01850315', '¬_derivationally_related_form', '10336234')], '01835496')
([('01912893', '¬_derivationally_related_form', '10412055'), ('10412055', '_derivationally_related_form', '01912893'), ('01912893', '¬_verb_group', '01904930')], '01904930')
([('00951399', 'NO_OP', '00951399'), ('00951399', '¬_verb_group', '00951206'), ('00951206', '_derivationally_related_form', '07118002')], '00951206')
([('01560984', '¬_verb_group', '01560731'), ('01560731', '¬_verb_group', '01560984'), ('01560984', '¬_verb_group', '01560731')], '01560731')
([('00348746', '¬_verb_group', '02609203'), ('02609203', '¬_verb_group', '00348746'), ('00348746', '¬_derivationally_related_form', '10107303')], '02609203')
([('01541579', '¬_verb_group', '01542207'), ('01542207', '¬_derivationally_related_form', '00329619'), ('00329619', '_derivationally_related_form', '01542207')], '01542207')
([('02728570', '¬_verb_group', '02247028'), ('02247028', '¬_verb_group', '02728570'), ('02728570', '¬_verb_group', '02247028')], '02247028')
([('02015384', 'NO_OP', '02015384'), ('02015384', 'NO_OP', '02015384'), ('02015384', '¬_verb_group', '02054703')], '02054703')
([('02237338', '¬_verb_group', '00796976'), ('00796976', '¬_verb_group', '02502916'), ('02502916', '¬_verb_group', '00796976')], '00796976')
([('01672490', '¬_verb_group', '01672753'), ('01672753', '¬_verb_group', '01672490'), ('01672490', '_hypernym', '01673472')], '01672753')
([('02741960', '¬_verb_group', '01532589'), ('01532589', '_hypernym', '00126264'), ('00126264', '¬_hypernym', '00500055')], '01532589')
([('01941093', '¬_verb_group', '01840238'), ('01840238', '_hypernym', '01841079'), ('01841079', '¬_hypernym', '01840238')], '01840238')
([('00056930', '¬_hypernym', '00059019'), ('00059019', '¬_verb_group', '00056930'), ('00056930', '_hypernym', '01752495')], '00059019')
([('01767949', '¬_verb_group', '01649999'), ('01649999', '_derivationally_related_form', '09179776'), ('09179776', '¬_derivationally_related_form', '01649999')], '01649999')
([('00613393', '¬_verb_group', '01989053'), ('01989053', '¬_hypernym', '01972976'), ('01972976', '_hypernym', '01989053')], '01989053')
([('01716882', '¬_verb_group', '01719921'), ('01719921', '_verb_group', '01719302'), ('01719302', '_derivationally_related_form', '00548326')], '01719921')
([('02018372', 'NO_OP', '02018372'), ('02018372', '¬_verb_group', '01155090'), ('01155090', '_verb_group', '02018372')], '01155090')
([('01325774', '¬_verb_group', '01325536'), ('01325536', '¬_verb_group', '01325774'), ('01325774', '¬_verb_group', '01325536')], '01325536')
([('01104852', '¬_verb_group', '01101913'), ('01101913', '¬_hypernym', '01105639'), ('01105639', '¬_hypernym', '01106864')], '01101913')
([('00952841', '¬_verb_group', '00937208'), ('00937208', '¬_derivationally_related_form', '06805297'), ('06805297', '_hypernym', '07213395')], '00937208')
([('02114433', '¬_verb_group', '02114056'), ('02114056', '¬_verb_group', '02113850'), ('02113850', 'NO_OP', '02113850')], '02113850')
([('01134781', '¬_verb_group', '01137138'), ('01137138', '¬_verb_group', '01134781'), ('01134781', '¬_verb_group', '01137138')], '01137138')
([('02687916', '¬_verb_group', '01129201'), ('01129201', '¬_verb_group', '02687916'), ('02687916', '¬_verb_group', '01129201')], '01129201')
([('01989562', '¬_verb_group', '01989053'), ('01989053', '¬_verb_group', '01989562'), ('01989562', 'NO_OP', '01989562')], '01989053')
([('01871979', '¬_verb_group', '01872645'), ('01872645', '¬_verb_group', '01871979'), ('01871979', '¬_derivationally_related_form', '11458624')], '01872645')
([('00443116', '¬_verb_group', '00443384'), ('00443384', '¬_verb_group', '00443116'), ('00443116', '¬_derivationally_related_form', '13491060')], '00443384')
([('00833702', '¬_derivationally_related_form', '00893955'), ('00893955', '¬_derivationally_related_form', '00100044'), ('00100044', '_derivationally_related_form', '00893955')], '00100044')
([('01181295', '_derivationally_related_form', '07578363'), ('07578363', '¬_derivationally_related_form', '01181295'), ('01181295', '¬_verb_group', '01180351')], '01180351')
([('01672753', '¬_derivationally_related_form', '03132879'), ('03132879', 'NO_OP', '03132879'), ('03132879', '_derivationally_related_form', '01672490')], '01672490')
([('02342132', '¬_verb_group', '02752931'), ('02752931', '_verb_group', '02342132'), ('02342132', '_derivationally_related_form', '02671421')], '02752931')
([('01152214', '¬_verb_group', '01152670'), ('01152670', '¬_verb_group', '01152214'), ('01152214', '¬_verb_group', '01152670')], '01152670')
([('00052845', '¬_verb_group', '01308681'), ('01308681', '¬_verb_group', '00506952'), ('00506952', '¬_verb_group', '01308681')], '01308681')
([('02686625', 'NO_OP', '02686625'), ('02686625', '¬_verb_group', '02727039'), ('02727039', '¬_verb_group', '02686625')], '02727039')
([('01278817', '¬_verb_group', '00476965'), ('00476965', 'NO_OP', '00476965'), ('00476965', 'NO_OP', '00476965')], '00476965')
([('00646271', '_derivationally_related_form', '00877345'), ('00877345', '_derivationally_related_form', '00645939'), ('00645939', '¬_verb_group', '00646271')], '00645939')
([('01647672', 'NO_OP', '01647672'), ('01647672', '¬_verb_group', '01629000'), ('01629000', '¬_derivationally_related_form', '13260190')], '01629000')
([('00690614', '¬_verb_group', '00623151'), ('00623151', '_derivationally_related_form', '07170753'), ('07170753', '_derivationally_related_form', '00938247')], '00623151')
([('02733122', '¬_verb_group', '02202928'), ('02202928', '¬_verb_group', '02733122'), ('02733122', '¬_verb_group', '02202928')], '02202928')
([('01629403', '¬_verb_group', '01629000'), ('01629000', 'NO_OP', '01629000'), ('01629000', '_derivationally_related_form', '13758745')], '01629000')
([('00411020', '¬_verb_group', '00171852'), ('00171852', '¬_verb_group', '00603298'), ('00603298', '¬_derivationally_related_form', '05753564')], '00171852')
([('00468236', '¬_verb_group', '00468583'), ('00468583', '¬_verb_group', '00468236'), ('00468236', '¬_verb_group', '00468583')], '00468583')
([('00613393', 'NO_OP', '00613393'), ('00613393', 'NO_OP', '00613393'), ('00613393', '¬_verb_group', '01848465')], '01848465')
([('00729109', '¬_verb_group', '02455407'), ('02455407', '¬_derivationally_related_form', '00880662'), ('00880662', '¬_derivationally_related_form', '02150510')], '02455407')
([('00565279', '¬_verb_group', '00565081'), ('00565081', '_hypernym', '00126264'), ('00126264', '¬_hypernym', '02126863')], '00565081')
([('02030764', '¬_verb_group', '02073233'), ('02073233', '_derivationally_related_form', '00059989'), ('00059989', '_derivationally_related_form', '02073233')], '02073233')
([('01659248', '_derivationally_related_form', '13913566'), ('13913566', '¬_derivationally_related_form', '01659248'), ('01659248', '¬_verb_group', '01668603')], '01668603')
([('01866192', '¬_verb_group', '01866610'), ('01866610', 'NO_OP', '01866610'), ('01866610', '¬_derivationally_related_form', '07441619')], '01866610')
([('02380980', '¬_verb_group', '02015168'), ('02015168', '_verb_group', '02380980'), ('02380980', '¬_verb_group', '02015168')], '02015168')
([('01302365', '¬_verb_group', '01302183'), ('01302183', '¬_verb_group', '01302365'), ('01302365', 'NO_OP', '01302365')], '01302183')
([('02061495', '¬_verb_group', '02055267'), ('02055267', '¬_verb_group', '02061495'), ('02061495', '¬_verb_group', '02055267')], '02055267')
([('01156115', '¬_verb_group', '01155687'), ('01155687', '¬_derivationally_related_form', '00506658'), ('00506658', '_derivationally_related_form', '01155687')], '01155687')
([('00059376', '¬_verb_group', '00059019'), ('00059019', '¬_verb_group', '00059376'), ('00059376', '¬_verb_group', '00059019')], '00059019')
([('02455407', '_derivationally_related_form', '09626589'), ('09626589', '_derivationally_related_form', '02455407'), ('02455407', '¬_verb_group', '00729109')], '00729109')
([('01313249', '¬_verb_group', '01360899'), ('01360899', '¬_verb_group', '01313249'), ('01313249', '¬_verb_group', '01360899')], '01360899')
([('01675963', '¬_verb_group', '02749247'), ('02749247', 'NO_OP', '02749247'), ('02749247', '¬_verb_group', '01675963')], '02749247')
([('01725051', '¬_verb_group', '01724459'), ('01724459', '¬_verb_group', '01725051'), ('01725051', '¬_verb_group', '01726172')], '01724459')
([('01640207', '¬_verb_group', '01621555'), ('01621555', '¬_verb_group', '01640207'), ('01640207', '¬_verb_group', '01621555')], '01621555')
([('02461314', '¬_verb_group', '02462580'), ('02462580', '¬_verb_group', '02461314'), ('02461314', '¬_verb_group', '02462580')], '02462580')
([('00435688', '¬_verb_group', '00125078'), ('00125078', '¬_verb_group', '00435688'), ('00435688', '¬_also_see', '01522276')], '00125078')
([('02297948', '¬_verb_group', '02297742'), ('02297742', '_derivationally_related_form', '07185076'), ('07185076', '_derivationally_related_form', '02296726')], '02297742')
([('02247977', '¬_verb_group', '02285629'), ('02285629', '¬_verb_group', '02247977'), ('02247977', '¬_verb_group', '02285629')], '02285629')
([('00693780', '¬_verb_group', '00683771'), ('00683771', '¬_verb_group', '00693780'), ('00693780', '¬_verb_group', '00683771')], '00683771')
([('02055267', '¬_verb_group', '02061495'), ('02061495', 'NO_OP', '02061495'), ('02061495', '¬_verb_group', '02055267')], '02061495')
([('01719302', '¬_verb_group', '00013615'), ('00013615', '¬_verb_group', '01719302'), ('01719302', '¬_verb_group', '01722077')], '00013615')
([('00758333', 'NO_OP', '00758333'), ('00758333', '¬_verb_group', '02275365'), ('02275365', '_verb_group', '00758333')], '02275365')
([('02733122', '¬_verb_group', '02202928'), ('02202928', '¬_verb_group', '02733122'), ('02733122', '¬_derivationally_related_form', '10466918')], '02202928')
([('01359432', '¬_verb_group', '01212230'), ('01212230', '_also_see', '00968211'), ('00968211', '¬_derivationally_related_form', '10483138')], '01212230')
