WN18RR, _instance_hypernym_WN18_generic_PPO_simple_embedding_100
([('09087450', '¬_has_part', '09086173'), ('09086173', '_has_part', '09086635'), ('09086635', '_instance_hypernym', '08524735')], '08524735')
([('09017526', '¬_has_part', '08519916'), ('08519916', '_has_part', '09018848'), ('09018848', '_instance_hypernym', '08700255')], '08700255')
([('08750334', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08988609'), ('08988609', '_instance_hypernym', '08544813')], '08544813')
([('11231157', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11094055'), ('11094055', '_instance_hypernym', '10547145')], '10547145')
([('15128711', '_has_part', '15129220'), ('15129220', '_instance_hypernym', '15243730'), ('15243730', '¬_instance_hypernym', '15124183')], '15243730')
([('08762243', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08714966'), ('08714966', '_instance_hypernym', '08524735')], '08524735')
([('11359187', '_instance_hypernym', '10090020'), ('10090020', '¬_instance_hypernym', '11172609'), ('11172609', '_instance_hypernym', '10421956')], '10421956')
([('08798195', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09107626'), ('09107626', '_instance_hypernym', '08524735')], '08524735')
([('09016860', '¬_has_part', '09014979'), ('09014979', '_has_part', '09016099'), ('09016099', '_instance_hypernym', '08524735')], '08524735')
([('08956140', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09100394'), ('09100394', '_instance_hypernym', '08633957')], '08633957')
([('11073061', '_instance_hypernym', '10022111'), ('10022111', '¬_instance_hypernym', '11086774'), ('11086774', '_instance_hypernym', '10547145')], '10547145')
([('08889657', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08722084'), ('08722084', '_instance_hypernym', '08524735')], '08524735')
([('08903636', '¬_has_part', '08900535'), ('08900535', '_has_part', '08904269'), ('08904269', '_instance_hypernym', '08524735')], '08524735')
([('09097707', '¬_has_part', '09095023'), ('09095023', '_has_part', '09099264'), ('09099264', '_instance_hypernym', '08524735')], '08524735')
([('08743945', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09150662'), ('09150662', '_instance_hypernym', '08524735')], '08524735')
([('08033454', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08028148'), ('08028148', '_instance_hypernym', '08392137')], '08392137')
([('15126175', '_has_part', '15126750'), ('15126750', '_instance_hypernym', '15247518'), ('15247518', '¬_has_part', '15248020')], '15248020')
([('08731148', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09138538'), ('09138538', '_instance_hypernym', '08524735')], '08524735')
([('08773336', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08895497'), ('08895497', '_instance_hypernym', '08524735')], '08524735')
([('08899577', '¬_has_part', '08897065'), ('08897065', '_has_part', '08899351'), ('08899351', '_instance_hypernym', '08524735')], '08524735')
([('09164417', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09001007'), ('09001007', '_instance_hypernym', '08524735')], '08524735')
([('06440489', '¬_has_part', '06452601'), ('06452601', '_has_part', '06439712'), ('06439712', '_instance_hypernym', '06394865')], '06394865')
([('15231415', '¬_has_part', '15254550'), ('15254550', '_hypernym', '15113229'), ('15113229', '¬_hypernym', '15141213')], '15113229')
([('08933084', '¬_has_part', '08932568'), ('08932568', '_has_part', '08933287'), ('08933287', '_instance_hypernym', '08641113')], '08641113')
([('09146813', '¬_has_part', '09141526'), ('09141526', '_has_part', '09145217'), ('09145217', '_instance_hypernym', '08524735')], '08524735')
([('08706247', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08766667'), ('08766667', '_instance_hypernym', '08524735')], '08524735')
([('08956140', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09038439'), ('09038439', '_instance_hypernym', '08524735')], '08524735')
([('08889400', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08956140'), ('08956140', '_instance_hypernym', '08524735')], '08524735')
([('08912559', '¬_has_part', '08910668'), ('08910668', '_has_part', '08912012'), ('08912012', '_instance_hypernym', '08524735')], '08524735')
([('08706502', '¬_has_part', '08705397'), ('08705397', '_has_part', '08706663'), ('08706663', '_instance_hypernym', '08524735')], '08524735')
([('09156241', '¬_has_part', '09155306'), ('09155306', '_has_part', '09156889'), ('09156889', '_instance_hypernym', '08524735')], '08524735')
([('08798062', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08974604'), ('08974604', '_instance_hypernym', '08524735')], '08524735')
([('09016860', '¬_has_part', '09014979'), ('09014979', '_has_part', '09017005'), ('09017005', '_instance_hypernym', '08524735')], '08524735')
([('15127307', '_has_part', '15127507'), ('15127507', '_instance_hypernym', '15247518'), ('15247518', '_hypernym', '15116283')], '15247518')
([('09084075', '¬_has_part', '09082540'), ('09082540', '_has_part', '09083390'), ('09083390', '_instance_hypernym', '08524735')], '08524735')
([('08017257', '¬_member_of_domain_region', '08957381'), ('08957381', '_member_of_domain_region', '08037503'), ('08037503', '_instance_hypernym', '08392137')], '08392137')
([('08706502', '¬_has_part', '08705397'), ('08705397', '_has_part', '08706663'), ('08706663', '_instance_hypernym', '08524735')], '08524735')
([('11132245', '_instance_hypernym', '09805475'), ('09805475', '¬_instance_hypernym', '10848122'), ('10848122', '_instance_hypernym', '10566072')], '10566072')
([('08766667', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09054480'), ('09054480', '_instance_hypernym', '08524735')], '08524735')
([('08046346', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08038748'), ('08038748', '_instance_hypernym', '08392137')], '08392137')
([('09453288', '¬_has_part', '09147964'), ('09147964', '_has_part', '09294413'), ('09294413', '_instance_hypernym', '09403734')], '09403734')
([('08928193', '¬_has_part', '08699426'), ('08699426', '_has_part', '09043052'), ('09043052', '_instance_hypernym', '08698379')], '08698379')
([('09155692', '¬_has_part', '09155306'), ('09155306', '_has_part', '09157021'), ('09157021', '_instance_hypernym', '08524735')], '08524735')
([('09008723', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09040839'), ('09040839', '_instance_hypernym', '08524735')], '08524735')
([('08747054', '_has_part', '08747737'), ('08747737', '_instance_hypernym', '09203827'), ('09203827', '¬_instance_hypernym', '08841956')], '09203827')
([('08773880', '¬_has_part', '08766988'), ('08766988', '_has_part', '08774704'), ('08774704', '_instance_hypernym', '08524735')], '08524735')
([('08766667', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08733415'), ('08733415', '_instance_hypernym', '08524735')], '08524735')
([('11251995', '_instance_hypernym', '10423589'), ('10423589', '¬_instance_hypernym', '11292391'), ('11292391', '_instance_hypernym', '10650162')], '10650162')
([('11115131', '_instance_hypernym', '09947232'), ('09947232', '¬_instance_hypernym', '11378462'), ('11378462', '_instance_hypernym', '09952539')], '09952539')
([('09142674', '¬_has_part', '09141526'), ('09141526', '_has_part', '09143786'), ('09143786', '_instance_hypernym', '08524735')], '08524735')
([('08026539', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08037503'), ('08037503', '_instance_hypernym', '08392137')], '08392137')
([('09453887', '¬_has_part', '09053185'), ('09053185', '_has_part', '09459557'), ('09459557', '_instance_hypernym', '09411430')], '09411430')
([('09165294', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08983742'), ('08983742', '_instance_hypernym', '08524735')], '08524735')
([('09113333', '¬_has_part', '09112282'), ('09112282', '_has_part', '09114020'), ('09114020', '_instance_hypernym', '08524735')], '08524735')
([('01280055', '¬_has_part', '01312096'), ('01312096', '_has_part', '01271107'), ('01271107', '_instance_hypernym', '00956485')], '00956485')
([('08837552', '¬_has_part', '08837048'), ('08837048', '_has_part', '08838887'), ('08838887', '_instance_hypernym', '09203827')], '09203827')
([('06433035', '¬_has_part', '06451891'), ('06451891', '_has_part', '06432715'), ('06432715', '_instance_hypernym', '06394865')], '06394865')
([('09438554', '¬_has_part', '09159003'), ('09159003', '_has_part', '09294066'), ('09294066', '_instance_hypernym', '09411430')], '09411430')
([('08851500', '¬_has_part', '08849753'), ('08849753', '_has_part', '08851687'), ('08851687', '_instance_hypernym', '08524735')], '08524735')
([('08926231', '¬_has_part', '08920924'), ('08920924', '_has_part', '08926381'), ('08926381', '_instance_hypernym', '08524735')], '08524735')
([('08855609', '¬_has_part', '08853741'), ('08853741', '_has_part', '08854855'), ('08854855', '_instance_hypernym', '08524735')], '08524735')
([('09008723', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08805801'), ('08805801', '_instance_hypernym', '08524735')], '08524735')
([('11073061', '_instance_hypernym', '09921792'), ('09921792', '¬_instance_hypernym', '10837918'), ('10837918', '_instance_hypernym', '10547145')], '10547145')
([('01295528', '¬_has_part', '01312096'), ('01312096', '_has_part', '01271107'), ('01271107', '_instance_hypernym', '00956485')], '00956485')
([('01288272', '¬_has_part', '01302086'), ('01302086', '_has_part', '01279120'), ('01279120', '_instance_hypernym', '00956485')], '00956485')
([('01299735', '¬_has_part', '01301630'), ('01301630', '_has_part', '01290435'), ('01290435', '_instance_hypernym', '00968155')], '00968155')
([('09008723', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08789605'), ('08789605', '_instance_hypernym', '08633957')], '08633957')
([('09025451', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09034402'), ('09034402', '_instance_hypernym', '08524735')], '08524735')
([('09040839', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08895497'), ('08895497', '_instance_hypernym', '08524735')], '08524735')
([('08824771', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08877382'), ('08877382', '_instance_hypernym', '08524735')], '08524735')
([('10812047', '_instance_hypernym', '10650162'), ('10650162', '¬_instance_hypernym', '10925939'), ('10925939', '_instance_hypernym', '10123844')], '10123844')
([('09017005', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08956140'), ('08956140', '_instance_hypernym', '08524735')], '08524735')
([('08025112', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08014860'), ('08014860', '_instance_hypernym', '08392137')], '08392137')
([('06440102', '¬_has_part', '06452601'), ('06452601', '_has_part', '06440663'), ('06440663', '_instance_hypernym', '06394865')], '06394865')
([('08770932', '¬_has_part', '08766988'), ('08766988', '_has_part', '08770274'), ('08770274', '_instance_hypernym', '08524735')], '08524735')
([('09172111', '¬_has_part', '09167767'), ('09167767', '_instance_hypernym', '08505573'), ('08505573', '¬_instance_hypernym', '09173023')], '08505573')
([('08987262', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '08986066'), ('08986066', '_instance_hypernym', '08633957')], '08633957')
([('08910230', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08722084'), ('08722084', '_instance_hypernym', '08633957')], '08633957')
([('08912279', '¬_has_part', '08910668'), ('08910668', '_has_part', '08913085'), ('08913085', '_instance_hypernym', '08524735')], '08524735')
([('08889521', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09034402'), ('09034402', '_instance_hypernym', '08633957')], '08633957')
([('08728268', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09100394'), ('09100394', '_instance_hypernym', '08524735')], '08524735')
([('08727003', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08731148'), ('08731148', '_instance_hypernym', '08524735')], '08524735')
([('09025451', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09150863'), ('09150863', '_instance_hypernym', '08524735')], '08524735')
([('09038597', '¬_has_part', '09189411'), ('09189411', '_has_part', '08800258'), ('08800258', '_instance_hypernym', '08557482')], '08557482')
([('08783286', '_has_part', '08783812'), ('08783812', '_instance_hypernym', '08782627'), ('08782627', '¬_instance_hypernym', '08783812')], '08782627')
([('08563990', '¬_has_part', '08563180'), ('08563180', '_has_part', '09048127'), ('09048127', '_instance_hypernym', '08574314')], '08574314')
([('09142771', '¬_has_part', '09141526'), ('09141526', '_has_part', '09144851'), ('09144851', '_instance_hypernym', '08524735')], '08524735')
([('08924238', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08937109'), ('08937109', '_instance_hypernym', '08524735')], '08524735')
([('08772794', '¬_has_part', '08766988'), ('08766988', '_has_part', '08773880'), ('08773880', '_instance_hypernym', '08524735')], '08524735')
([('09008723', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09034402'), ('09034402', '_instance_hypernym', '08524735')], '08524735')
([('09162581', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08745901'), ('08745901', '_instance_hypernym', '08524735')], '08524735')
([('04510090', '¬_has_part', '08141092'), ('08141092', '¬_has_part', '08394922'), ('08394922', '_hypernym', '08337324')], '08337324')
([('08956574', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08811473'), ('08811473', '_instance_hypernym', '08524735')], '08524735')
([('09162581', '¬_has_part', '09161803'), ('09161803', '_has_part', '09162414'), ('09162414', '_instance_hypernym', '08524735')], '08524735')
([('09449773', '_synset_domain_topic_of', '07979425'), ('07979425', '¬_synset_domain_topic_of', '09338453'), ('09338453', '_instance_hypernym', '09411430')], '09411430')
([('09001007', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08889521'), ('08889521', '_instance_hypernym', '08524735')], '08524735')
([('09150662', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08770274'), ('08770274', '_instance_hypernym', '08524735')], '08524735')
([('09000462', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08924238'), ('08924238', '_instance_hypernym', '08524735')], '08524735')
([('09153570', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09100982'), ('09100982', '_instance_hypernym', '08665504')], '08665504')
([('08563990', '¬_has_part', '08563180'), ('08563180', '_has_part', '08563478'), ('08563478', '_instance_hypernym', '08574314')], '08574314')
([('09453887', '¬_has_part', '09053185'), ('09053185', '_has_part', '09459557'), ('09459557', '_instance_hypernym', '09411430')], '09411430')
([('08983742', '¬_has_part', '08982587'), ('08982587', '_has_part', '08984010'), ('08984010', '_instance_hypernym', '08524735')], '08524735')
([('08992181', '¬_has_part', '09275473'), ('09275473', '_has_part', '08953324'), ('08953324', '_instance_hypernym', '08696931')], '08696931')
([('08915017', '¬_has_part', '08913434'), ('08913434', '_has_part', '08914850'), ('08914850', '_instance_hypernym', '08524735')], '08524735')
([('08877807', '¬_has_part', '08871007'), ('08871007', '_has_part', '08878016'), ('08878016', '_instance_hypernym', '08524735')], '08524735')
([('09169303', '¬_has_part', '09170996'), ('09170996', '_instance_hypernym', '08505573'), ('08505573', '¬_instance_hypernym', '09173023')], '08505573')
([('08799123', '¬_has_part', '08798382'), ('08798382', '_instance_hypernym', '08574314'), ('08574314', '¬_instance_hypernym', '08701161')], '08574314')
([('08028999', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08027920')], '08392137')
([('11364570', '_instance_hypernym', '10609325'), ('10609325', '¬_instance_hypernym', '11353195'), ('11353195', '_instance_hypernym', '10210137')], '10210137')
([('09165294', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09025189'), ('09025189', '_instance_hypernym', '08524735')], '08524735')
([('09171376', '¬_has_part', '08993288'), ('08993288', '_has_part', '09173023'), ('09173023', '_instance_hypernym', '08505573')], '08505573')
([('08728595', '¬_has_part', '08723006'), ('08723006', '_has_part', '08725161'), ('08725161', '_instance_hypernym', '08524735')], '08524735')
([('09340452', '¬_has_part', '09340024'), ('09340024', '_instance_hypernym', '09252970'), ('09252970', '_member_meronym', '09208496')], '09208496')
([('10837918', '_instance_hypernym', '09921792'), ('09921792', '_hypernym', '10705615'), ('10705615', '¬_derivationally_related_form', '06182144')], '10705615')
([('09068320', '¬_has_part', '09067277'), ('09067277', '_has_part', '09067878'), ('09067878', '_instance_hypernym', '08524735')], '08524735')
([('08805801', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08762104'), ('08762104', '_instance_hypernym', '08633957')], '08633957')
([('09155986', '¬_has_part', '09155306'), ('09155306', '_has_part', '09156241'), ('09156241', '_instance_hypernym', '08524735')], '08524735')
([('06435916', '¬_has_part', '06453324'), ('06453324', '_has_part', '06436939'), ('06436939', '_instance_hypernym', '06394865')], '06394865')
([('08977211', '¬_has_part', '08975902'), ('08975902', '_has_part', '08977665'), ('08977665', '_instance_hypernym', '08524735')], '08524735')
([('09326299', '¬_has_part', '08734385'), ('08734385', '_has_part', '09330913'), ('09330913', '_instance_hypernym', '09328904')], '09328904')
([('09034402', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08786432'), ('08786432', '_instance_hypernym', '08633957')], '08633957')
([('09026360', '¬_has_part', '09023321'), ('09023321', '_has_part', '09027089'), ('09027089', '_instance_hypernym', '08524735')], '08524735')
([('06433249', '¬_has_part', '06449735'), ('06449735', '_has_part', '06438995'), ('06438995', '_instance_hypernym', '06394865')], '06394865')
([('09048127', '¬_has_part', '08563180'), ('08563180', '_instance_hypernym', '08574314'), ('08574314', '¬_instance_hypernym', '08799123')], '08574314')
([('08797840', '_has_part', '08798195'), ('08798195', '_instance_hypernym', '08524735'), ('08524735', '_hypernym', '08626283')], '08524735')
([('08854855', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09077821'), ('09077821', '_instance_hypernym', '08524735')], '08524735')
([('09160295', '¬_has_part', '09440400'), ('09440400', '_has_part', '08853741'), ('08853741', '_instance_hypernym', '08702402')], '08702402')
([('08856793', '¬_has_part', '08853741'), ('08853741', '_has_part', '08857099'), ('08857099', '_instance_hypernym', '08524735')], '08524735')
([('10941714', '_instance_hypernym', '10296176'), ('10296176', '¬_instance_hypernym', '11283300'), ('11283300', '_instance_hypernym', '10123844')], '10123844')
([('08798195', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08731148'), ('08731148', '_instance_hypernym', '08524735')], '08524735')
([('09321694', '¬_has_part', '09392162'), ('09392162', '_has_part', '09028841'), ('09028841', '_instance_hypernym', '09399592')], '09399592')
([('08824771', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09042322'), ('09042322', '_instance_hypernym', '08524735')], '08524735')
([('08045428', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '_synset_domain_topic_of', '00759694')], '08392137')
([('09165146', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08805801'), ('08805801', '_instance_hypernym', '08524735')], '08524735')
([('08925957', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08798062'), ('08798062', '_instance_hypernym', '08524735')], '08524735')
([('08846739', '¬_has_part', '08845555'), ('08845555', '_has_part', '08847024'), ('08847024', '_instance_hypernym', '08524735')], '08524735')
([('09100223', '¬_has_part', '09099526'), ('09099526', '_has_part', '09100837'), ('09100837', '_instance_hypernym', '08524735')], '08524735')
([('09026780', '¬_has_part', '09023321'), ('09023321', '_has_part', '09025728'), ('09025728', '_instance_hypernym', '08524735')], '08524735')
([('08732807', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09102517'), ('09102517', '_instance_hypernym', '08524735')], '08524735')
([('08026197', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08013653'), ('08013653', '_instance_hypernym', '08392137')], '08392137')
([('09073697', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09133895'), ('09133895', '_instance_hypernym', '08524735')], '08524735')
([('08025835', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08037118'), ('08037118', '_instance_hypernym', '08392137')], '08392137')
([('09131654', '_has_part', '09368479'), ('09368479', '¬_has_part', '09087599'), ('09087599', '_instance_hypernym', '08655464')], '08655464')
([('11378462', '_instance_hypernym', '09952539'), ('09952539', '_hypernym', '10339966'), ('10339966', '¬_hypernym', '09947232')], '09947232')
([('09067277', '¬_has_part', '09044862'), ('09044862', '_has_part', '08655464'), ('08655464', '¬_instance_hypernym', '09067277')], '08655464')
([('09107098', '¬_has_part', '09105821'), ('09105821', '_has_part', '09108055'), ('09108055', '_instance_hypernym', '08524735')], '08524735')
([('09156889', '¬_has_part', '09155306'), ('09155306', '_has_part', '09155692'), ('09155692', '_instance_hypernym', '08524735')], '08524735')
([('06728998', '¬_has_part', '06534132'), ('06534132', '_has_part', '06728726'), ('06728726', '_instance_hypernym', '06723635')], '06723635')
([('08900204', '¬_has_part', '08897065'), ('08897065', '_has_part', '08899351'), ('08899351', '_instance_hypernym', '08524735')], '08524735')
([('09088396', '¬_has_part', '09087599'), ('09087599', '_has_part', '09088989'), ('09088989', '_instance_hypernym', '08524735')], '08524735')
([('08927186', '¬_has_part', '09207288'), ('09207288', '_has_part', '08968879'), ('08968879', '_instance_hypernym', '08700255')], '08700255')
([('08894319', '¬_has_part', '08893223'), ('08893223', '_instance_hypernym', '09203827'), ('09203827', '¬_instance_hypernym', '08894319')], '09203827')
([('08908248', '¬_has_part', '08907606'), ('08907606', '_has_part', '08908739'), ('08908739', '_instance_hypernym', '09316454')], '09316454')
([('11327744', '_instance_hypernym', '10444194'), ('10444194', '¬_instance_hypernym', '11070644'), ('11070644', '_instance_hypernym', '10030277')], '10030277')
([('08010364', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08014860')], '08392137')
([('08786432', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08934532'), ('08934532', '_instance_hypernym', '08524735')], '08524735')
([('08738272', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08737716'), ('08737716', '_instance_hypernym', '08703035')], '08703035')
([('08983556', '¬_has_part', '08982587'), ('08982587', '_has_part', '08984122'), ('08984122', '_instance_hypernym', '08524735')], '08524735')
([('15232712', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15185996')], '15113229')
([('08732807', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08714966'), ('08714966', '_instance_hypernym', '08524735')], '08524735')
([('09000462', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08722084'), ('08722084', '_instance_hypernym', '08524735')], '08524735')
([('06433475', '¬_has_part', '06451891'), ('06451891', '_has_part', '06432715'), ('06432715', '_instance_hypernym', '06394865')], '06394865')
([('06433249', '¬_has_part', '06449735'), ('06449735', '_has_part', '06432376'), ('06432376', '_instance_hypernym', '06394865')], '06394865')
([('08841483', '¬_has_part', '08841209'), ('08841209', '¬_has_part', '08837048'), ('08837048', '_instance_hypernym', '08544813')], '08544813')
([('08728749', '¬_has_part', '08723006'), ('08723006', '_has_part', '08728595'), ('08728595', '_instance_hypernym', '08524735')], '08524735')
([('08766846', '¬_has_part', '08765890'), ('08765890', '_has_part', '08766455'), ('08766455', '_instance_hypernym', '08524735')], '08524735')
([('08770013', '¬_member_meronym', '08304135'), ('08304135', '_member_meronym', '08851034'), ('08851034', '_instance_hypernym', '08524735')], '08524735')
([('09027679', '¬_has_part', '09023321'), ('09023321', '_has_part', '09026911'), ('09026911', '_instance_hypernym', '08524735')], '08524735')
([('08858248', '_has_part', '09479238'), ('09479238', '_instance_hypernym', '09319456'), ('09319456', '_instance_hypernym', '09316454')], '09316454')
([('08022259', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08046759'), ('08046759', '_instance_hypernym', '08392137')], '08392137')
([('08898633', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '09012530'), ('09012530', '_instance_hypernym', '08633957')], '08633957')
([('09572825', '_synset_domain_topic_of', '07979425'), ('07979425', '¬_synset_domain_topic_of', '09557387'), ('09557387', '_instance_hypernym', '09551356')], '09551356')
([('08936303', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08934694'), ('08934694', '_instance_hypernym', '08524735')], '08524735')
([('08841483', '¬_has_part', '08841209'), ('08841209', '¬_has_part', '08837048'), ('08837048', '_instance_hypernym', '08544813')], '08544813')
([('09364249', '¬_has_part', '09327881'), ('09327881', '_has_part', '09465135'), ('09465135', '_instance_hypernym', '09360122')], '09360122')
([('11078982', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11164671'), ('11164671', '_instance_hypernym', '10547145')], '10547145')
([('15125097', '¬_has_part', '15124361'), ('15124361', '_has_part', '15124545'), ('15124545', '_instance_hypernym', '15247518')], '15247518')
([('11312709', '_instance_hypernym', '10015215'), ('10015215', '¬_instance_hypernym', '11011764'), ('11011764', '_instance_hypernym', '09765278')], '09765278')
([('08857529', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856793'), ('08856793', '_instance_hypernym', '08524735')], '08524735')
([('08815046', '¬_has_part', '09189411'), ('09189411', '_has_part', '08718577'), ('08718577', '_instance_hypernym', '08698379')], '08698379')
([('08994834', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08983742'), ('08983742', '_instance_hypernym', '08633957')], '08633957')
([('09083390', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09077821'), ('09077821', '_instance_hypernym', '08524735')], '08524735')
([('08854855', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08924238'), ('08924238', '_instance_hypernym', '08524735')], '08524735')
([('09100837', '¬_has_part', '09099526'), ('09099526', '_has_part', '09100394'), ('09100394', '_instance_hypernym', '08524735')], '08524735')
([('08766667', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08706663'), ('08706663', '_instance_hypernym', '08524735')], '08524735')
([('08706663', '¬_has_part', '08705397'), ('08705397', '_has_part', '08706247'), ('08706247', '_instance_hypernym', '08524735')], '08524735')
([('08041840', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08014860'), ('08014860', '_synset_domain_topic_of', '00759694')], '00759694')
([('09172751', '¬_has_part', '09167767'), ('09167767', '_has_part', '09168020'), ('09168020', '_instance_hypernym', '08505573')], '08505573')
([('09136582', '¬_has_part', '09134386'), ('09134386', '_has_part', '09134999'), ('09134999', '_instance_hypernym', '08524735')], '08524735')
([('08043499', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08027518'), ('08027518', '_instance_hypernym', '08392137')], '08392137')
([('08770274', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09107626'), ('09107626', '_instance_hypernym', '08524735')], '08524735')
([('08950407', '¬_has_part', '08949093'), ('08949093', '_has_part', '08950649'), ('08950649', '_instance_hypernym', '08524735')], '08524735')
([('09150863', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09025584'), ('09025584', '_instance_hypernym', '08524735')], '08524735')
([('11386692', '_instance_hypernym', '10794014'), ('10794014', '¬_hypernym', '10030277'), ('10030277', '_derivationally_related_form', '07007945')], '10030277')
([('08563478', '¬_has_part', '08563180'), ('08563180', '_instance_hypernym', '08574314'), ('08574314', '¬_instance_hypernym', '08945110')], '08574314')
([('11144604', '_instance_hypernym', '09799213'), ('09799213', '¬_instance_hypernym', '11156943'), ('11156943', '_instance_hypernym', '10547145')], '10547145')
([('08798195', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09162581'), ('09162581', '_instance_hypernym', '08524735')], '08524735')
([('08771116', '¬_has_part', '08766988'), ('08766988', '_has_part', '08773336'), ('08773336', '_instance_hypernym', '08524735')], '08524735')
