WN18RR, _derivationally_related_form_WN18_generic_PPO_simple_embedding_100
([('02294436', '¬_derivationally_related_form', '01083504'), ('01083504', '_derivationally_related_form', '00081072'), ('00081072', '_derivationally_related_form', '13285714')], '13285714')
([('01856626', '¬_derivationally_related_form', '10314952'), ('10314952', '_hypernym', '09629752'), ('09629752', '¬_hypernym', '10757193')], '10314952')
([('00268165', 'NO_OP', '00268165'), ('00268165', '¬_derivationally_related_form', '00068333'), ('00068333', '¬_derivationally_related_form', '00093327')], '00068333')
([('01697406', '¬_derivationally_related_form', '03777283'), ('03777283', '_derivationally_related_form', '01743784'), ('01743784', 'NO_OP', '01743784')], '03777283')
([('04082344', '_hypernym', '02895606'), ('02895606', '¬_hypernym', '04082344'), ('04082344', '¬_derivationally_related_form', '00098083')], '00098083')
([('02714974', 'NO_OP', '02714974'), ('02714974', 'NO_OP', '02714974'), ('02714974', '¬_derivationally_related_form', '08184217')], '08184217')
([('02395395', '¬_derivationally_related_form', '08402442'), ('08402442', '_derivationally_related_form', '02391803'), ('02391803', '_derivationally_related_form', '00165178')], '00165178')
([('03087366', '¬_derivationally_related_form', '00244625'), ('00244625', '¬_hypernym', '00244416'), ('00244416', '_derivationally_related_form', '06468123')], '00244625')
([('02496036', '¬_derivationally_related_form', '02936714'), ('02936714', '_hypernym', '03285912'), ('03285912', '¬_hypernym', '02936714')], '02936714')
([('10504206', '¬_derivationally_related_form', '00903309'), ('00903309', '_synset_domain_topic_of', '06062407'), ('06062407', '¬_derivationally_related_form', '10504206')], '00903309')
([('00954086', '¬_derivationally_related_form', '01522716'), ('01522716', 'NO_OP', '01522716'), ('01522716', '¬_derivationally_related_form', '00954086')], '01522716')
([('01424456', '¬_derivationally_related_form', '00854000'), ('00854000', '_derivationally_related_form', '01226215'), ('01226215', '¬_derivationally_related_form', '00854000')], '00854000')
([('02757828', '¬_derivationally_related_form', '11506167'), ('11506167', '¬_derivationally_related_form', '02757828'), ('02757828', '¬_derivationally_related_form', '11506167')], '11506167')
([('04101701', '¬_derivationally_related_form', '01866192'), ('01866192', '_also_see', '01966706'), ('01966706', '_hypernym', '01970826')], '01866192')
([('10726233', '¬_derivationally_related_form', '01480770'), ('01480770', '¬_derivationally_related_form', '04474466'), ('04474466', '_derivationally_related_form', '01480770')], '01480770')
([('02159741', 'NO_OP', '02159741'), ('02159741', 'NO_OP', '02159741'), ('02159741', '¬_derivationally_related_form', '05684003')], '05684003')
([('01452546', '¬_derivationally_related_form', '03929660'), ('03929660', '_derivationally_related_form', '01452546'), ('01452546', '_hypernym', '01448100')], '03929660')
([('13163991', '¬_derivationally_related_form', '00329654'), ('00329654', '_hypernym', '00328802'), ('00328802', '_verb_group', '00329244')], '00329654')
([('01427695', '¬_derivationally_related_form', '10485440'), ('10485440', '_derivationally_related_form', '02580577'), ('02580577', 'NO_OP', '02580577')], '10485440')
([('05940414', '¬_derivationally_related_form', '00312990'), ('00312990', 'NO_OP', '00312990'), ('00312990', '_hypernym', '00126264')], '00312990')
([('05696425', '¬_derivationally_related_form', '02258617'), ('02258617', '_hypernym', '02257370'), ('02257370', '¬_hypernym', '02242464')], '02258617')
([('00375021', '¬_derivationally_related_form', '05014099'), ('05014099', '¬_derivationally_related_form', '00375021'), ('00375021', '¬_derivationally_related_form', '02863750')], '05014099')
([('05783041', '¬_derivationally_related_form', '00640385'), ('00640385', '_hypernym', '00637259'), ('00637259', '_verb_group', '00638585')], '00640385')
([('00483181', 'NO_OP', '00483181'), ('00483181', '¬_derivationally_related_form', '13969243'), ('13969243', '_derivationally_related_form', '00482473')], '13969243')
([('06153186', '¬_derivationally_related_form', '03018498'), ('03018498', '_derivationally_related_form', '01013770'), ('01013770', '_derivationally_related_form', '03018498')], '03018498')
([('09875786', '¬_derivationally_related_form', '00973056'), ('00973056', '¬_hypernym', '00973888'), ('00973888', '_derivationally_related_form', '06620063')], '00973056')
([('05061345', '¬_derivationally_related_form', '00440580'), ('00440580', '¬_derivationally_related_form', '05061345'), ('05061345', '¬_derivationally_related_form', '02752567')], '00440580')
([('01636008', '¬_derivationally_related_form', '05936381'), ('05936381', '_hypernym', '05928118'), ('05928118', '¬_derivationally_related_form', '01635432')], '05936381')
([('02058994', '¬_derivationally_related_form', '15282696'), ('15282696', '_derivationally_related_form', '00439343'), ('00439343', '_derivationally_related_form', '00330160')], '00330160')
([('13885836', '¬_derivationally_related_form', '01280808'), ('01280808', '_hypernym', '01280014'), ('01280014', '¬_hypernym', '01280645')], '01280808')
([('01476685', '¬_also_see', '01483324'), ('01483324', 'NO_OP', '01483324'), ('01483324', '_derivationally_related_form', '05008227')], '05008227')
([('03556811', '¬_derivationally_related_form', '02061495'), ('02061495', '_also_see', '02004701'), ('02004701', 'NO_OP', '02004701')], '02061495')
([('01410606', '¬_derivationally_related_form', '04744814'), ('04744814', '_hypernym', '04743605'), ('04743605', '¬_hypernym', '04744814')], '04743605')
([('02853740', 'NO_OP', '02853740'), ('02853740', '¬_derivationally_related_form', '01674216'), ('01674216', 'NO_OP', '01674216')], '01674216')
([('00751529', '¬_derivationally_related_form', '00835903'), ('00835903', 'NO_OP', '00835903'), ('00835903', '_derivationally_related_form', '00073713')], '00835903')
([('02277303', '¬_derivationally_related_form', '09866661'), ('09866661', '¬_derivationally_related_form', '02277303'), ('02277303', '¬_derivationally_related_form', '00781480')], '00781480')
([('06748969', 'NO_OP', '06748969'), ('06748969', '¬_derivationally_related_form', '00926472'), ('00926472', '_derivationally_related_form', '06749881')], '00926472')
([('02115324', '¬_derivationally_related_form', '02724207'), ('02724207', '¬_derivationally_related_form', '02115324'), ('02115324', '¬_also_see', '00417413')], '02724207')
([('00410247', '¬_hypernym', '01031563'), ('01031563', '_hypernym', '00410247'), ('00410247', '¬_derivationally_related_form', '02712243')], '02712243')
([('00377686', '¬_derivationally_related_form', '00306723'), ('00306723', '_derivationally_related_form', '00377364'), ('00377364', '¬_derivationally_related_form', '00306723')], '00306723')
([('07272545', '¬_derivationally_related_form', '01332205'), ('01332205', '_derivationally_related_form', '10404998'), ('10404998', '_hypernym', '10791221')], '01332205')
([('00604576', '¬_derivationally_related_form', '05755156'), ('05755156', '_derivationally_related_form', '00604576'), ('00604576', 'NO_OP', '00604576')], '05755156')
([('05854150', '¬_derivationally_related_form', '00011757'), ('00011757', '_derivationally_related_form', '05854150'), ('05854150', 'NO_OP', '05854150')], '00011757')
([('10717589', '¬_derivationally_related_form', '01206849'), ('01206849', '_derivationally_related_form', '07409592'), ('07409592', '¬_derivationally_related_form', '01206218')], '01206218')
([('01241594', 'NO_OP', '01241594'), ('01241594', 'NO_OP', '01241594'), ('01241594', '¬_derivationally_related_form', '02148109')], '02148109')
([('10671898', 'NO_OP', '10671898'), ('10671898', 'NO_OP', '10671898'), ('10671898', '¬_derivationally_related_form', '02548710')], '02548710')
([('00536143', 'NO_OP', '00536143'), ('00536143', 'NO_OP', '00536143'), ('00536143', '¬_derivationally_related_form', '09433134')], '09433134')
([('01519569', '¬_derivationally_related_form', '05259512'), ('05259512', '_derivationally_related_form', '01387656'), ('01387656', '¬_derivationally_related_form', '05259512')], '05259512')
([('00956250', 'NO_OP', '00956250'), ('00956250', '¬_derivationally_related_form', '07202812'), ('07202812', '_hypernym', '07201365')], '07202812')
([('01222884', '¬_also_see', '02180797'), ('02180797', '¬_also_see', '01222884'), ('01222884', '¬_derivationally_related_form', '04873550')], '04873550')
([('02393489', 'NO_OP', '02393489'), ('02393489', '¬_derivationally_related_form', '00196485'), ('00196485', '_derivationally_related_form', '00140751')], '00196485')
([('07654667', '¬_derivationally_related_form', '01174294'), ('01174294', '_derivationally_related_form', '07654667'), ('07654667', '_hypernym', '07578363')], '01174294')
([('00147595', '¬_derivationally_related_form', '01340439'), ('01340439', '_derivationally_related_form', '04777098'), ('04777098', '_derivationally_related_form', '01340439')], '01340439')
([('00340192', '¬_derivationally_related_form', '01155090'), ('01155090', 'NO_OP', '01155090'), ('01155090', '¬_derivationally_related_form', '00340192')], '01155090')
([('00682781', '¬_derivationally_related_form', '05747582'), ('05747582', '¬_derivationally_related_form', '00315810'), ('00315810', '¬_derivationally_related_form', '05747582')], '05747582')
([('00539951', '¬_derivationally_related_form', '01898893'), ('01898893', 'NO_OP', '01898893'), ('01898893', '_hypernym', '01708676')], '01898893')
([('06685456', '¬_derivationally_related_form', '00891936'), ('00891936', '_derivationally_related_form', '06685456'), ('06685456', '¬_derivationally_related_form', '00890100')], '00890100')
([('03009111', 'NO_OP', '03009111'), ('03009111', '_derivationally_related_form', '09910222'), ('09910222', '¬_derivationally_related_form', '01949817')], '01949817')
([('01286799', '¬_derivationally_related_form', '02118476'), ('02118476', '¬_derivationally_related_form', '01286799'), ('01286799', '¬_derivationally_related_form', '02118476')], '02118476')
([('01219893', '¬_derivationally_related_form', '00845909'), ('00845909', '¬_derivationally_related_form', '06717170'), ('06717170', '_member_of_domain_usage', '09722898')], '00845909')
([('00348312', '¬_derivationally_related_form', '01909978'), ('01909978', '¬_derivationally_related_form', '00348312'), ('00348312', '¬_derivationally_related_form', '01909978')], '01909978')
([('10697519', 'NO_OP', '10697519'), ('10697519', '¬_derivationally_related_form', '04400499'), ('04400499', '¬_derivationally_related_form', '01007222')], '01007222')
([('00759551', '¬_derivationally_related_form', '01765392'), ('01765392', '_derivationally_related_form', '13970764'), ('13970764', 'NO_OP', '13970764')], '01765392')
([('00852685', '¬_derivationally_related_form', '06780309'), ('06780309', '_derivationally_related_form', '00852685'), ('00852685', '¬_derivationally_related_form', '06777164')], '06780309')
([('04839676', 'NO_OP', '04839676'), ('04839676', '¬_derivationally_related_form', '00957176'), ('00957176', 'NO_OP', '00957176')], '00957176')
([('00516086', '¬_derivationally_related_form', '02578510'), ('02578510', '_derivationally_related_form', '00428000'), ('00428000', '¬_hypernym', '00517728')], '02578510')
([('05996646', '¬_hypernym', '05998356'), ('05998356', '_hypernym', '05996646'), ('05996646', '¬_derivationally_related_form', '00599992')], '00599992')
([('02259241', '¬_derivationally_related_form', '01109687'), ('01109687', '¬_derivationally_related_form', '02260085'), ('02260085', '¬_derivationally_related_form', '01109687')], '01109687')
([('01716619', '¬_derivationally_related_form', '07007945'), ('07007945', '_derivationally_related_form', '01719302'), ('01719302', 'NO_OP', '01719302')], '07007945')
([('01221684', '¬_derivationally_related_form', '13428608'), ('13428608', '_hypernym', '13526110'), ('13526110', '¬_hypernym', '13554121')], '13428608')
([('14415518', 'NO_OP', '14415518'), ('14415518', '¬_derivationally_related_form', '00494269'), ('00494269', '¬_derivationally_related_form', '14414715')], '00494269')
([('02863247', '_derivationally_related_form', '05948857'), ('05948857', '¬_derivationally_related_form', '02863247'), ('02863247', '¬_derivationally_related_form', '05784560')], '05784560')
([('05703956', '¬_derivationally_related_form', '00724492'), ('00724492', 'NO_OP', '00724492'), ('00724492', '_hypernym', '00734348')], '00724492')
([('01144657', '¬_derivationally_related_form', '00452293'), ('00452293', '_derivationally_related_form', '01144657'), ('01144657', '¬_verb_group', '01143838')], '00452293')
([('04558804', 'NO_OP', '04558804'), ('04558804', '¬_derivationally_related_form', '10770545'), ('10770545', 'NO_OP', '10770545')], '10770545')
([('00049007', 'NO_OP', '00049007'), ('00049007', '¬_derivationally_related_form', '04197391'), ('04197391', '¬_hypernym', '03595614')], '04197391')
([('10442232', '¬_derivationally_related_form', '01921204'), ('01921204', '¬_derivationally_related_form', '10442232'), ('10442232', 'NO_OP', '10442232')], '01921204')
([('02769748', '¬_hypernym', '03619793'), ('03619793', '_hypernym', '02769748'), ('02769748', '¬_derivationally_related_form', '01926031')], '01926031')
([('00554850', '¬_derivationally_related_form', '01770501'), ('01770501', '_derivationally_related_form', '07524242'), ('07524242', '_derivationally_related_form', '01766748')], '01770501')
([('10754578', '¬_derivationally_related_form', '04536866'), ('04536866', 'NO_OP', '04536866'), ('04536866', '¬_derivationally_related_form', '01733667')], '04536866')
([('01563724', '¬_derivationally_related_form', '00397953'), ('00397953', '_derivationally_related_form', '00332835'), ('00332835', '_derivationally_related_form', '03894379')], '00397953')
([('06428216', '¬_derivationally_related_form', '01549420'), ('01549420', '¬_derivationally_related_form', '00397760'), ('00397760', '_derivationally_related_form', '01548718')], '01549420')
([('01758339', '¬_derivationally_related_form', '02647497'), ('02647497', '¬_derivationally_related_form', '10721124'), ('10721124', '_derivationally_related_form', '01213702')], '02647497')
([('02379528', 'NO_OP', '02379528'), ('02379528', '¬_derivationally_related_form', '15265518'), ('15265518', '¬_derivationally_related_form', '00348746')], '15265518')
([('09843956', '¬_derivationally_related_form', '01413173'), ('01413173', '¬_derivationally_related_form', '09843956'), ('09843956', '¬_derivationally_related_form', '01413173')], '01413173')
([('01249991', '¬_derivationally_related_form', '01113806'), ('01113806', '_derivationally_related_form', '00057486'), ('00057486', '¬_derivationally_related_form', '00570694')], '01113806')
([('05965195', '¬_derivationally_related_form', '10346015'), ('10346015', '_derivationally_related_form', '05965195'), ('05965195', '_hypernym', '05943300')], '10346015')
([('07332691', '¬_derivationally_related_form', '00470701'), ('00470701', '_derivationally_related_form', '09794917'), ('09794917', '_derivationally_related_form', '00470701')], '00470701')
([('14051494', '¬_derivationally_related_form', '01001689'), ('01001689', '¬_derivationally_related_form', '14051494'), ('14051494', 'NO_OP', '14051494')], '01001689')
([('01058036', 'NO_OP', '01058036'), ('01058036', '¬_derivationally_related_form', '00353249'), ('00353249', '_hypernym', '00351638')], '00353249')
([('01909812', '¬_derivationally_related_form', '07351612'), ('07351612', '¬_hypernym', '07411160'), ('07411160', '¬_derivationally_related_form', '00386715')], '07351612')
([('10229498', 'NO_OP', '10229498'), ('10229498', '¬_derivationally_related_form', '02202928'), ('02202928', '¬_derivationally_related_form', '00818466')], '02202928')
([('02409148', '¬_derivationally_related_form', '00623370'), ('00623370', '_hypernym', '00620752'), ('00620752', '_derivationally_related_form', '02419773')], '00623370')
([('10038620', '¬_derivationally_related_form', '08557131'), ('08557131', '¬_derivationally_related_form', '10038620'), ('10038620', 'NO_OP', '10038620')], '08557131')
([('10788852', 'NO_OP', '10788852'), ('10788852', 'NO_OP', '10788852'), ('10788852', '¬_derivationally_related_form', '02590910')], '02590910')
([('00196084', 'NO_OP', '00196084'), ('00196084', '¬_derivationally_related_form', '00121678'), ('00121678', '_derivationally_related_form', '00351334')], '00121678')
([('03075768', '_derivationally_related_form', '01765392'), ('01765392', '¬_derivationally_related_form', '03075768'), ('03075768', '¬_derivationally_related_form', '00082308')], '00082308')
([('00407458', '¬_derivationally_related_form', '00276342'), ('00276342', '_hypernym', '13540610'), ('13540610', '¬_hypernym', '00276342')], '00276342')
([('01666717', '¬_derivationally_related_form', '10689564'), ('10689564', '_derivationally_related_form', '01666717'), ('01666717', '_synset_domain_topic_of', '05750657')], '10689564')
([('13516842', '¬_derivationally_related_form', '00009147'), ('00009147', '¬_derivationally_related_form', '09438055'), ('09438055', '_derivationally_related_form', '00009147')], '00009147')
([('00167934', '¬_verb_group', '00384620'), ('00384620', '_derivationally_related_form', '00095971'), ('00095971', '¬_derivationally_related_form', '00265386')], '00095971')
([('01606018', '¬_derivationally_related_form', '00814458'), ('00814458', '_derivationally_related_form', '01606736'), ('01606736', '¬_derivationally_related_form', '00140393')], '00814458')
([('02420991', '¬_verb_group', '01088547'), ('01088547', '_derivationally_related_form', '10745332'), ('10745332', '¬_derivationally_related_form', '02420991')], '10745332')
([('01204055', '¬_derivationally_related_form', '01041916'), ('01041916', '_derivationally_related_form', '01204055'), ('01204055', '¬_derivationally_related_form', '01041916')], '01041916')
([('00402831', '¬_derivationally_related_form', '05685879'), ('05685879', '¬_derivationally_related_form', '00402831'), ('00402831', '_hypernym', '00402539')], '05685879')
([('01986185', 'NO_OP', '01986185'), ('01986185', '¬_derivationally_related_form', '09269972'), ('09269972', '_derivationally_related_form', '01986185')], '09269972')
([('10697879', '¬_derivationally_related_form', '07255998'), ('07255998', 'NO_OP', '07255998'), ('07255998', '_derivationally_related_form', '10319580')], '07255998')
([('03838160', '_hypernym', '04076846'), ('04076846', '¬_hypernym', '03838160'), ('03838160', '¬_derivationally_related_form', '00532607')], '00532607')
([('00972191', '¬_derivationally_related_form', '04728068'), ('04728068', '¬_derivationally_related_form', '02679012'), ('02679012', '¬_derivationally_related_form', '13948026')], '04728068')
([('00861423', '¬_derivationally_related_form', '07035870'), ('07035870', 'NO_OP', '07035870'), ('07035870', '¬_hypernym', '06379094')], '07035870')
([('00246754', 'NO_OP', '00246754'), ('00246754', 'NO_OP', '00246754'), ('00246754', '¬_derivationally_related_form', '00328370')], '00328370')
([('00144694', '¬_derivationally_related_form', '07375214'), ('07375214', '_hypernym', '07373803'), ('07373803', '¬_derivationally_related_form', '02309008')], '07375214')
([('02595523', '¬_derivationally_related_form', '00633329'), ('00633329', '_derivationally_related_form', '02595523'), ('02595523', '¬_derivationally_related_form', '00633329')], '00633329')
([('02618468', 'NO_OP', '02618468'), ('02618468', '¬_derivationally_related_form', '02705201'), ('02705201', 'NO_OP', '02705201')], '02705201')
([('01660386', 'NO_OP', '01660386'), ('01660386', 'NO_OP', '01660386'), ('01660386', '¬_derivationally_related_form', '03792048')], '03792048')
([('05951969', 'NO_OP', '05951969'), ('05951969', '¬_derivationally_related_form', '10306279'), ('10306279', '_derivationally_related_form', '05951969')], '10306279')
([('01728355', '_derivationally_related_form', '09760913'), ('09760913', '¬_derivationally_related_form', '01728355'), ('01728355', '¬_derivationally_related_form', '07031752')], '07031752')
([('02280132', '¬_derivationally_related_form', '00819274'), ('00819274', '_hypernym', '00819024'), ('00819024', '¬_hypernym', '01260309')], '00819024')
([('05684440', 'NO_OP', '05684440'), ('05684440', 'NO_OP', '05684440'), ('05684440', '¬_derivationally_related_form', '01764171')], '01764171')
([('07328942', '¬_derivationally_related_form', '01753788'), ('01753788', '¬_derivationally_related_form', '07328942'), ('07328942', '_hypernym', '07290905')], '01753788')
([('07824988', '¬_derivationally_related_form', '00213223'), ('00213223', '¬_derivationally_related_form', '07824988'), ('07824988', '_hypernym', '07582441')], '00213223')
([('07358985', '¬_derivationally_related_form', '00560391'), ('00560391', 'NO_OP', '00560391'), ('00560391', 'NO_OP', '00560391')], '00560391')
([('10369699', '¬_derivationally_related_form', '06053439'), ('06053439', '¬_derivationally_related_form', '10369699'), ('10369699', 'NO_OP', '10369699')], '06053439')
([('00768778', '_derivationally_related_form', '10775379'), ('10775379', '¬_derivationally_related_form', '00768778'), ('00768778', '¬_derivationally_related_form', '03059366')], '03059366')
([('10363149', '¬_derivationally_related_form', '00822101'), ('00822101', '¬_derivationally_related_form', '10363149'), ('10363149', '_hypernym', '10372373')], '00822101')
([('00896141', '¬_derivationally_related_form', '06740644'), ('06740644', '_hypernym', '06740183'), ('06740183', '¬_derivationally_related_form', '00894738')], '06740183')
([('10518349', '¬_derivationally_related_form', '01814815'), ('01814815', '¬_hypernym', '01764800'), ('01764800', '_derivationally_related_form', '04470232')], '01814815')
([('07528212', '¬_derivationally_related_form', '01812324'), ('01812324', '_derivationally_related_form', '13987719'), ('13987719', '¬_derivationally_related_form', '01812324')], '01812324')
([('07323922', 'NO_OP', '07323922'), ('07323922', '¬_derivationally_related_form', '01628449'), ('01628449', '¬_derivationally_related_form', '10383816')], '01628449')
([('07191777', '¬_derivationally_related_form', '00777931'), ('00777931', '¬_derivationally_related_form', '07191777'), ('07191777', '_derivationally_related_form', '00818974')], '00777931')
([('10095869', '¬_derivationally_related_form', '00880227'), ('00880227', 'NO_OP', '00880227'), ('00880227', '¬_derivationally_related_form', '06695579')], '00880227')
([('00372665', '¬_derivationally_related_form', '11466043'), ('11466043', '¬_derivationally_related_form', '02333358'), ('02333358', '¬_derivationally_related_form', '03508101')], '11466043')
([('01797730', '¬_derivationally_related_form', '07305234'), ('07305234', 'NO_OP', '07305234'), ('07305234', '_hypernym', '07289014')], '07305234')
([('13085864', '¬_derivationally_related_form', '01321002'), ('01321002', '¬_hypernym', '01320513'), ('01320513', '_derivationally_related_form', '00360242')], '01321002')
([('04926427', '¬_derivationally_related_form', '01640850'), ('01640850', '¬_also_see', '01646941'), ('01646941', 'NO_OP', '01646941')], '01640850')
([('06598445', '_derivationally_related_form', '00607114'), ('00607114', '¬_derivationally_related_form', '06598445'), ('06598445', '¬_derivationally_related_form', '00599992')], '00599992')
([('10442232', '¬_derivationally_related_form', '01921204'), ('01921204', '_derivationally_related_form', '10731848'), ('10731848', '_hypernym', '10412055')], '01921204')
([('05576573', '¬_derivationally_related_form', '02034986'), ('02034986', '_derivationally_related_form', '13874384'), ('13874384', 'NO_OP', '13874384')], '02034986')
([('10561320', '¬_derivationally_related_form', '00850192'), ('00850192', '_derivationally_related_form', '06716234'), ('06716234', '_derivationally_related_form', '00850192')], '00850192')
([('01175467', '¬_derivationally_related_form', '07884413'), ('07884413', '_derivationally_related_form', '01175467'), ('01175467', 'NO_OP', '01175467')], '07884413')
([('00779360', '¬_also_see', '00779601'), ('00779601', '¬_derivationally_related_form', '15274074'), ('15274074', '¬_derivationally_related_form', '00779601')], '15274074')
([('14500047', '¬_derivationally_related_form', '00276214'), ('00276214', '_derivationally_related_form', '14500047'), ('14500047', '¬_derivationally_related_form', '00276214')], '00276214')
([('06199142', '¬_derivationally_related_form', '02374914'), ('02374914', '¬_also_see', '00506299'), ('00506299', '¬_also_see', '02374914')], '02374914')
([('00791134', 'NO_OP', '00791134'), ('00791134', '_derivationally_related_form', '06556692'), ('06556692', '¬_hypernym', '06558277')], '06558277')
([('01223488', '¬_derivationally_related_form', '02508245'), ('02508245', '_derivationally_related_form', '01223488'), ('01223488', 'NO_OP', '01223488')], '02508245')
([('10206887', '¬_derivationally_related_form', '02390470'), ('02390470', '_hypernym', '02449847'), ('02449847', '_derivationally_related_form', '05176188')], '02390470')
([('08375369', '¬_derivationally_related_form', '00408852'), ('00408852', '¬_derivationally_related_form', '08365855'), ('08365855', 'NO_OP', '08365855')], '00408852')
([('07221756', '¬_derivationally_related_form', '00953216'), ('00953216', '¬_hypernym', '00954038'), ('00954038', '¬_derivationally_related_form', '07220773')], '00953216')
([('08459252', '_derivationally_related_form', '00920125'), ('00920125', '_derivationally_related_form', '05044822'), ('05044822', '¬_derivationally_related_form', '00660571')], '00660571')
([('07212424', '¬_derivationally_related_form', '01009240'), ('01009240', '_hypernym', '00940384'), ('00940384', '¬_hypernym', '00903212')], '01009240')
([('01913849', '¬_derivationally_related_form', '09283623'), ('09283623', '¬_has_part', '09448361'), ('09448361', '_has_part', '09283623')], '09283623')
([('00445940', '¬_derivationally_related_form', '11410298'), ('11410298', '¬_derivationally_related_form', '00445940'), ('00445940', '_derivationally_related_form', '14883206')], '11410298')
([('02479990', '¬_derivationally_related_form', '10018861'), ('10018861', '¬_hypernym', '10222497'), ('10222497', '_hypernym', '10018861')], '10018861')
([('07344663', '_derivationally_related_form', '02040054'), ('02040054', '_derivationally_related_form', '07344663'), ('07344663', '¬_derivationally_related_form', '02187922')], '02187922')
([('06685198', '¬_derivationally_related_form', '00888009'), ('00888009', '¬_verb_group', '00887463'), ('00887463', '_derivationally_related_form', '04877421')], '00888009')
([('04711435', '¬_derivationally_related_form', '01767163'), ('01767163', '¬_derivationally_related_form', '04711435'), ('04711435', '¬_hypernym', '04711665')], '01767163')
([('13988663', '¬_derivationally_related_form', '01149494'), ('01149494', '¬_derivationally_related_form', '13988663'), ('13988663', '¬_derivationally_related_form', '01149494')], '01149494')
([('02797021', '¬_derivationally_related_form', '08457976'), ('08457976', '_derivationally_related_form', '02797021'), ('02797021', '¬_derivationally_related_form', '08457976')], '08457976')
([('04686003', '¬_derivationally_related_form', '00166146'), ('00166146', '_derivationally_related_form', '01807882'), ('01807882', '_derivationally_related_form', '04688246')], '00166146')
([('07183151', '¬_derivationally_related_form', '00775156'), ('00775156', 'NO_OP', '00775156'), ('00775156', '_derivationally_related_form', '09939313')], '00775156')
([('01037819', '¬_derivationally_related_form', '01028079'), ('01028079', '_hypernym', '01028748'), ('01028748', '¬_derivationally_related_form', '07230502')], '01028079')
([('06797169', '¬_derivationally_related_form', '00921300'), ('00921300', '_derivationally_related_form', '06797169'), ('06797169', '¬_hypernym', '06802571')], '00921300')
([('13326198', '_hypernym', '13325010'), ('13325010', '¬_hypernym', '13326198'), ('13326198', '¬_derivationally_related_form', '01489161')], '01489161')
([('02393489', '¬_derivationally_related_form', '00196485'), ('00196485', '¬_derivationally_related_form', '02393489'), ('02393489', '_hypernym', '02393086')], '00196485')
([('04435870', 'NO_OP', '04435870'), ('04435870', '¬_derivationally_related_form', '01884577'), ('01884577', '¬_derivationally_related_form', '04435870')], '01884577')
([('05054863', 'NO_OP', '05054863'), ('05054863', '¬_derivationally_related_form', '01755627'), ('01755627', 'NO_OP', '01755627')], '01755627')
([('14480772', 'NO_OP', '14480772'), ('14480772', '¬_derivationally_related_form', '00445467'), ('00445467', '¬_derivationally_related_form', '14480772')], '00445467')
([('15294382', '¬_derivationally_related_form', '10037922'), ('10037922', '_derivationally_related_form', '15294382'), ('15294382', '_hypernym', '15113229')], '10037922')
([('01345109', '¬_derivationally_related_form', '04211356'), ('04211356', '¬_derivationally_related_form', '01345109'), ('01345109', '¬_derivationally_related_form', '00344040')], '00344040')
([('00754767', '¬_derivationally_related_form', '02575082'), ('02575082', '_derivationally_related_form', '06758225'), ('06758225', '_derivationally_related_form', '02575082')], '02575082')
([('01576165', '¬_derivationally_related_form', '00839023'), ('00839023', '¬_derivationally_related_form', '01174742'), ('01174742', '_derivationally_related_form', '00839023')], '00839023')
([('00853776', '¬_derivationally_related_form', '04626280'), ('04626280', '¬_hypernym', '04628850'), ('04628850', 'NO_OP', '04628850')], '04626280')
([('01158690', '¬_derivationally_related_form', '00468236'), ('00468236', '¬_verb_group', '00468583'), ('00468583', '_hypernym', '00109660')], '00468236')
([('07358985', '¬_derivationally_related_form', '00560391'), ('00560391', '¬_derivationally_related_form', '07358985'), ('07358985', '_derivationally_related_form', '00155547')], '00560391')
([('03365374', 'NO_OP', '03365374'), ('03365374', '¬_derivationally_related_form', '00292247'), ('00292247', '¬_derivationally_related_form', '03365374')], '00292247')
([('10782940', '¬_derivationally_related_form', '01100145'), ('01100145', '¬_hypernym', '01100567'), ('01100567', '_derivationally_related_form', '07475107')], '01100145')
([('00546389', '¬_derivationally_related_form', '01731031'), ('01731031', '_verb_group', '01067816'), ('01067816', '¬_derivationally_related_form', '10599806')], '01731031')
([('01199009', '¬_derivationally_related_form', '00837675'), ('00837675', '¬_derivationally_related_form', '01199009'), ('01199009', 'NO_OP', '01199009')], '00837675')
([('07274027', 'NO_OP', '07274027'), ('07274027', '¬_derivationally_related_form', '01041415'), ('01041415', '_hypernym', '00992041')], '01041415')
([('14477342', '¬_derivationally_related_form', '01797730'), ('01797730', '¬_derivationally_related_form', '07305234'), ('07305234', '¬_hypernym', '14081375')], '01797730')
([('10623650', '¬_derivationally_related_form', '07040939'), ('07040939', 'NO_OP', '07040939'), ('07040939', '_derivationally_related_form', '10623650')], '07040939')
([('00273449', '¬_derivationally_related_form', '01799794'), ('01799794', '¬_hypernym', '01800422'), ('01800422', '¬_hypernym', '01801297')], '01799794')
([('03141702', '¬_derivationally_related_form', '01593937'), ('01593937', '_derivationally_related_form', '03141702'), ('03141702', '_derivationally_related_form', '00339085')], '01593937')
([('00082870', '¬_derivationally_related_form', '02301825'), ('02301825', '_derivationally_related_form', '00082870'), ('00082870', '¬_derivationally_related_form', '02274482')], '02301825')
([('07384898', '¬_derivationally_related_form', '01054186'), ('01054186', '_hypernym', '00941990'), ('00941990', '_verb_group', '00943281')], '01054186')
([('01943718', '¬_derivationally_related_form', '00326291'), ('00326291', '¬_derivationally_related_form', '01943718'), ('01943718', '¬_hypernym', '02041422')], '00326291')
