FB15K-237, film_genre_FB_PPO_distance_22
([('/m/04jwjq', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/099ks0'), ('/m/099ks0', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01p3ty'), ('/m/01p3ty', '/film/film/genre', '/m/03q4nz')], '/m/03q4nz')
([('/m/0df2zx', '¬/media_common/netflix_genre/titles', '/m/09q17'), ('/m/09q17', '/media_common/netflix_genre/titles', '/m/03z20c'), ('/m/03z20c', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/024rgt')], '/m/09q17')
([('/m/05cj_j', '/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/0k0rf'), ('/m/0k0rf', '¬/media_common/netflix_genre/titles', '/m/0c3351'), ('/m/0c3351', '¬/tv/tv_program/genre', '/m/028k2x')], '/m/0c3351')
([('/m/09tkzy', '¬/film/actor/film./film/performance/film', '/m/016j68'), ('/m/016j68', '/film/actor/film./film/performance/film', '/m/0p7pw'), ('/m/0p7pw', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/07q1m', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '/media_common/netflix_genre/titles', '/m/047myg9'), ('/m/047myg9', '/film/film/genre', '/m/02l7c8')], '/m/017fp')
([('/m/01q7h2', '¬/media_common/netflix_genre/titles', '/m/0c3351'), ('/m/0c3351', '¬/film/film/genre', '/m/0cf8qb'), ('/m/0cf8qb', '¬/film/actor/film./film/performance/film', '/m/05nzw6')], '/m/0c3351')
([('/m/09tqkv2', '¬/film/film_subject/films', '/m/04jjy'), ('/m/04jjy', '/film/film_subject/films', '/m/0286vp'), ('/m/0286vp', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/04h4c9', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/0168ls'), ('/m/0168ls', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/01qb5d', '/film/film/genre', '/m/0btmb'), ('/m/0btmb', '¬/film/film/genre', '/m/0czyxs'), ('/m/0czyxs', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0m_mm', '¬/media_common/netflix_genre/titles', '/m/0hfjk'), ('/m/0hfjk', '¬/film/film/genre', '/m/0kvgtf'), ('/m/0kvgtf', '¬/film/actor/film./film/performance/film', '/m/023n39')], '/m/0hfjk')
([('/m/03mnn0', '¬/media_common/netflix_genre/titles', '/m/0jtdp'), ('/m/0jtdp', '¬/film/film/genre', '/m/03mnn0'), ('/m/03mnn0', '/film/film/genre', '/m/0d2rhq')], '/m/0jtdp')
([('/m/0gcpc', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/05qd_'), ('/m/05qd_', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/062zjtt'), ('/m/062zjtt', '/film/film/genre', '/m/01hmnh')], '/m/01hmnh')
([('/m/0hmr4', '/film/film/genre', '/m/06cvj'), ('/m/06cvj', '¬/film/film/genre', '/m/0h0wd9'), ('/m/0h0wd9', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/0c34mt', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/042y1c'), ('/m/042y1c', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/04dn09n')], '/m/04xvlr')
([('/m/02qlp4', '¬/film/film_subject/films', '/m/07s2s'), ('/m/07s2s', '/film/film_subject/films', '/m/063zky'), ('/m/063zky', '/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/069z_5')], '/m/07s2s')
([('/m/015bpl', '/film/film/film_format', '/m/07fb8_'), ('/m/07fb8_', '¬/film/film/film_format', '/m/047qxs'), ('/m/047qxs', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/03cw411', '/film/film/cinematography', '/m/07mb57'), ('/m/07mb57', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/02yy9r'), ('/m/02yy9r', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/02tqm5', '/film/film/genre', '/m/0lsxr'), ('/m/0lsxr', '¬/film/film/genre', '/m/0jsf6'), ('/m/0jsf6', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/03cv_gy', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/011ywj'), ('/m/011ywj', '¬/film/actor/film./film/performance/film', '/m/0l6px')], '/m/04xvlr')
([('/m/04h4c9', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/0c34mt'), ('/m/0c34mt', '/film/film/country', '/m/09c7w0')], '/m/04xvlr')
([('/m/01f8gz', '/film/film/genre', '/m/03q4nz'), ('/m/03q4nz', '¬/film/film/genre', '/m/0bs5k8r'), ('/m/0bs5k8r', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0h95zbp', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06bnz'), ('/m/06bnz', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0401sg'), ('/m/0401sg', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0b2qtl', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/0prh7'), ('/m/0prh7', '/film/film/music', '/m/08c9b0')], '/m/04xvlr')
([('/m/01f6x7', '¬/media_common/netflix_genre/titles', '/m/04t2t'), ('/m/04t2t', '¬/film/film/genre', '/m/02qd04y'), ('/m/02qd04y', '/film/film/genre', '/m/082gq')], '/m/04t2t')
([('/m/04jn6y7', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/0fq7dv_'), ('/m/0fq7dv_', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07f1x')], '/m/02n4kr')
([('/m/02qcr', '/film/film/genre', '/m/073_6'), ('/m/073_6', '¬/film/film/genre', '/m/0571m'), ('/m/0571m', '¬/media_common/netflix_genre/titles', '/m/01jfsb')], '/m/01jfsb')
([('/m/04svwx', '¬/tv/tv_network/programs./tv/tv_network_duration/program', '/m/02hmvw'), ('/m/02hmvw', '/tv/tv_network/programs./tv/tv_network_duration/program', '/m/04hs7d'), ('/m/04hs7d', '/tv/tv_program/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/02gpkt', '¬/media_common/netflix_genre/titles', '/m/024qqx'), ('/m/024qqx', '/media_common/netflix_genre/titles', '/m/03qcfvw'), ('/m/03qcfvw', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/063_j5', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/02q0v8n'), ('/m/02q0v8n', '/film/film/language', '/m/02h40lc')], '/m/01jfsb')
([('/m/087vnr5', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/025twgt'), ('/m/025twgt', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/04vh83', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0k6nt'), ('/m/0k6nt', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01srq2'), ('/m/01srq2', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0gyy53', '/film/film/genre', '/m/02l7c8'), ('/m/02l7c8', '¬/film/film/genre', '/m/011ypx'), ('/m/011ypx', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/05_5rjx', '¬/film/actor/film./film/performance/film', '/m/041rhq'), ('/m/041rhq', '/film/actor/film./film/performance/film', '/m/0n08r'), ('/m/0n08r', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0pvms', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/04h4c9'), ('/m/04h4c9', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/01x1fq')], '/m/04xvlr')
([('/m/02_fm2', '/film/film/film_format', '/m/0hcr'), ('/m/0hcr', '¬/film/film/genre', '/m/09w6br'), ('/m/09w6br', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0p9sw')], '/m/0hcr')
([('/m/07nt8p', '/film/film/genre', '/m/060__y'), ('/m/060__y', '¬/film/film/genre', '/m/07jxpf'), ('/m/07jxpf', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/06nr2h', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '/media_common/netflix_genre/titles', '/m/0ywrc'), ('/m/0ywrc', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02rdxsh')], '/m/017fp')
([('/m/04q24zv', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/065z3_x'), ('/m/065z3_x', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/04xvlr')
([('/m/016017', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/02x8fs'), ('/m/02x8fs', '¬/film/actor/film./film/performance/film', '/m/01n1gc')], '/m/01hmnh')
([('/m/085bd1', '/film/film/genre', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/02qydsh'), ('/m/02qydsh', '/film/film/genre', '/m/03k9fj')], '/m/03k9fj')
([('/m/0gm2_0', '/film/film/music', '/m/02jxmr'), ('/m/02jxmr', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0fh694'), ('/m/0fh694', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/03f7xg', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/031786'), ('/m/031786', '/film/film/country', '/m/09c7w0')], '/m/01jfsb')
([('/m/02mpyh', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '/media_common/netflix_genre/titles', '/m/04fjzv'), ('/m/04fjzv', '/film/film/story_by', '/m/0jt90f5')], '/m/09blyk')
([('/m/09rfh9', 'NO_OP', '/m/09rfh9'), ('/m/09rfh9', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '¬/tv/tv_program/genre', '/m/07gbf')], '/m/09blyk')
([('/m/01v1ln', '/film/film/story_by', '/m/0fx02'), ('/m/0fx02', '¬/film/film/story_by', '/m/0g5pvv'), ('/m/0g5pvv', '/film/film/genre', '/m/0lsxr')], '/m/0lsxr')
([('/m/02fqxm', '¬/media_common/netflix_genre/titles', '/m/0glj9q'), ('/m/0glj9q', '/media_common/netflix_genre/titles', '/m/0571m'), ('/m/0571m', '/film/film/genre', '/m/0lsxr')], '/m/0glj9q')
([('/m/02qydsh', '/film/film/prequel', '/m/03nfnx'), ('/m/03nfnx', '/film/film/genre', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/0gj9tn5')], '/m/01hmnh')
([('/m/04tz52', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/0fgrm'), ('/m/0fgrm', 'NO_OP', '/m/0fgrm')], '/m/04t36')
([('/m/0gd0c7x', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/04gzd'), ('/m/04gzd', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0661m4p'), ('/m/0661m4p', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0294zg', '/film/film/production_companies', '/m/05qd_'), ('/m/05qd_', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/0gcpc'), ('/m/0gcpc', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0bz3jx', '/film/film/country', '/m/0f8l9c'), ('/m/0f8l9c', '¬/film/film/country', '/m/02vz6dn'), ('/m/02vz6dn', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/034qmv', '¬/media_common/netflix_genre/titles', '/m/04t2t'), ('/m/04t2t', '¬/film/film/genre', '/m/07cz2'), ('/m/07cz2', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0p9sw')], '/m/04t2t')
([('/m/09fc83', '/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/02ldv0'), ('/m/02ldv0', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/011yd2'), ('/m/011yd2', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/05p3738', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/05n6sq'), ('/m/05n6sq', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/0237fw')], '/m/04xvlr')
([('/m/0fgpvf', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/09rvwmy'), ('/m/09rvwmy', '/film/film/film_format', '/m/0cj16')], '/m/07s9rl0')
([('/m/04q24zv', '¬/media_common/netflix_genre/titles', '/m/06l3bl'), ('/m/06l3bl', '/media_common/netflix_genre/titles', '/m/0ywrc'), ('/m/0ywrc', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02qvyrt')], '/m/06l3bl')
([('/m/03mnn0', '¬/media_common/netflix_genre/titles', '/m/0jtdp'), ('/m/0jtdp', '¬/film/film/genre', '/m/0192hw'), ('/m/0192hw', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/035qy')], '/m/0jtdp')
([('/m/059rc', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/02_sr1'), ('/m/02_sr1', '¬/film/special_film_performance_type/film_performance_type./film/performance/film', '/m/09_gdc')], '/m/01jfsb')
([('/m/03t95n', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/0295sy'), ('/m/0295sy', '/film/film/music', '/m/0146pg')], '/m/01hmnh')
([('/m/0c_j9x', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/0c34mt'), ('/m/0c34mt', '/film/film/country', '/m/01mjq')], '/m/02n4kr')
([('/m/0gjk1d', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/02x4w6g'), ('/m/02x4w6g', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0dx8gj'), ('/m/0dx8gj', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0kvgnq', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/03mz5b'), ('/m/03mz5b', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/025jfl')], '/m/07s9rl0')
([('/m/011xg5', '/film/film/genre', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02nx2k'), ('/m/02nx2k', '/film/film/genre', '/m/03k9fj')], '/m/03k9fj')
([('/m/03f7nt', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/04fzfj'), ('/m/04fzfj', '/film/film/genre', '/m/02kdv5l')], '/m/01jfsb')
([('/m/052_mn', '/film/film/language', '/m/03k50'), ('/m/03k50', '¬/film/film/language', '/m/047q2k1'), ('/m/047q2k1', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/04lqvlr', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8'), ('/m/09zzb8', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/03z106'), ('/m/03z106', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/024l2y', '/film/film/production_companies', '/m/016tt2'), ('/m/016tt2', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/02tktw'), ('/m/02tktw', '¬/media_common/netflix_genre/titles', '/m/01jfsb')], '/m/01jfsb')
([('/m/02_fm2', '/film/film/film_format', '/m/0hcr'), ('/m/0hcr', '¬/film/film/genre', '/m/0cc97st'), ('/m/0cc97st', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr')], '/m/0hcr')
([('/m/047p7fr', '¬/film/film_subject/films', '/m/0d1w9'), ('/m/0d1w9', '/film/film_subject/films', '/m/095z4q'), ('/m/095z4q', '/film/film/genre', '/m/0hn10')], '/m/0hn10')
([('/m/0fh694', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02ppm4q'), ('/m/02ppm4q', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0cbv4g'), ('/m/0cbv4g', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/04cv9m', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09vw2b7'), ('/m/09vw2b7', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/076tw54'), ('/m/076tw54', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/07jqjx', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/02r8hh_'), ('/m/02r8hh_', 'NO_OP', '/m/02r8hh_')], '/m/04xvlr')
([('/m/0415ggl', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/0bmhvpr'), ('/m/0bmhvpr', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0j1z8')], '/m/07s9rl0')
([('/m/0dr89x', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/011ywj'), ('/m/011ywj', '¬/film/actor/film./film/performance/film', '/m/06j8wx')], '/m/04xvlr')
([('/m/09gmmt6', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '¬/film/film/genre', '/m/0401sg'), ('/m/0401sg', '¬/film/actor/film./film/performance/film', '/m/0151ns')], '/m/03npn')
([('/m/026n4h6', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/035zr0'), ('/m/035zr0', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/02vzc')], '/m/01jfsb')
([('/m/045r_9', '¬/media_common/netflix_genre/titles', '/m/0d63kt'), ('/m/0d63kt', '¬/film/film/genre', '/m/02nczh'), ('/m/02nczh', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/03qgjwc')], '/m/0d63kt')
([('/m/01qncf', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/02rdxsh'), ('/m/02rdxsh', '¬/award/award_winning_work/awards_won./award/award_honor/award', '/m/01qncf'), ('/m/01qncf', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0bxsk', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/01gwk3'), ('/m/01gwk3', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/026hh0m', '/film/film/featured_film_locations', '/m/094jv'), ('/m/094jv', '¬/film/film/featured_film_locations', '/m/0cf8qb'), ('/m/0cf8qb', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0drnwh', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/07z6xs'), ('/m/07z6xs', '¬/film/actor/film./film/performance/film', '/m/057_yx')], '/m/04xvlr')
([('/m/026390q', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/01gvts'), ('/m/01gvts', '¬/award/award_ceremony/awards_presented./award/award_honor/honored_for', '/m/0bzk2h')], '/m/07s9rl0')
([('/m/0dl6fv', 'NO_OP', '/m/0dl6fv'), ('/m/0dl6fv', '/tv/tv_program/genre', '/m/04xvh5'), ('/m/04xvh5', '¬/film/film/genre', '/m/016ywb')], '/m/04xvh5')
([('/m/09tcg4', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/09p35z'), ('/m/09p35z', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/03h_yy', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/01hvjx'), ('/m/01hvjx', '/film/film/genre', '/m/05p553')], '/m/04t36')
([('/m/0gxfz', '¬/media_common/netflix_genre/titles', '/m/06qm3'), ('/m/06qm3', '¬/film/film/genre', '/m/033fqh'), ('/m/033fqh', '¬/film/actor/film./film/performance/film', '/m/0863x_')], '/m/06qm3')
([('/m/02qcr', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '/media_common/netflix_genre/titles', '/m/02bg55'), ('/m/02bg55', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/03h64')], '/m/09blyk')
([('/m/03h_yy', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/05fgt1'), ('/m/05fgt1', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/011wtv', '¬/film/actor/film./film/performance/film', '/m/03w4sh'), ('/m/03w4sh', '/film/actor/film./film/performance/film', '/m/026n4h6'), ('/m/026n4h6', '¬/media_common/netflix_genre/titles', '/m/01jfsb')], '/m/01jfsb')
([('/m/03twd6', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/04fv5b'), ('/m/04fv5b', '/film/film/music', '/m/03h610')], '/m/01jfsb')
([('/m/08rr3p', '/film/film/produced_by', '/m/04pqqb'), ('/m/04pqqb', '¬/film/film/produced_by', '/m/05sns6'), ('/m/05sns6', '/film/film/genre', '/m/06cvj')], '/m/06cvj')
([('/m/01fwzk', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/08xvpn'), ('/m/08xvpn', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/086k8')], '/m/04xvlr')
([('/m/04cv9m', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/0b76kw1'), ('/m/0b76kw1', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02_3zj')], '/m/04xvlr')
([('/m/02fqxm', '/film/film/genre', '/m/02n4kr'), ('/m/02n4kr', '/media_common/netflix_genre/titles', '/m/0f40w'), ('/m/0f40w', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/0bm2g', '¬/media_common/netflix_genre/titles', '/m/06l3bl'), ('/m/06l3bl', '¬/film/film/genre', '/m/0gnkb'), ('/m/0gnkb', '/film/film/country', '/m/09c7w0')], '/m/06l3bl')
([('/m/035bcl', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/08sk8l'), ('/m/08sk8l', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02r96rf')], '/m/01hmnh')
([('/m/04gv3db', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/016tt2'), ('/m/016tt2', '¬/film/film/production_companies', '/m/050f0s'), ('/m/050f0s', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/02vzpb', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/03rwz3'), ('/m/03rwz3', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01hw5kk'), ('/m/01hw5kk', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/0hv1t', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/0gj8t_b'), ('/m/0gj8t_b', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8')], '/m/04t36')
([('/m/02r9p0c', '/film/film/dubbing_performances./film/dubbing_performance/actor', '/m/081jbk'), ('/m/081jbk', '¬/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/03lyp4'), ('/m/03lyp4', '/tv/tv_program/genre', '/m/0jxy')], '/m/0jxy')
([('/m/05ch98', '¬/film/film_subject/films', '/m/07s2s'), ('/m/07s2s', '/film/film_subject/films', '/m/063zky'), ('/m/063zky', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/07c52')], '/m/07s2s')
([('/m/0c34mt', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/0422v0'), ('/m/0422v0', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/054g1r')], '/m/02n4kr')
([('/m/05pdd86', '/film/film/country', '/m/09c7w0'), ('/m/09c7w0', '¬/film/film/country', '/m/0b2km_'), ('/m/0b2km_', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/027ct7c', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01pvkk'), ('/m/01pvkk', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/07xtqq'), ('/m/07xtqq', '/film/film/genre', '/m/01t_vv')], '/m/01t_vv')
([('/m/0436yk', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/0dcz8_'), ('/m/0dcz8_', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/063b4k')], '/m/01hmnh')
([('/m/0cwfgz', '/award/award_winning_work/awards_won./award/award_honor/honored_for', '/m/074rg9'), ('/m/074rg9', '/film/film/genre', '/m/0lsxr'), ('/m/0lsxr', '¬/film/film/genre', '/m/0g3zrd')], '/m/0lsxr')
([('/m/064lsn', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/025rvx0'), ('/m/025rvx0', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02n9nmz')], '/m/07s9rl0')
([('/m/09k56b7', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0gqwc'), ('/m/0gqwc', '¬/award/award_winning_work/awards_won./award/award_honor/award', '/m/070fnm'), ('/m/070fnm', '/film/film/genre', '/m/02n4kr')], '/m/02n4kr')
([('/m/02z0f6l', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '/media_common/netflix_genre/titles', '/m/0qmd5'), ('/m/0qmd5', '¬/media_common/netflix_genre/titles', '/m/017fp')], '/m/017fp')
([('/m/07vf5c', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/052_mn'), ('/m/052_mn', '/film/film/genre', '/m/02kdv5l')], '/m/04t36')
([('/m/090s_0', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/01hw5kk'), ('/m/01hw5kk', '/film/film/story_by', '/m/0343h')], '/m/01hmnh')
