WN18RR, _similar_to_WN18_generic_PPO_simple_embedding_100
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', '¬_similar_to', '01835276')], '01835276')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01751353', 'NO_OP', '01751353'), ('01751353', '¬_similar_to', '01749320'), ('01749320', '_also_see', '00914421')], '01749320')
([('02559180', 'NO_OP', '02559180'), ('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('02517169', '_derivationally_related_form', '02150948'), ('02150948', '_derivationally_related_form', '02517169'), ('02517169', '¬_similar_to', '02515341')], '02515341')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('01548193', '¬_similar_to', '01548694'), ('01548694', '¬_derivationally_related_form', '01069125'), ('01069125', '_derivationally_related_form', '01548694')], '01548694')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '_also_see', '00914421'), ('00914421', '_also_see', '01749320')], '01749320')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('01947266', '¬_similar_to', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573')], '01948573')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('01809655', '¬_similar_to', '01811172'), ('01811172', 'NO_OP', '01811172'), ('01811172', '¬_derivationally_related_form', '07538395')], '01811172')
([('00445169', '¬_hypernym', '00445711'), ('00445711', '_hypernym', '00445169'), ('00445169', '¬_similar_to', '00444519')], '00444519')
([('00708017', '¬_similar_to', '00709625'), ('00709625', '¬_derivationally_related_form', '05728678'), ('05728678', '_derivationally_related_form', '00709625')], '00709625')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', '_hypernym', '01101913')], '01412912')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('00963283', '¬_similar_to', '00962634'), ('00962634', '¬_similar_to', '00963283'), ('00963283', '¬_similar_to', '00962634')], '00962634')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('00168910', 'NO_OP', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00166146')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('02515341', '¬_similar_to', '02517169'), ('02517169', '¬_similar_to', '02515341'), ('02515341', '¬_similar_to', '02517169')], '02517169')
([('00727564', '¬_similar_to', '00728826'), ('00728826', '_hypernym', '00636574'), ('00636574', 'NO_OP', '00636574')], '00728826')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', '¬_similar_to', '00535844')], '00535844')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('01116026', '¬_similar_to', '01115349'), ('01115349', '_also_see', '01932973'), ('01932973', 'NO_OP', '01932973')], '01115349')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304')], '01835276')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101'), ('00400101', 'NO_OP', '00400101')], '00400101')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('02515214', '¬_similar_to', '02513740'), ('02513740', '¬_similar_to', '02515214'), ('02515214', '¬_similar_to', '02513740')], '02513740')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740'), ('02513740', 'NO_OP', '02513740')], '02513740')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', '¬_similar_to', '00095873')], '00095280')
([('02504131', '¬_similar_to', '02505141'), ('02505141', '¬_similar_to', '02504131'), ('02504131', '_derivationally_related_form', '02662297')], '02505141')
([('00727564', 'NO_OP', '00727564'), ('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', '¬_similar_to', '02559862')], '02559180')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('00728826', '¬_similar_to', '00727564'), ('00727564', '_also_see', '01061489'), ('01061489', '¬_also_see', '00727564')], '00727564')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01751353', '¬_similar_to', '01749320'), ('01749320', 'NO_OP', '01749320'), ('01749320', '_also_see', '00914421')], '01749320')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('02112891', 'NO_OP', '02112891'), ('02112891', '¬_similar_to', '02111684'), ('02111684', '¬_similar_to', '02112891')], '02111684')
([('01947266', '¬_similar_to', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573')], '01948573')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', '_similar_to', '02559180')], '02559862')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02504131', '¬_similar_to', '02505141'), ('02505141', '¬_similar_to', '02504131'), ('02504131', '¬_similar_to', '02505141')], '02505141')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('00166146', '¬_similar_to', '00167278'), ('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00167278')
([('02111684', '¬_similar_to', '02112891'), ('02112891', '_derivationally_related_form', '13428159'), ('13428159', '¬_derivationally_related_form', '02112891')], '02112891')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '¬_also_see', '00289365'), ('00289365', '¬_also_see', '01749320')], '01749320')
([('02344381', 'NO_OP', '02344381'), ('02344381', '¬_similar_to', '02341266'), ('02341266', '¬_similar_to', '02344381')], '02341266')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('02111684', 'NO_OP', '02111684'), ('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('02515214', '¬_similar_to', '02513740'), ('02513740', '¬_derivationally_related_form', '14563564'), ('14563564', 'NO_OP', '14563564')], '02513740')
([('00727564', '¬_similar_to', '00728826'), ('00728826', '_hypernym', '00636574'), ('00636574', '¬_hypernym', '00728826')], '00728826')
([('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844')], '00535844')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '¬_also_see', '00914421'), ('00914421', '¬_derivationally_related_form', '04803430')], '01749320')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00166146')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918'), ('01834918', '¬_hypernym', '01835276')], '01835276')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', '¬_also_see', '00583990')], '02504131')
([('00095873', 'NO_OP', '00095873'), ('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625'), ('00709625', 'NO_OP', '00709625')], '00709625')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00445169', '¬_similar_to', '00444519'), ('00444519', 'NO_OP', '00444519'), ('00444519', 'NO_OP', '00444519')], '00444519')
([('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101'), ('00400101', '¬_similar_to', '00394562')], '00400101')
([('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374'), ('00779374', 'NO_OP', '00779374')], '00779374')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('02515214', 'NO_OP', '02515214'), ('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740')], '02513740')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00166146', 'NO_OP', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00168910')
([('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844')], '00535844')
([('01548193', 'NO_OP', '01548193'), ('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', '_similar_to', '02344381')], '02341266')
([('00167278', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00166146')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('02166346', '¬_similar_to', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', 'NO_OP', '02166346')], '02168699')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', 'NO_OP', '00168910')], '00166146')
([('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146')], '00168910')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('00709625', '¬_similar_to', '00708017'), ('00708017', '¬_similar_to', '00709625'), ('00709625', '¬_similar_to', '00708017')], '00708017')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('01548694', '¬_similar_to', '01548193'), ('01548193', 'NO_OP', '01548193'), ('01548193', '¬_also_see', '02513269')], '01548193')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00168910', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', 'NO_OP', '00166146')], '00166146')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304'), ('01834304', 'NO_OP', '01834304')], '01834304')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619'), ('02244619', '_also_see', '02166346')], '02166346')
([('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00167278')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('02112891', '¬_derivationally_related_form', '13428159'), ('13428159', '_derivationally_related_form', '02112891'), ('02112891', '¬_similar_to', '02111684')], '02111684')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', '¬_also_see', '01746605')], '02515341')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('02504131', '¬_similar_to', '02505141'), ('02505141', '_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131')], '02505141')
([('01948573', '¬_similar_to', '01947266'), ('01947266', '_also_see', '00849357'), ('00849357', '¬_also_see', '02392878')], '01947266')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374'), ('00779374', 'NO_OP', '00779374')], '00779374')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', '¬_similar_to', '02515341')], '02517169')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('02393086', 'NO_OP', '02393086'), ('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01412912', '¬_similar_to', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415')], '01412415')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('02111684', '¬_similar_to', '02112891'), ('02112891', '¬_derivationally_related_form', '13428159'), ('13428159', 'NO_OP', '13428159')], '02112891')
([('02112891', '¬_similar_to', '02111684'), ('02111684', 'NO_OP', '02111684'), ('02111684', 'NO_OP', '02111684')], '02111684')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630')], '01894758')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', 'NO_OP', '01412912')], '01412912')
([('00963283', '¬_derivationally_related_form', '05960464'), ('05960464', '¬_derivationally_related_form', '00963283'), ('00963283', '¬_similar_to', '00962634')], '00962634')
([('00168910', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', 'NO_OP', '00166146')], '00166146')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('00168910', 'NO_OP', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146')], '00166146')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452')], '00535844')
([('00394562', 'NO_OP', '00394562'), ('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562')], '00400101')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180')], '02559180')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('01749320', 'NO_OP', '01749320'), ('01749320', 'NO_OP', '01749320'), ('01749320', '¬_similar_to', '01751353')], '01751353')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', '_verb_group', '01416193')], '01412912')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('01948573', 'NO_OP', '01948573'), ('01948573', '¬_similar_to', '01947266'), ('01947266', '¬_similar_to', '01948573')], '01947266')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('02517169', '¬_similar_to', '02515341'), ('02515341', '¬_derivationally_related_form', '05017458'), ('05017458', 'NO_OP', '05017458')], '02515341')
([('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304'), ('01834304', '_also_see', '02123812')], '01834304')
([('02559862', '¬_similar_to', '02559180'), ('02559180', '¬_similar_to', '02559862'), ('02559862', '¬_similar_to', '02559180')], '02559180')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01020117')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
