WN18RR, _also_see_WN18_generic_PPO_simple_embedding_100
([('01116380', '¬_also_see', '02461723'), ('02461723', '¬_derivationally_related_form', '06756407'), ('06756407', '¬_derivationally_related_form', '00835903')], '02461723')
([('00289082', '¬_also_see', '02274253'), ('02274253', '¬_also_see', '00289082'), ('00289082', '¬_also_see', '01752167')], '02274253')
([('01716491', '_also_see', '00133851'), ('00133851', '¬_also_see', '02399399'), ('02399399', 'NO_OP', '02399399')], '02399399')
([('02079029', '¬_derivationally_related_form', '06777164'), ('06777164', '¬_derivationally_related_form', '02079029'), ('02079029', '¬_also_see', '00647542')], '00647542')
([('01430111', '¬_also_see', '00111129'), ('00111129', '¬_also_see', '01430111'), ('01430111', '_derivationally_related_form', '04784664')], '00111129')
([('00570590', '¬_also_see', '00186616'), ('00186616', '_also_see', '00570590'), ('00570590', '_derivationally_related_form', '05675130')], '00186616')
([('00298767', '¬_also_see', '01919931'), ('01919931', '¬_also_see', '01452593'), ('01452593', '_derivationally_related_form', '04990220')], '01919931')
([('01076793', '¬_also_see', '01244410'), ('01244410', '_derivationally_related_form', '07547805'), ('07547805', '_derivationally_related_form', '01244410')], '01244410')
([('01800349', '¬_also_see', '01133876'), ('01133876', '_also_see', '01800349'), ('01800349', '_derivationally_related_form', '07490713')], '01133876')
([('01922763', 'NO_OP', '01922763'), ('01922763', '¬_also_see', '01740892'), ('01740892', '¬_also_see', '01922763')], '01740892')
([('01716227', '¬_also_see', '02395115'), ('02395115', '_derivationally_related_form', '05658226'), ('05658226', '_derivationally_related_form', '02191546')], '02395115')
([('02094755', '¬_also_see', '01886407'), ('01886407', '_also_see', '02523275'), ('02523275', '_also_see', '01886407')], '01886407')
([('00439588', '¬_derivationally_related_form', '10667187'), ('10667187', '_derivationally_related_form', '01336587'), ('01336587', '¬_derivationally_related_form', '10667187')], '01336587')
([('00111129', '¬_also_see', '01430111'), ('01430111', '_also_see', '01925372'), ('01925372', '_also_see', '01430111')], '01430111')
([('02566015', '¬_also_see', '00695523'), ('00695523', '¬_derivationally_related_form', '04907991'), ('04907991', '¬_derivationally_related_form', '00695523')], '00695523')
([('00701479', '¬_also_see', '00781168'), ('00781168', '_also_see', '00701479'), ('00701479', '_also_see', '00430191')], '00781168')
([('00156839', '¬_also_see', '00251809'), ('00251809', '¬_also_see', '00156839'), ('00156839', '¬_also_see', '00788821')], '00788821')
([('02513269', '¬_also_see', '01781478'), ('01781478', '¬_also_see', '02578235'), ('02578235', '¬_derivationally_related_form', '09998101')], '01781478')
([('02451951', '¬_also_see', '02389220'), ('02389220', '¬_derivationally_related_form', '08683548'), ('08683548', '¬_hypernym', '08504594')], '02389220')
([('01704761', '¬_also_see', '00940437'), ('00940437', '¬_also_see', '01704761'), ('01704761', '¬_also_see', '00940437')], '00940437')
([('02319129', '¬_also_see', '01222884'), ('01222884', 'NO_OP', '01222884'), ('01222884', '¬_derivationally_related_form', '04873550')], '01222884')
([('01925372', 'NO_OP', '01925372'), ('01925372', '¬_also_see', '01430111'), ('01430111', '¬_also_see', '00111129')], '01430111')
([('02510879', '¬_also_see', '01244410'), ('01244410', '¬_also_see', '00082241'), ('00082241', 'NO_OP', '00082241')], '01244410')
([('00077645', '¬_also_see', '00251809'), ('00251809', '¬_also_see', '00077645'), ('00077645', '_also_see', '00264776')], '00251809')
([('01430847', '_also_see', '00464962'), ('00464962', '_also_see', '01926376'), ('01926376', '_also_see', '01430847')], '01926376')
([('02271544', '¬_also_see', '02578235'), ('02578235', '_also_see', '02271544'), ('02271544', '¬_derivationally_related_form', '04880573')], '02578235')
([('00464962', '¬_also_see', '01926376'), ('01926376', '_also_see', '01430847'), ('01430847', '_also_see', '01926376')], '01926376')
([('01782519', 'NO_OP', '01782519'), ('01782519', 'NO_OP', '01782519'), ('01782519', '¬_also_see', '02513740')], '02513740')
([('02035337', '¬_also_see', '01880531'), ('01880531', '_also_see', '02035337'), ('02035337', 'NO_OP', '02035337')], '01880531')
([('01624633', '¬_also_see', '01460421'), ('01460421', '_also_see', '01624633'), ('01624633', '¬_also_see', '01801600')], '01460421')
([('01001689', '¬_also_see', '01865197'), ('01865197', '¬_also_see', '02331262'), ('02331262', '_derivationally_related_form', '14474052')], '01865197')
([('01612053', '¬_also_see', '01123148'), ('01123148', '¬_also_see', '00227507'), ('00227507', '¬_also_see', '02341266')], '01123148')
([('01116380', '¬_also_see', '01934554'), ('01934554', 'NO_OP', '01934554'), ('01934554', 'NO_OP', '01934554')], '01934554')
([('00065791', '¬_also_see', '00249721'), ('00249721', '_derivationally_related_form', '04858785'), ('04858785', '_hypernym', '04858455')], '00249721')
([('00190115', '¬_also_see', '00570590'), ('00570590', '_also_see', '00186616'), ('00186616', '_also_see', '00091311')], '00570590')
([('00835609', '¬_also_see', '02497141'), ('02497141', '¬_derivationally_related_form', '05150588'), ('05150588', '_hypernym', '04723816')], '02497141')
([('01711071', '¬_also_see', '01160031'), ('01160031', '¬_also_see', '01711071'), ('01711071', '_derivationally_related_form', '07494363')], '01160031')
([('01149494', '¬_derivationally_related_form', '07532440'), ('07532440', '_derivationally_related_form', '00909363'), ('00909363', '_derivationally_related_form', '07539367')], '00909363')
([('01535709', '¬_also_see', '00666058'), ('00666058', '¬_derivationally_related_form', '05050379'), ('05050379', '_hypernym', '05050115')], '00666058')
([('00571643', '¬_also_see', '00191603'), ('00191603', '_also_see', '02102796'), ('02102796', '_also_see', '02106761')], '02102796')
([('02461723', '¬_also_see', '00632438'), ('00632438', 'NO_OP', '00632438'), ('00632438', '_derivationally_related_form', '04802403')], '00632438')
([('01922763', '¬_also_see', '01740892'), ('01740892', '¬_also_see', '01922763'), ('01922763', '¬_also_see', '00087152')], '00087152')
([('00914421', 'NO_OP', '00914421'), ('00914421', '¬_also_see', '00021766'), ('00021766', '¬_also_see', '01837744')], '00021766')
([('02461723', '¬_derivationally_related_form', '06756407'), ('06756407', '¬_derivationally_related_form', '02461723'), ('02461723', '¬_also_see', '00632438')], '00632438')
([('01246579', '¬_also_see', '01459422'), ('01459422', '¬_also_see', '01463965'), ('01463965', '¬_also_see', '02533313')], '01459422')
([('00629997', 'NO_OP', '00629997'), ('00629997', '¬_also_see', '00627849'), ('00627849', '¬_also_see', '00629997')], '00627849')
([('01783158', '¬_derivationally_related_form', '04826999'), ('04826999', '_derivationally_related_form', '01783158'), ('01783158', '¬_also_see', '01781478')], '01781478')
([('00779374', '¬_also_see', '00428404'), ('00428404', 'NO_OP', '00428404'), ('00428404', '¬_also_see', '00103696')], '00428404')
([('01544692', '¬_also_see', '01494310'), ('01494310', '¬_hypernym', '01498713'), ('01498713', '_hypernym', '01494310')], '01494310')
([('00135718', 'NO_OP', '00135718'), ('00135718', '¬_also_see', '01880531'), ('01880531', '_derivationally_related_form', '04901326')], '01880531')
([('01587077', '¬_also_see', '01801600'), ('01801600', '¬_also_see', '01716491'), ('01716491', 'NO_OP', '01716491')], '01801600')
([('00684480', '¬_also_see', '01989669'), ('01989669', '_also_see', '00684480'), ('00684480', '¬_also_see', '00655779')], '00655779')
([('00835609', '¬_also_see', '00839411'), ('00839411', 'NO_OP', '00839411'), ('00839411', '_also_see', '00835609')], '00839411')
([('02363358', '¬_also_see', '02105375'), ('02105375', '¬_also_see', '02102796'), ('02102796', '_also_see', '02105375')], '02105375')
([('02337667', '_derivationally_related_form', '05716577'), ('05716577', '_derivationally_related_form', '02368336'), ('02368336', '_derivationally_related_form', '04994413')], '02368336')
([('00289365', '_also_see', '00681094'), ('00681094', '¬_also_see', '02273326'), ('02273326', '_also_see', '00681094')], '02273326')
([('01115349', '¬_also_see', '02179279'), ('02179279', 'NO_OP', '02179279'), ('02179279', '¬_also_see', '02460502')], '02179279')
([('00249721', '¬_also_see', '00081671'), ('00081671', '¬_also_see', '00262792'), ('00262792', '_also_see', '01989669')], '00081671')
([('02290998', '¬_also_see', '00583239'), ('00583239', '¬_also_see', '02505716'), ('02505716', '¬_derivationally_related_form', '04739932')], '00583239')
([('01544692', '¬_also_see', '01494310'), ('01494310', '¬_hypernym', '01611240'), ('01611240', 'NO_OP', '01611240')], '01494310')
([('01233347', '¬_also_see', '02310895'), ('02310895', '¬_also_see', '01233347'), ('01233347', '_derivationally_related_form', '04515129')], '02310895')
([('02094755', '_also_see', '01886407'), ('01886407', '¬_also_see', '02094755'), ('02094755', '¬_also_see', '02523275')], '02523275')
([('01943406', '¬_also_see', '01925372'), ('01925372', '_also_see', '01430111'), ('01430111', '_also_see', '01943406')], '01925372')
([('00986027', '¬_also_see', '02410393'), ('02410393', 'NO_OP', '02410393'), ('02410393', '¬_also_see', '02560548')], '02410393')
([('02095311', 'NO_OP', '02095311'), ('02095311', '¬_also_see', '01059400'), ('01059400', '_also_see', '02095311')], '01059400')
([('02464693', '_derivationally_related_form', '04895246'), ('04895246', '_derivationally_related_form', '02464693'), ('02464693', '¬_also_see', '01222360')], '01222360')
([('00364479', '¬_also_see', '01368192'), ('01368192', '_also_see', '01364008'), ('01364008', '_hypernym', '01352574')], '01368192')
([('02321009', '_also_see', '00707366'), ('00707366', '¬_also_see', '02037708'), ('02037708', '_also_see', '01170243')], '02037708')
([('01688271', 'NO_OP', '01688271'), ('01688271', 'NO_OP', '01688271'), ('01688271', '¬_also_see', '00605516')], '00605516')
([('01704761', '¬_also_see', '00940437'), ('00940437', '_also_see', '00896555'), ('00896555', '¬_derivationally_related_form', '04821802')], '00940437')
([('00226618', '¬_also_see', '01159655'), ('01159655', '¬_also_see', '00226618'), ('00226618', '¬_also_see', '01372049')], '01159655')
([('02451951', '¬_also_see', '01475282'), ('01475282', '¬_derivationally_related_form', '04907575'), ('04907575', 'NO_OP', '04907575')], '01475282')
([('01366718', '¬_also_see', '01148283'), ('01148283', '_also_see', '00362467'), ('00362467', '_also_see', '01148283')], '01148283')
([('01686439', '_derivationally_related_form', '04800359'), ('04800359', '_derivationally_related_form', '01686439'), ('01686439', '¬_also_see', '00643250')], '00643250')
([('01960656', '¬_derivationally_related_form', '04770211'), ('04770211', '¬_derivationally_related_form', '01960656'), ('01960656', '¬_also_see', '02238462')], '02238462')
([('01507134', '¬_also_see', '00506299'), ('00506299', '¬_derivationally_related_form', '07553741'), ('07553741', '_hypernym', '07553301')], '00506299')
([('01256600', '¬_derivationally_related_form', '10789963'), ('10789963', '_derivationally_related_form', '01256600'), ('01256600', '¬_also_see', '01259458')], '01259458')
([('01497736', '¬_also_see', '02164402'), ('02164402', 'NO_OP', '02164402'), ('02164402', '_also_see', '01279978')], '01279978')
([('02513740', '_derivationally_related_form', '00745637'), ('00745637', '_derivationally_related_form', '02513740'), ('02513740', '¬_also_see', '02037272')], '02037272')
([('02109678', 'NO_OP', '02109678'), ('02109678', '¬_also_see', '00727564'), ('00727564', '¬_similar_to', '00728826')], '00727564')
([('00707366', '¬_also_see', '02321009'), ('02321009', '¬_also_see', '00707366'), ('00707366', '_also_see', '02037708')], '02321009')
([('02424254', 'NO_OP', '02424254'), ('02424254', '¬_also_see', '00419289'), ('00419289', '¬_derivationally_related_form', '14498096')], '00419289')
([('02460502', '¬_also_see', '01115349'), ('01115349', '¬_also_see', '02179279'), ('02179279', '_derivationally_related_form', '04867130')], '02179279')
([('01580050', '_also_see', '00900616'), ('00900616', '_also_see', '00903668'), ('00903668', '_also_see', '01580050')], '00903668')
([('01002377', '¬_also_see', '01824751'), ('01824751', '_derivationally_related_form', '05204637'), ('05204637', '_derivationally_related_form', '01824751')], '01824751')
([('01533120', '¬_also_see', '01509527'), ('01509527', '¬_also_see', '01872745'), ('01872745', '_derivationally_related_form', '05613962')], '01509527')
([('01483324', '¬_also_see', '01475831'), ('01475831', '¬_derivationally_related_form', '10287213'), ('10287213', '_hypernym', '09605289')], '01475831')
([('01116380', '¬_also_see', '02461723'), ('02461723', '_also_see', '00632438'), ('00632438', '_also_see', '02461723')], '02461723')
([('02290998', '_also_see', '00583239'), ('00583239', '_also_see', '02290998'), ('02290998', '¬_also_see', '01754421')], '01754421')
([('02363358', '¬_also_see', '02105375'), ('02105375', '¬_also_see', '02102796'), ('02102796', '¬_also_see', '02105375')], '02105375')
([('00306314', '_derivationally_related_form', '05202497'), ('05202497', '¬_derivationally_related_form', '00306314'), ('00306314', '¬_also_see', '00510050')], '00510050')
([('00262792', '_also_see', '00081671'), ('00081671', '_also_see', '00249721'), ('00249721', '_also_see', '00081671')], '00249721')
([('00923321', 'NO_OP', '00923321'), ('00923321', '¬_also_see', '01319874'), ('01319874', '¬_also_see', '00923321')], '01319874')
([('02274253', '_derivationally_related_form', '14560360'), ('14560360', '¬_derivationally_related_form', '02274253'), ('02274253', '¬_also_see', '02559180')], '02559180')
([('00503982', '¬_also_see', '00889831'), ('00889831', 'NO_OP', '00889831'), ('00889831', '¬_derivationally_related_form', '09626238')], '00889831')
([('01370590', 'NO_OP', '01370590'), ('01370590', '¬_also_see', '01227137'), ('01227137', '_also_see', '01222884')], '01227137')
([('01613463', 'NO_OP', '01613463'), ('01613463', '¬_also_see', '01475282'), ('01475282', '_also_see', '00695523')], '00695523')
([('02174896', '¬_also_see', '02166346'), ('02166346', '¬_also_see', '02174896'), ('02174896', '¬_also_see', '02166346')], '02166346')
([('02560548', '¬_also_see', '02410393'), ('02410393', '_also_see', '00986027'), ('00986027', 'NO_OP', '00986027')], '02410393')
([('01866535', 'NO_OP', '01866535'), ('01866535', 'NO_OP', '01866535'), ('01866535', '¬_also_see', '00644372')], '00644372')
([('00251809', 'NO_OP', '00251809'), ('00251809', '¬_also_see', '00077645'), ('00077645', '_also_see', '00264776')], '00077645')
([('01041916', '_derivationally_related_form', '01204055'), ('01204055', '_derivationally_related_form', '01041916'), ('01041916', '¬_also_see', '00605516')], '00605516')
([('01704761', 'NO_OP', '01704761'), ('01704761', 'NO_OP', '01704761'), ('01704761', '¬_also_see', '00940437')], '00940437')
([('00695523', '¬_also_see', '02566015'), ('02566015', '¬_also_see', '00695523'), ('00695523', '_also_see', '01613463')], '02566015')
([('02100709', '_derivationally_related_form', '10227266'), ('10227266', '_derivationally_related_form', '02100709'), ('02100709', '¬_also_see', '01646941')], '01646941')
([('01535709', '¬_also_see', '01640850'), ('01640850', 'NO_OP', '01640850'), ('01640850', '¬_also_see', '01646941')], '01640850')
([('02058794', '¬_also_see', '02523275'), ('02523275', '_derivationally_related_form', '05042871'), ('05042871', '_hypernym', '05040275')], '02523275')
([('00571643', '¬_also_see', '00191603'), ('00191603', 'NO_OP', '00191603'), ('00191603', 'NO_OP', '00191603')], '00191603')
([('00427786', '¬_also_see', '01908039'), ('01908039', 'NO_OP', '01908039'), ('01908039', '_also_see', '00427786')], '01908039')
([('00923321', 'NO_OP', '00923321'), ('00923321', '¬_also_see', '01319874'), ('01319874', '¬_derivationally_related_form', '13989863')], '01319874')
([('02466111', '¬_also_see', '00959731'), ('00959731', '_derivationally_related_form', '04878861'), ('04878861', 'NO_OP', '04878861')], '00959731')
([('02531422', '¬_also_see', '01257612'), ('01257612', '¬_also_see', '02531422'), ('02531422', '_derivationally_related_form', '04629604')], '01257612')
([('01926376', '¬_also_see', '01430847'), ('01430847', '¬_derivationally_related_form', '04785669'), ('04785669', '_derivationally_related_form', '01430847')], '01430847')
([('01580050', '¬_also_see', '00903668'), ('00903668', 'NO_OP', '00903668'), ('00903668', 'NO_OP', '00903668')], '00903668')
([('02098325', '¬_also_see', '00639356'), ('00639356', '_also_see', '02098325'), ('02098325', 'NO_OP', '02098325')], '00639356')
([('00561036', '_derivationally_related_form', '04714440'), ('04714440', '¬_derivationally_related_form', '00508192'), ('00508192', '¬_also_see', '02064745')], '00508192')
([('02174896', '_also_see', '02166346'), ('02166346', '¬_also_see', '02174896'), ('02174896', '¬_also_see', '00749230')], '00749230')
([('00016756', 'NO_OP', '00016756'), ('00016756', 'NO_OP', '00016756'), ('00016756', '¬_also_see', '00106456')], '00106456')
([('00427786', 'NO_OP', '00427786'), ('00427786', '¬_derivationally_related_form', '14487184'), ('14487184', '_derivationally_related_form', '01908039')], '01908039')
([('01222884', '¬_also_see', '02461723'), ('02461723', '_also_see', '00632438'), ('00632438', '_derivationally_related_form', '04802403')], '02461723')
([('00875712', '¬_also_see', '00033574'), ('00033574', '¬_also_see', '00875712'), ('00875712', '¬_derivationally_related_form', '04635953')], '00033574')
([('02368336', '¬_also_see', '02395115'), ('02395115', '¬_also_see', '02368336'), ('02368336', '¬_also_see', '02395115')], '02395115')
([('00839619', '¬_also_see', '00510050'), ('00510050', '_also_see', '00306314'), ('00306314', 'NO_OP', '00306314')], '00510050')
([('00264776', 'NO_OP', '00264776'), ('00264776', 'NO_OP', '00264776'), ('00264776', '¬_also_see', '01589217')], '01589217')
([('01206474', '¬_derivationally_related_form', '05137557'), ('05137557', '_derivationally_related_form', '01206474'), ('01206474', '¬_also_see', '02386612')], '02386612')
([('01474513', '_also_see', '02451113'), ('02451113', '_also_see', '00696518'), ('00696518', '¬_derivationally_related_form', '04641153')], '00696518')
([('01256332', '¬_also_see', '01725712'), ('01725712', '¬_also_see', '01256332'), ('01256332', '¬_also_see', '01725712')], '01725712')
([('00156839', 'NO_OP', '00156839'), ('00156839', '¬_also_see', '00251809'), ('00251809', '¬_derivationally_related_form', '07522729')], '00251809')
([('01688271', '_also_see', '00644372'), ('00644372', '¬_also_see', '01688271'), ('01688271', '¬_also_see', '00605516')], '00605516')
([('02095311', '¬_also_see', '01059400'), ('01059400', '¬_also_see', '02095311'), ('02095311', '¬_also_see', '01059400')], '01059400')
([('02079029', '_derivationally_related_form', '06777164'), ('06777164', '¬_derivationally_related_form', '02079029'), ('02079029', '¬_also_see', '00647542')], '00647542')
([('01076793', '¬_also_see', '02531422'), ('02531422', '_also_see', '00856860'), ('00856860', '_derivationally_related_form', '04629194')], '02531422')
([('02099019', '¬_also_see', '00638981'), ('00638981', '¬_also_see', '01372049'), ('01372049', '_also_see', '01507134')], '00638981')
([('01725712', '¬_also_see', '01256332'), ('01256332', 'NO_OP', '01256332'), ('01256332', '¬_also_see', '01725712')], '01256332')
([('00903668', '¬_also_see', '01580050'), ('01580050', '¬_also_see', '00903668'), ('00903668', 'NO_OP', '00903668')], '01580050')
([('01711071', '¬_also_see', '01160031'), ('01160031', '¬_also_see', '01711071'), ('01711071', 'NO_OP', '01711071')], '01160031')
([('01076793', '¬_also_see', '01244410'), ('01244410', '_also_see', '01460421'), ('01460421', '_derivationally_related_form', '04781755')], '01244410')
([('02273326', '¬_also_see', '00289365'), ('00289365', '¬_also_see', '01749320'), ('01749320', 'NO_OP', '01749320')], '00289365')
([('01180695', '¬_also_see', '02056880'), ('02056880', '_also_see', '02577061'), ('02577061', '_also_see', '02270342')], '02056880')
([('02495922', '¬_also_see', '01195536'), ('01195536', '¬_also_see', '02495922'), ('02495922', '_also_see', '00834198')], '01195536')
([('00856860', '¬_also_see', '02531422'), ('02531422', '¬_derivationally_related_form', '04629604'), ('04629604', 'NO_OP', '04629604')], '02531422')
([('02094755', '¬_also_see', '02523275'), ('02523275', 'NO_OP', '02523275'), ('02523275', '¬_also_see', '02058794')], '02523275')
([('00226618', '¬_also_see', '01159655'), ('01159655', 'NO_OP', '01159655'), ('01159655', '¬_also_see', '00226618')], '01159655')
([('00779374', '¬_also_see', '01837744'), ('01837744', 'NO_OP', '01837744'), ('01837744', '_derivationally_related_form', '04821451')], '01837744')
([('00902652', 'NO_OP', '00902652'), ('00902652', '¬_also_see', '01279978'), ('01279978', '_also_see', '00902652')], '01279978')
([('02564986', '¬_also_see', '00696518'), ('00696518', '¬_derivationally_related_form', '02542280'), ('02542280', '_derivationally_related_form', '00696518')], '00696518')
([('00835609', '¬_also_see', '01827535'), ('01827535', '_derivationally_related_form', '05204637'), ('05204637', '¬_hypernym', '05207963')], '01827535')
([('02062670', '¬_also_see', '02507968'), ('02507968', '_derivationally_related_form', '04740173'), ('04740173', '_derivationally_related_form', '02507968')], '02507968')
([('01824244', '¬_also_see', '01825671'), ('01825671', '_also_see', '02321009'), ('02321009', '¬_also_see', '00707366')], '01825671')
([('01507402', '¬_also_see', '00247439'), ('00247439', '_derivationally_related_form', '05399847'), ('05399847', '_hypernym', '05397468')], '00247439')
([('01827535', '¬_also_see', '00835609'), ('00835609', '¬_derivationally_related_form', '05207963'), ('05207963', '_derivationally_related_form', '00835609')], '00835609')
([('01182024', '_derivationally_related_form', '01197338'), ('01197338', '_derivationally_related_form', '01182024'), ('01182024', '¬_also_see', '00828779')], '00828779')
([('01336587', 'NO_OP', '01336587'), ('01336587', '¬_also_see', '00439588'), ('00439588', '_derivationally_related_form', '10667187')], '00439588')
([('02460502', '¬_also_see', '02179279'), ('02179279', '_also_see', '01222360'), ('01222360', '¬_also_see', '01115349')], '02179279')
([('00156839', 'NO_OP', '00156839'), ('00156839', 'NO_OP', '00156839'), ('00156839', '¬_also_see', '00251809')], '00251809')
([('01180695', '¬_also_see', '02577061'), ('02577061', '_also_see', '01180695'), ('01180695', '¬_also_see', '02056880')], '02577061')
([('01430847', '¬_also_see', '01926376'), ('01926376', 'NO_OP', '01926376'), ('01926376', '¬_also_see', '00464962')], '01926376')
([('02291843', '¬_also_see', '00583990'), ('00583990', '_also_see', '02291843'), ('02291843', '¬_also_see', '01755627')], '00583990')
([('02515341', '¬_also_see', '01746605'), ('01746605', '¬_also_see', '02515341'), ('02515341', '¬_similar_to', '02517169')], '01746605')
([('02180797', '¬_also_see', '01934554'), ('01934554', '¬_also_see', '01116380'), ('01116380', '_also_see', '01934554')], '01934554')
([('02230990', '¬_also_see', '02238462'), ('02238462', '_also_see', '00911327'), ('00911327', '¬_also_see', '02238462')], '02238462')
([('02161432', '¬_also_see', '01275562'), ('01275562', '_derivationally_related_form', '05168261'), ('05168261', '¬_hypernym', '05171045')], '01275562')
([('01947266', 'NO_OP', '01947266'), ('01947266', '¬_also_see', '00849357'), ('00849357', '_derivationally_related_form', '04812268')], '00849357')
([('00550777', '¬_also_see', '00740336'), ('00740336', '¬_also_see', '00550777'), ('00550777', '¬_also_see', '00740336')], '00740336')
([('01837744', '¬_also_see', '00021766'), ('00021766', '_also_see', '00914421'), ('00914421', '_derivationally_related_form', '04803430')], '00021766')
([('02111684', '_similar_to', '02112891'), ('02112891', '_similar_to', '02111684'), ('02111684', '¬_also_see', '00492677')], '00492677')
([('01170243', '¬_also_see', '02037708'), ('02037708', '_also_see', '01170243'), ('01170243', '¬_derivationally_related_form', '14447908')], '02037708')
([('02056880', '¬_also_see', '01180695'), ('01180695', '¬_also_see', '02577061'), ('02577061', '_derivationally_related_form', '05670972')], '01180695')
([('00996448', '¬_also_see', '00075515'), ('00075515', '_derivationally_related_form', '00823436'), ('00823436', '¬_derivationally_related_form', '07206461')], '00075515')
([('00247439', '¬_also_see', '01507402'), ('01507402', '_also_see', '01155354'), ('01155354', '_also_see', '01507402')], '01507402')
([('00958880', '¬_also_see', '00583239'), ('00583239', '¬_also_see', '00958880'), ('00958880', '_also_see', '02464693')], '00583239')
([('00473322', '_hypernym', '00471711'), ('00471711', '¬_hypernym', '00472671'), ('00472671', 'NO_OP', '00472671')], '00472671')
([('01716491', '¬_also_see', '00133851'), ('00133851', '_also_see', '02395115'), ('02395115', '_also_see', '02368336')], '00133851')
([('00904548', 'NO_OP', '00904548'), ('00904548', 'NO_OP', '00904548'), ('00904548', '¬_also_see', '01589217')], '01589217')
([('01932973', '¬_also_see', '01115349'), ('01115349', '¬_also_see', '01222360'), ('01222360', '¬_also_see', '02179279')], '01115349')
([('01149494', '¬_also_see', '01364008'), ('01364008', '_also_see', '01149494'), ('01149494', '_derivationally_related_form', '07532440')], '01364008')
([('01195536', '¬_also_see', '00619972'), ('00619972', '¬_derivationally_related_form', '04906026'), ('04906026', '¬_derivationally_related_form', '00619972')], '00619972')
([('00533851', '¬_derivationally_related_form', '04822223'), ('04822223', '¬_hypernym', '04823866'), ('04823866', '¬_derivationally_related_form', '00430191')], '00430191')
([('01589217', '¬_also_see', '01227137'), ('01227137', '_also_see', '01370590'), ('01370590', '_also_see', '01227137')], '01227137')
([('01824244', '¬_also_see', '01001689'), ('01001689', '_also_see', '01824244'), ('01824244', '¬_also_see', '01001689')], '01001689')
([('01059400', '¬_also_see', '02095311'), ('02095311', '¬_also_see', '01059400'), ('01059400', '_derivationally_related_form', '04777098')], '02095311')
([('00684480', '_derivationally_related_form', '04754440'), ('04754440', '¬_derivationally_related_form', '00550282'), ('00550282', 'NO_OP', '00550282')], '00550282')
([('00763901', '¬_also_see', '01222360'), ('01222360', '¬_also_see', '00763901'), ('00763901', '¬_also_see', '01222360')], '01222360')
([('00996448', '¬_also_see', '00647542'), ('00647542', 'NO_OP', '00647542'), ('00647542', '_also_see', '00996448')], '00647542')
([('02238462', '_also_see', '02230990'), ('02230990', '_also_see', '02238462'), ('02238462', '¬_also_see', '00911327')], '00911327')
([('00087152', '¬_also_see', '01922763'), ('01922763', '_also_see', '00087152'), ('00087152', '¬_also_see', '02531422')], '02531422')
([('02326695', '¬_also_see', '02451951'), ('02451951', '¬_also_see', '00695523'), ('00695523', '¬_derivationally_related_form', '02706816')], '02451951')
([('00721437', '_derivationally_related_form', '00043195'), ('00043195', '_derivationally_related_form', '00721437'), ('00721437', '_hypernym', '00598954')], '00598954')
([('01222360', 'NO_OP', '01222360'), ('01222360', '¬_also_see', '02318464'), ('02318464', '¬_also_see', '01222360')], '02318464')
([('02111684', '¬_also_see', '00492677'), ('00492677', '_derivationally_related_form', '04764741'), ('04764741', '_derivationally_related_form', '00485711')], '00492677')
([('01140514', '¬_also_see', '00063277'), ('00063277', '¬_derivationally_related_form', '05648459'), ('05648459', '_derivationally_related_form', '00063277')], '00063277')
([('02512922', '¬_derivationally_related_form', '01242716'), ('01242716', '¬_derivationally_related_form', '02512922'), ('02512922', '¬_also_see', '01740892')], '01740892')
([('00604617', 'NO_OP', '00604617'), ('00604617', '¬_also_see', '00019131'), ('00019131', '_derivationally_related_form', '02007417')], '00019131')
([('02578235', '_derivationally_related_form', '00754118'), ('00754118', '¬_derivationally_related_form', '02578235'), ('02578235', '¬_also_see', '02271544')], '02271544')
([('01372049', 'NO_OP', '01372049'), ('01372049', '¬_also_see', '00226618'), ('00226618', '_also_see', '01159655')], '00226618')
([('01898129', '¬_also_see', '01894758'), ('01894758', '_also_see', '02157399'), ('02157399', '¬_derivationally_related_form', '14555214')], '01894758')
([('01612053', '¬_also_see', '01474513'), ('01474513', '¬_also_see', '02451113'), ('02451113', '_also_see', '01474513')], '02451113')
([('02451951', '¬_also_see', '02326695'), ('02326695', '_also_see', '01613463'), ('01613463', 'NO_OP', '01613463')], '01613463')
([('02383831', '¬_also_see', '00548781'), ('00548781', '¬_also_see', '02383831'), ('02383831', 'NO_OP', '02383831')], '00548781')
([('01866535', '¬_also_see', '00644372'), ('00644372', 'NO_OP', '00644372'), ('00644372', '_also_see', '01866535')], '00644372')
([('02541302', '¬_also_see', '01172889'), ('01172889', '¬_also_see', '01017738'), ('01017738', '_also_see', '02541302')], '01172889')
([('01246579', '¬_also_see', '01740892'), ('01740892', '¬_also_see', '01922763'), ('01922763', '_also_see', '01740892')], '01740892')
([('00106456', '¬_also_see', '00016756'), ('00016756', '_derivationally_related_form', '05116953'), ('05116953', 'NO_OP', '05116953')], '00016756')
([('02341266', 'NO_OP', '02341266'), ('02341266', '¬_also_see', '00227507'), ('00227507', '¬_derivationally_related_form', '00127531')], '00227507')
([('02174896', '¬_also_see', '00749230'), ('00749230', '¬_also_see', '02174896'), ('02174896', '¬_also_see', '02166346')], '00749230')
([('01749320', '¬_also_see', '00289365'), ('00289365', '_also_see', '01749320'), ('01749320', 'NO_OP', '01749320')], '00289365')
([('01497736', '¬_also_see', '01279978'), ('01279978', '¬_also_see', '00902652'), ('00902652', 'NO_OP', '00902652')], '01279978')
