WN18RR, _member_meronym_WN18_generic_PPO_simple_embedding_100
([('08953324', '¬_has_part', '08953151'), ('08953151', '_has_part', '08953324'), ('08953324', '¬_derivationally_related_form', '09714120')], '09714120')
([('12602850', 'NO_OP', '12602850'), ('12602850', '_member_meronym', '12603273'), ('12603273', '_hypernym', '12602980')], '12602980')
([('12409016', '_member_meronym', '12409470'), ('12409470', '_hypernym', '12409231'), ('12409231', '¬_member_meronym', '12409016')], '12409231')
([('11815194', '_member_meronym', '11816336'), ('11816336', '_hypernym', '11815491'), ('11815491', '¬_hypernym', '11816121')], '11816121')
([('02023664', '_member_meronym', '02023992'), ('02023992', '_hypernym', '02023341'), ('02023341', '¬_hypernym', '02024185')], '02024185')
([('02121234', '_member_meronym', '02124623'), ('02124623', 'NO_OP', '02124623'), ('02124623', '¬_hypernym', '02125689')], '02125689')
([('02007721', '_member_meronym', '02011156'), ('02011156', '_member_meronym', '02011281'), ('02011281', '_hypernym', '02008041')], '02008041')
([('08414381', 'NO_OP', '08414381'), ('08414381', '_derivationally_related_form', '10396106'), ('10396106', '¬_derivationally_related_form', '08414608')], '10396106')
([('02481629', '_member_meronym', '02481823'), ('02481823', 'NO_OP', '02481823'), ('02481823', '¬_hypernym', '02482650')], '02482650')
([('01753721', '_member_meronym', '01754876'), ('01754876', '_hypernym', '01753959'), ('01753959', '¬_hypernym', '01754876')], '01753959')
([('01443398', '_member_meronym', '01443831'), ('01443831', '_hypernym', '01439121'), ('01439121', '¬_hypernym', '01443537')], '01443537')
([('12917338', '_member_meronym', '12921868'), ('12921868', '_hypernym', '12917901'), ('12917901', '¬_hypernym', '12919403')], '12919403')
([('01726960', '_member_meronym', '01735062'), ('01735062', '_hypernym', '01657723'), ('01657723', '¬_hypernym', '01728738')], '01728738')
([('12449024', '_member_meronym', '12449296'), ('12449296', '¬_hypernym', '12449526'), ('12449526', 'NO_OP', '12449526')], '12449526')
([('02250464', '_member_meronym', '02250822'), ('02250822', '¬_hypernym', '02251067'), ('02251067', '¬_member_meronym', '02250653')], '02250653')
([('02023664', '_member_meronym', '02023992'), ('02023992', '_hypernym', '02023341'), ('02023341', '¬_hypernym', '02024185')], '02024185')
([('02534352', '_member_meronym', '02537847'), ('02537847', '_member_meronym', '02538406'), ('02538406', '_hypernym', '02534559')], '02534559')
([('12707432', '_member_meronym', '12707781'), ('12707781', '¬_hypernym', '12709103'), ('12709103', '_has_part', '07750146')], '12709103')
([('01936219', '_member_meronym', '01936671'), ('01936671', '_hypernym', '01936391'), ('01936391', '¬_hypernym', '01937579')], '01936391')
([('12798041', '_member_meronym', '12798632'), ('12798632', '_hypernym', '12798284'), ('12798284', '¬_hypernym', '12798632')], '12798284')
([('12158148', '_member_meronym', '12161285'), ('12161285', 'NO_OP', '12161285'), ('12161285', '_hypernym', '12160490')], '12160490')
([('08859173', '_member_meronym', '09714952'), ('09714952', '¬_hypernym', '09715165'), ('09715165', '¬_member_meronym', '08859173')], '09715165')
([('08060694', '_derivationally_related_form', '10402417'), ('10402417', '_derivationally_related_form', '08060694'), ('08060694', '¬_derivationally_related_form', '10402417')], '10402417')
([('08176077', '_member_meronym', '08763193'), ('08763193', '¬_has_part', '08709038'), ('08709038', '_has_part', '08751494')], '08751494')
([('12405209', '_member_meronym', '12408717'), ('12408717', '_hypernym', '12405714'), ('12405714', '¬_hypernym', '12408280')], '12405714')
([('02642935', '_member_meronym', '02643112'), ('02643112', '¬_hypernym', '02643316'), ('02643316', '¬_member_meronym', '02642935')], '02643316')
([('12313005', '_member_meronym', '12314315'), ('12314315', '_hypernym', '11564734'), ('11564734', '¬_hypernym', '12280487')], '11564734')
([('02529515', '_member_meronym', '02530294'), ('02530294', '_member_meronym', '02530421'), ('02530421', '_hypernym', '02529772')], '02529772')
([('12542649', '_member_meronym', '12543455'), ('12543455', 'NO_OP', '12543455'), ('12543455', '_hypernym', '12542910')], '12542910')
([('12673755', '_member_meronym', '12674685'), ('12674685', 'NO_OP', '12674685'), ('12674685', '_hypernym', '12674120')], '12674120')
([('02080022', '¬_member_meronym', '02079170'), ('02079170', '_member_meronym', '02079389'), ('02079389', '¬_hypernym', '02080146')], '02080146')
([('08734385', '¬_derivationally_related_form', '03131116'), ('03131116', '¬_derivationally_related_form', '09751622'), ('09751622', 'NO_OP', '09751622')], '09751622')
([('13177354', '_member_meronym', '13177884'), ('13177884', 'NO_OP', '13177884'), ('13177884', '_hypernym', '13177529')], '13177529')
([('12423565', '_member_meronym', '12444666'), ('12444666', '_hypernym', '11561228'), ('11561228', '¬_hypernym', '12450099')], '12450099')
([('08098346', '_synset_domain_topic_of', '05977340'), ('05977340', '¬_derivationally_related_form', '09848285'), ('09848285', '¬_member_meronym', '08098346')], '09848285')
([('12356668', '_member_meronym', '12357485'), ('12357485', '_hypernym', '12355760'), ('12355760', '¬_hypernym', '12357343')], '12357343')
([('12280886', '_member_meronym', '12281241'), ('12281241', 'NO_OP', '12281241'), ('12281241', '¬_hypernym', '12283790')], '12283790')
([('08456727', '_hypernym', '08357784'), ('08357784', '¬_hypernym', '08357258'), ('08357258', '¬_member_meronym', '08456727')], '08357258')
([('02339768', '_member_meronym', '02339922'), ('02339922', '¬_hypernym', '02340186'), ('02340186', 'NO_OP', '02340186')], '02340186')
