NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_coldplay', 'concept:musicartistgenre', 'concept_musicgenre_british_rock'), ('concept_musicgenre_british_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_n80s')], 'concept_musicgenre_rock')
([('concept_musicartist_black_eyed_peas', 'concept:musicartistgenre', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hip_hop'), ('concept_musicgenre_hip_hop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rap')], 'concept_musicgenre_hip_hop')
([('concept_musicartist_descendents', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_sonic_youth', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_genesis')], 'concept_musicgenre_rock')
([('concept_musicartist_blind_guardian', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_camel', 'concept:musicartistgenre', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', 'NO_OP', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', 'concept:atlocation', 'concept_beach_salt_lake_city_ogden')], 'concept_musicgenre_jazz')
([('concept_musicartist_journey', 'concept:musicartistgenre', 'concept_musicgenre_aor'), ('concept_musicgenre_aor', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_rammstein')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hair_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_the_grateful_dead', '¬concept:musicianinmusicartist', 'concept_musician_jerry_garcia'), ('concept_musician_jerry_garcia', 'concept:musicianinmusicartist', 'concept_musicartist_grateful_dead'), ('concept_musicartist_grateful_dead', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_nirvana', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_alternative_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_korn', 'concept:musicartistgenre', 'concept_musicgenre_nu_metal'), ('concept_musicgenre_nu_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_dissection'), ('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_beach_boys', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_post_punk')], 'concept_musicgenre_rock')
([('concept_musicartist_hawkwind', 'concept:musicartistgenre', 'concept_musicgenre_space_rock'), ('concept_musicgenre_space_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_oasis')], 'concept_musicgenre_rock')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_classic_pop'), ('concept_musicgenre_classic_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_midnight_oil')], 'concept_musicgenre_rock')
([('concept_musicartist_misfits', 'concept:musicartistgenre', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_anarchist_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_alice_in_chains', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_seattle_grunge'), ('concept_musicgenre_seattle_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_black_eyed_peas', 'concept:musicartistgenre', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hip_hop'), ('concept_musicgenre_hip_hop', 'NO_OP', 'concept_musicgenre_hip_hop')], 'concept_musicgenre_hip_hop')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_doors')], 'concept_musicgenre_rock')
([('concept_musicartist_jackson_five', 'concept:musicartistgenre', 'concept_musicgenre_soul'), ('concept_musicgenre_soul', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'NO_OP', 'concept_musicgenre_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_camel', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal'), ('concept_musicgenre_progressive_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_modest_mouse', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz')], 'concept_musicgenre_metal')
([('concept_musicartist_pearl_jam', 'concept:musicartistgenre', 'concept_musicgenre_seattle_grunge'), ('concept_musicgenre_seattle_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_alice_in_chains', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'NO_OP', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_franz_ferdinand', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_glam_metal'), ('concept_musicgenre_glam_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_discharge', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_killers', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_r_b'), ('concept_musicgenre_r_b', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_the_eagles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_dead_kennedys', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_iced_earth', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_power_metal')
([('concept_musicartist_yes', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicartistgenre', 'concept_musicartist_camel'), ('concept_musicartist_camel', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_slayer', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_immortal')], 'concept_musicgenre_metal')
([('concept_musicartist_megadeth', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal'), ('concept_musicgenre_thrash_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', 'concept:atlocation', 'concept_county_salt_lake')], 'concept_musicgenre_jazz')
([('concept_musicartist_sting', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_famous_rock'), ('concept_musicgenre_famous_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_blind_guardian', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_fear_factory')], 'concept_musicgenre_metal')
([('concept_musicartist_zeppelin', 'concept:musicartistgenre', 'concept_musicgenre_rock_music'), ('concept_musicgenre_rock_music', '¬concept:musicartistgenre', 'concept_musicartist_hendrix'), ('concept_musicartist_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_classic_rock')
([('concept_musicartist_black_flag', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', '¬concept:musicartistgenre', 'concept_musicartist_black_flag')], 'concept_musicgenre_hardcore_punk')
([('concept_musicartist_darkthrone', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_sabbath')], 'concept_musicgenre_metal')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_meshuggah')], 'concept_musicgenre_metal')
([('concept_musicartist_descendents', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk_rock')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu')], 'concept_musicgenre_rock')
([('concept_musicartist_iced_earth', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_pantera', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_sting', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_canadian_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_paradise_lost')], 'concept_musicgenre_metal')
([('concept_musicartist_blondie', 'concept:musicartistgenre', 'concept_musicgenre_new_wave'), ('concept_musicgenre_new_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_pink_floyd', 'concept:musicartistgenre', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_prog')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_discharge', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_burzum', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_sting', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_surf'), ('concept_musicgenre_surf', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_psychedelic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_kinks', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk')], 'concept_musicgenre_rock')
([('concept_musicartist_death', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_megadeth'), ('concept_musicartist_megadeth', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_in_flames')], 'concept_musicgenre_metal')
([('concept_musicartist_limp_bizkit', 'concept:musicartistgenre', 'concept_musicgenre_nu_metal'), ('concept_musicgenre_nu_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu'), ('concept_musicgenre_nu', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_death', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_thrash_metal'), ('concept_musicgenre_thrash_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_pantera', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_blue_eyed_soul')], 'concept_musicgenre_rock')
([('concept_musicartist_offspring', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_pearl_jam', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_canadian_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_pixies', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_bad_company')], 'concept_musicgenre_rock')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_contemporary_jazz')], 'concept_musicgenre_jazz')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_immortal')], 'concept_musicgenre_metal')
([('concept_musicartist_pixies', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_sonic_youth')], 'concept_musicgenre_rock')
([('concept_musicartist_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_metal_church')], 'concept_musicgenre_metal')
([('concept_musicartist_stooges', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'NO_OP', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_modest_mouse', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'NO_OP', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_camel', 'concept:musicartistgenre', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_prog')
([('concept_musicartist_bob_dylan', 'concept:musicartistgenre', 'concept_musicgenre_american_folk'), ('concept_musicgenre_american_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_blue_eyed_soul')], 'concept_musicgenre_rock')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_progressive_metal')
([('concept_musicartist_zepplin', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_thrash_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_manowar', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_slayer')], 'concept_musicgenre_metal')
([('concept_musicartist_descendents', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american_punk')], 'concept_musicgenre_punk_rock')
